date,open,high,low,close,volume,dividend,ratio
2000-01-03,0.81,0.87,0.78,0.86,622113490.7,0.0,1.0
2000-01-04,0.83,0.85,0.78,0.79,594921465.2,0.0,1.0
2000-01-05,0.8,0.85,0.79,0.8,903708957.3,0.0,1.0
2000-01-06,0.82,0.82,0.73,0.73,891692969.0,0.0,1.0
2000-01-07,0.74,0.78,0.73,0.77,534958562.4,0.0,1.0
2000-01-10,0.78,0.79,0.73,0.75,586429646.6,0.0,1.0
2000-01-11,0.74,0.76,0.7,0.71,512682168.5,0.0,1.0
2000-01-12,0.73,0.73,0.67,0.67,1133313167.1,0.0,1.0
2000-01-13,0.73,0.76,0.71,0.74,1199049986.4,0.0,1.0
2000-01-14,0.77,0.79,0.76,0.77,453265447.0,0.0,1.0
2000-01-18,0.78,0.82,0.77,0.8,533150962.4,0.0,1.0
2000-01-19,0.81,0.84,0.79,0.82,693923325.7,0.0,1.0
2000-01-20,0.89,0.93,0.87,0.87,2126127700.2,0.0,1.0
2000-01-21,0.88,0.88,0.85,0.86,575818124.4,0.0,1.0
2000-01-24,0.83,0.87,0.81,0.82,511901909.5,0.0,1.0
2000-01-25,0.81,0.87,0.79,0.86,577235594.9,0.0,1.0
2000-01-26,0.85,0.88,0.84,0.85,426307499.2,0.0,1.0
2000-01-27,0.84,0.87,0.82,0.85,394941088.1,0.0,1.0
2000-01-28,0.83,0.85,0.77,0.78,491550154.4,0.0,1.0
2000-01-31,0.78,0.8,0.73,0.8,814720420.4,0.0,1.0
2000-02-01,0.8,0.81,0.77,0.77,369270567.6,0.0,1.0
2000-02-02,0.77,0.79,0.75,0.76,538976896.2,0.0,1.0
2000-02-03,0.77,0.8,0.77,0.79,551747134.9,0.0,1.0
2000-02-04,0.8,0.85,0.8,0.83,493838914.1,0.0,1.0
2000-02-07,0.83,0.88,0.81,0.88,512122982.9,0.0,1.0
2000-02-08,0.88,0.89,0.86,0.88,474475487.0,0.0,1.0
2000-02-09,0.88,0.9,0.86,0.87,347592372.2,0.0,1.0
2000-02-10,0.87,0.88,0.85,0.87,351792766.4,0.0,1.0
2000-02-11,0.87,0.88,0.83,0.84,246444799.5,0.0,1.0
2000-02-14,0.84,0.89,0.84,0.89,426749645.9,0.0,1.0
2000-02-15,0.89,0.92,0.89,0.92,563997200.9,0.0,1.0
2000-02-16,0.91,0.91,0.86,0.88,439181772.4,0.0,1.0
2000-02-17,0.89,0.89,0.87,0.88,336135569.5,0.0,1.0
2000-02-18,0.88,0.89,0.85,0.86,271048966.1,0.0,1.0
2000-02-22,0.85,0.9,0.82,0.88,490327748.6,0.0,1.0
2000-02-23,0.87,0.92,0.85,0.89,549315327.7,0.0,1.0
2000-02-24,0.9,0.92,0.86,0.89,437075073.1,0.0,1.0
2000-02-25,0.88,0.9,0.85,0.85,289281017.6,0.0,1.0
2000-02-28,0.85,0.88,0.83,0.87,381221534.3,0.0,1.0
2000-02-29,0.87,0.9,0.87,0.88,428401194.1,0.0,1.0
2000-03-01,0.91,1.02,0.91,1.0,1250508066.2,0.0,1.0
2000-03-02,0.98,0.98,0.93,0.94,361402956.2,0.0,1.0
2000-03-03,0.96,0.99,0.92,0.98,375460622.2,0.0,1.0
2000-03-06,0.97,0.99,0.96,0.97,244481147.7,0.0,1.0
