date,open,high,low,close,volume,dividend,ratio
2000-01-03,3.06,3.11,3.01,3.07,3527934.3,0.0,1.0
2000-01-04,2.91,2.92,2.76,2.86,1195909.9,0.0,1.0
2000-01-05,2.89,3.19,2.86,3.08,1026658.3,0.0,1.0
2000-01-06,3.16,3.38,3.02,3.32,3414424.2,0.0,1.0
2000-01-07,3.32,3.75,3.28,3.75,3222369.1,0.0,1.0
2000-01-10,3.75,4.07,3.75,3.85,3210714.1,0.0,1.0
2000-01-11,3.92,4.05,3.86,3.97,3224396.1,0.0,1.0
2000-01-12,3.97,3.97,3.87,3.97,1375296.4,0.0,1.0
2000-01-13,3.97,4.7,3.97,4.67,2847887.2,0.0,1.0
2000-01-14,4.54,4.6,4.29,4.38,3044502.9,0.0,1.0
2000-01-18,4.19,4.33,4.14,4.19,4657461.0,0.0,1.0
2000-01-19,4.19,4.24,4.16,4.21,1286109.9,0.0,1.0
2000-01-20,4.13,4.14,3.95,3.98,2120713.1,0.0,1.0
2000-01-21,3.87,3.9,3.7,3.8,1753325.6,0.0,1.0
2000-01-24,3.85,3.92,3.77,3.84,1086453.8,0.0,1.0
2000-01-25,3.84,3.84,3.6,3.7,851832.4,0.0,1.0
2000-01-26,3.7,3.7,3.53,3.58,786969.5,0.0,1.0
2000-01-27,3.6,3.85,3.58,3.7,4310849.9,0.0,1.0
2000-01-28,3.75,3.77,3.66,3.7,1957542.4,0.0,1.0
2000-01-31,3.7,3.71,3.56,3.58,745416.7,0.0,1.0
2000-02-01,3.9,3.98,3.63,3.69,1959569.3,0.0,1.0
2000-02-02,3.64,3.77,3.64,3.73,1981866.0,0.0,1.0
2000-02-03,3.7,3.73,3.65,3.7,1678327.8,0.0,1.0
2000-02-04,3.7,3.7,3.58,3.64,895919.0,0.0,1.0
2000-02-07,3.59,3.63,3.58,3.61,668898.8,0.0,1.0
2000-02-08,3.63,3.63,3.5,3.53,882743.7,0.0,1.0
2000-02-09,3.48,3.48,3.26,3.4,1836431.2,0.0,1.0
2000-02-10,3.38,3.4,3.31,3.37,763152.7,0.0,1.0
2000-02-11,3.37,3.37,3.22,3.26,735788.6,0.0,1.0
