date,open,high,low,close,volume,dividend,ratio
2000-01-03,16.7,16.76,15.95,16.28,7435387.7,0.0,1.0
2000-01-04,15.64,16.34,14.88,14.91,7867148.4,0.0,1.0
2000-01-05,14.46,15.58,14.46,15.18,15030269.0,0.0,1.0
2000-01-06,15.25,15.55,15.05,15.33,10291775.1,0.0,1.0
2000-01-07,15.28,16.08,15.12,16.08,8310186.5,0.0,1.0
2000-01-10,16.23,16.7,15.8,16.7,11063064.2,0.0,1.0
2000-01-11,16.68,16.7,15.49,15.55,9682396.4,0.0,1.0
2000-01-12,15.58,15.74,15.33,15.47,8106791.8,0.0,1.0
2000-01-13,15.59,16.39,15.58,16.29,5565364.1,0.0,1.0
2000-01-14,16.54,16.73,16.29,16.46,5172268.5,0.0,1.0
2000-01-18,16.15,16.36,15.89,15.89,5237515.9,0.0,1.0
2000-01-19,15.82,15.98,15.52,15.67,4590680.3,0.0,1.0
2000-01-20,15.8,16.05,15.27,15.84,4278137.0,0.0,1.0
2000-01-21,16.01,16.11,15.39,15.61,6947643.0,0.0,1.0
2000-01-24,15.66,15.77,14.93,15.04,5936307.8,0.0,1.0
2000-01-25,14.94,15.74,14.62,15.64,7618241.6,0.0,1.0
2000-01-26,15.67,15.95,15.13,15.19,4496836.7,0.0,1.0
2000-01-27,15.1,15.89,15.1,15.57,5904892.4,0.0,1.0
2000-01-28,15.19,15.36,14.06,14.29,5751440.1,0.0,1.0
2000-01-31,14.18,14.43,13.27,13.67,16572847.1,0.0,1.0
2000-02-01,13.87,14.12,13.69,13.87,6812315.0,0.0,1.0
2000-02-02,13.89,15.3,13.81,15.22,13502190.3,0.0,1.0
2000-02-03,15.84,17.16,15.74,17.15,19883550.1,0.0,1.0
2000-02-04,17.06,18.5,16.82,18.37,13610130.5,0.0,1.0
2000-02-07,18.31,19.23,17.94,19.13,13008404.2,0.0,1.0
2000-02-08,19.26,20.86,19.06,20.79,14395919.0,0.0,1.0
2000-02-09,20.83,21.79,20.58,21.74,15427392.3,0.0,1.0
2000-02-10,21.49,22.66,20.92,22.66,13266574.6,0.0,1.0
2000-02-11,22.35,22.66,21.57,22.45,7266630.4,0.0,1.0
2000-02-14,21.88,22.35,21.12,22.25,7043097.5,0.0,1.0
2000-02-15,21.95,22.84,21.41,22.07,7131302.4,0.0,1.0
2000-02-16,21.85,24.52,21.72,24.38,10797644.1,0.0,1.0
2000-02-17,24.58,25.35,23.87,25.23,10554778.7,0.0,1.0
2000-02-18,25.47,25.5,24.08,24.39,6354777.4,0.0,1.0
2000-02-22,24.28,24.74,22.45,24.4,7879634.0,0.0,1.0
2000-02-23,24.21,26.07,23.7,24.74,7667378.5,0.0,1.0
2000-02-24,25.1,26.47,24.08,26.42,6948851.3,0.0,1.0
2000-02-25,25.7,25.93,24.33,24.46,4204834.4,0.0,1.0
2000-02-28,24.22,24.74,23.59,24.28,6594823.5,0.0,1.0
2000-02-29,24.83,25.57,24.61,25.33,6765191.8,0.0,1.0
2000-03-01,25.37,25.4,24.52,24.93,5140450.3,0.0,1.0
2000-03-02,23.9,23.9,19.86,20.02,25135968.1,0.0,1.0
2000-03-03,20.9,22.78,20.49,22.5,18739706.2,0.0,1.0
2000-03-06,22.16,22.25,20.86,21.31,6994363.4,0.0,1.0
2000-03-07,21.8,21.82,20.0,20.16,6108287.2,0.0,1.0
2000-03-08,20.25,20.27,19.49,19.63,8463638.8,0.0,1.0
2000-03-09,19.77,20.21,19.12,19.4,10091199.7,0.0,1.0
2000-03-10,19.74,21.28,19.72,20.67,15104377.2,0.0,1.0
2000-03-13,20.05,21.01,19.99,20.39,6490911.0,0.0,1.0
2000-03-14,21.72,22.07,19.86,20.22,12941545.7,0.0,1.0
2000-03-15,20.61,21.46,19.86,20.75,9917609.3,0.0,1.0
2000-03-16,21.0,23.53,19.37,23.45,22532515.1,0.0,1.0
2000-03-17,22.1,22.69,21.34,21.77,19018014.7,0.0,1.0
2000-03-20,21.9,22.33,21.26,21.71,8654548.0,0.0,1.0
2000-03-21,21.74,22.86,21.14,22.77,10606734.9,0.0,1.0
2000-03-22,23.53,25.33,22.83,25.33,16860419.1,0.0,1.0
2000-03-23,24.98,27.22,24.59,26.47,12305115.4,0.02,1.0
2000-03-24,26.23,27.32,26.17,26.87,7887853.2,0.0,1.0
2000-03-27,27.04,28.49,26.82,28.21,6879976.5,0.0,1.0
2000-03-28,28.01,28.66,27.32,27.59,7010843.4,0.0,1.0
2000-03-29,27.57,28.21,26.8,27.67,5588219.3,0.0,1.0
2000-03-30,27.19,28.81,26.57,26.62,6546567.8,0.0,1.0
2000-03-31,26.9,28.56,26.5,27.64,7507735.1,0.0,1.0
2000-04-03,28.16,28.44,25.58,26.23,10079169.6,0.0,1.0
2000-04-04,26.92,27.07,21.98,25.28,20834417.9,0.0,1.0
2000-04-05,25.08,27.44,24.59,26.62,10019574.8,0.0,1.0
2000-04-06,27.17,28.46,26.85,28.46,10747195.0,0.0,1.0
2000-04-07,28.78,31.04,28.71,31.04,11384617.6,0.0,1.0
2000-04-10,30.5,30.92,28.81,29.11,6727365.5,0.0,1.0
2000-04-11,28.51,30.3,27.67,29.68,9649926.1,0.0,1.0
2000-04-12,29.8,30.05,27.32,27.84,10768133.7,0.0,1.0
2000-04-13,28.14,29.3,26.82,28.21,11712791.6,0.0,1.0
2000-04-14,27.54,27.54,23.64,24.29,14921648.7,0.0,1.0
2000-04-17,24.37,28.14,24.26,28.14,10657400.1,0.0,1.0
2000-04-18,28.71,30.2,28.14,29.06,8945258.0,0.0,1.0
2000-04-19,28.76,29.13,27.72,27.96,6011422.8,0.0,1.0
2000-04-20,28.01,28.44,26.45,27.96,6622672.0,0.0,1.0
2000-04-24,26.75,27.81,24.09,26.03,9095050.3,0.0,1.0
2000-04-25,26.52,30.17,25.83,29.8,14356706.2,0.0,1.0
2000-04-26,29.45,30.0,27.89,28.53,10075545.6,0.0,1.0
2000-04-27,26.85,30.92,26.57,30.65,11213483.9,0.0,1.0
2000-04-28,30.99,31.76,29.3,30.02,11404348.3,0.0,1.0
2000-05-01,30.35,32.53,30.32,32.46,8102877.6,0.0,1.0
2000-05-02,31.94,31.99,28.63,28.68,6993126.1,0.0,1.0
2000-05-03,28.76,29.7,25.83,28.01,12613156.1,0.0,1.0
2000-05-04,28.19,28.51,26.9,28.29,6754344.3,0.0,1.0
2000-05-05,27.76,30.0,27.67,29.73,6649650.7,0.0,1.0
2000-05-08,28.88,29.25,27.07,27.17,5531845.8,0.0,1.0
2000-05-09,27.69,29.21,26.18,27.89,9940652.0,0.0,1.0
2000-05-10,27.14,28.21,26.27,26.37,10258356.7,0.0,1.0
2000-05-11,27.14,27.39,25.23,26.92,11036310.2,0.0,1.0
2000-05-12,27.04,28.16,26.45,26.87,4410819.5,0.0,1.0
2000-05-15,27.17,27.47,26.4,27.32,5098575.6,0.0,1.0
2000-05-16,27.94,31.02,27.91,30.77,11362470.9,0.0,1.0
2000-05-17,29.58,30.52,28.93,29.88,6471269.0,0.0,1.0
2000-05-18,29.83,30.87,28.56,28.56,5765392.9,0.0,1.0
2000-05-19,28.31,29.13,27.17,27.22,8621110.7,0.0,1.0
2000-05-22,27.34,27.34,25.58,27.24,11577092.6,0.0,1.0
2000-05-23,27.17,28.56,26.65,27.04,10947320.7,0.0,1.0
2000-05-24,26.7,27.17,25.41,26.35,13419296.4,0.0,1.0
2000-05-25,26.77,27.94,25.7,25.95,5919614.6,0.0,1.0
2000-05-26,26.05,26.45,25.23,25.53,4383438.2,0.0,1.0
2000-05-30,26.47,29.01,26.47,28.96,6828032.4,0.0,1.0
2000-05-31,28.39,29.58,28.39,28.44,6185777.8,0.0,1.0
2000-06-01,28.76,29.78,28.29,29.43,6908968.6,0.0,1.0
2000-06-02,30.2,31.76,30.2,31.04,5698147.5,0.0,1.0
2000-06-05,31.04,32.78,30.99,31.96,10104135.0,0.0,1.0
2000-06-06,31.61,31.61,28.68,28.73,13918604.0,0.0,1.0
2000-06-07,29.55,29.8,27.89,28.39,11296433.4,0.0,1.0
2000-06-08,29.18,30.15,28.86,29.4,8185424.5,0.0,1.0
2000-06-09,30.02,30.3,29.68,29.98,4968916.7,0.0,1.0
2000-06-12,31.02,31.04,30.12,30.12,8288507.4,0.0,1.0
2000-06-13,30.6,31.71,29.88,31.59,8390784.9,0.0,1.0
2000-06-14,32.01,32.41,29.8,30.27,12034120.2,0.0,1.0
2000-06-15,30.55,31.51,29.75,30.99,10009910.8,0.0,1.0
2000-06-16,29.83,30.0,28.29,29.88,17996014.9,0.0,1.0
2000-06-19,29.48,31.91,29.48,31.64,9541608.5,0.0,1.0
2000-06-20,31.37,32.76,31.17,32.61,11617359.4,0.0,1.0
2000-06-21,31.89,32.53,30.99,31.99,5998537.4,0.0,1.0
2000-06-22,31.79,32.04,29.9,30.07,4710806.8,0.0,1.0
2000-06-23,30.32,30.65,28.93,29.25,4762348.3,0.0,1.0
2000-06-26,29.63,31.54,29.25,30.97,4753892.2,0.0,1.0
2000-06-27,30.42,30.72,29.33,29.33,5131594.3,0.0,1.0
2000-06-28,29.9,31.27,29.7,30.99,5090924.9,0.0,1.0
2000-06-29,30.74,31.79,30.45,30.87,4484105.0,0.0,1.0
2000-06-30,31.3,32.29,31.0,32.29,5140269.8,0.02,1.0
2000-07-03,32.04,32.24,31.45,31.77,1663502.1,0.0,1.0
2000-07-05,31.22,31.82,30.8,31.72,5132218.0,0.0,1.0
2000-07-06,31.94,33.53,31.17,33.51,10243501.4,0.0,1.0
2000-07-07,33.19,34.6,32.56,34.13,7605328.8,0.0,1.0
2000-07-10,33.76,34.2,32.91,33.63,5093166.8,0.0,1.0
2000-07-11,33.63,35.22,33.28,34.35,5835542.9,0.0,1.0
2000-07-12,34.92,35.02,34.4,34.9,3873721.5,0.0,1.0
2000-07-13,35.02,35.59,33.96,34.25,4314557.6,0.0,1.0
2000-07-14,34.73,34.73,33.28,33.83,5574261.9,0.0,1.0
2000-07-17,34.18,34.2,33.16,33.56,3478780.7,0.0,1.0
2000-07-18,33.56,33.61,32.29,32.51,3706244.1,0.0,1.0
2000-07-19,32.84,33.73,31.69,32.27,4328648.3,0.0,1.0
2000-07-20,32.94,34.23,32.42,34.1,5509444.9,0.0,1.0
2000-07-21,33.83,34.3,32.64,33.46,7426176.2,0.0,1.0
2000-07-24,33.09,33.41,30.65,31.1,6905627.2,0.0,1.0
2000-07-25,31.55,31.82,30.55,31.52,6206730.9,0.0,1.0
2000-07-26,31.17,31.45,30.3,30.78,5700272.6,0.0,1.0
2000-07-27,30.55,31.87,27.27,28.19,12214984.9,0.0,1.0
2000-07-28,28.32,29.09,26.4,27.67,6646359.2,0.0,1.0
2000-07-31,27.84,28.64,25.58,28.44,11532192.2,0.0,1.0
2000-08-01,29.19,29.38,28.07,28.42,5961553.6,0.0,1.0
2000-08-02,28.59,29.53,28.32,28.89,5376590.2,0.0,1.0
2000-08-03,27.4,28.44,26.83,28.27,7358943.6,0.0,1.0
2000-08-04,28.84,29.71,28.29,29.01,3683296.4,0.0,1.0
