date,open,high,low,close,volume,dividend,ratio
2000-01-03,24.24,24.24,23.65,23.88,19013266.1,0.0,1.0
2000-01-04,22.99,23.65,22.65,22.71,30225430.1,0.0,1.0
2000-01-05,22.29,22.69,21.44,21.75,36805987.7,0.0,1.0
2000-01-06,21.58,22.44,21.2,21.88,29716340.1,0.0,1.0
2000-01-07,21.29,22.1,20.95,22.07,49971870.6,0.0,1.0
2000-01-10,22.48,24.01,22.37,23.86,40015214.7,0.0,1.0
2000-01-11,23.37,24.48,22.69,22.8,36107776.9,0.0,1.0
2000-01-12,23.03,24.03,22.26,23.99,40460204.9,0.0,1.0
2000-01-13,23.33,24.07,22.58,23.5,58532634.6,0.0,1.0
2000-01-14,24.5,26.24,24.45,25.6,81336793.5,0.0,1.0
2000-01-18,25.28,26.01,24.94,25.5,36729703.6,0.0,1.0
2000-01-19,25.58,27.05,25.35,26.88,38529265.2,0.0,1.0
2000-01-20,27.16,27.45,26.16,26.43,37320904.9,0.0,1.0
2000-01-21,26.73,26.96,26.01,26.67,40851690.3,0.0,1.0
2000-01-24,26.48,27.67,26.48,26.52,33576630.2,0.0,1.0
2000-01-25,26.69,27.43,25.54,27.26,43512096.1,0.0,1.0
2000-01-26,27.2,27.26,25.31,25.35,36059569.6,0.0,1.0
2000-01-27,25.9,26.48,25.18,25.58,35739600.4,0.0,1.0
2000-01-28,25.41,26.13,24.28,24.5,41710945.2,0.0,1.0
2000-01-31,24.29,25.97,24.22,25.92,40196389.3,0.0,1.0
2000-02-01,25.26,26.69,25.16,26.52,30188877.3,0.0,1.0
2000-02-02,26.45,27.75,26.35,27.14,36946371.5,0.0,1.0
2000-02-03,27.35,28.32,27.35,28.03,31251556.3,0.0,1.0
2000-02-04,28.24,28.49,27.35,27.45,25160488.0,0.0,1.0
2000-02-07,27.47,29.11,27.18,28.99,28391964.5,0.0,1.0
2000-02-08,29.22,30.49,28.79,30.39,49134865.2,0.0,1.0
2000-02-09,30.05,31.83,30.03,30.9,50004715.1,0.0,1.0
2000-02-10,30.92,33.0,30.45,33.0,36630640.3,0.0,1.0
2000-02-11,32.64,32.9,30.86,31.15,43885040.2,0.0,1.0
2000-02-14,31.64,32.02,30.17,30.41,40665218.2,0.0,1.0
2000-02-15,30.94,31.96,30.17,31.43,54438194.9,0.0,1.0
2000-02-16,33.03,33.56,32.37,32.73,67498127.8,0.0,1.0
2000-02-17,32.86,35.66,32.07,35.56,62956049.1,0.0,1.0
2000-02-18,35.55,35.73,33.41,33.56,46714436.3,0.0,1.0
2000-02-22,33.3,34.73,32.73,33.75,39963828.9,0.0,1.0
2000-02-23,33.7,34.79,33.53,34.17,31782366.1,0.0,1.0
2000-02-24,34.03,35.26,33.75,34.64,35947792.3,0.0,1.0
