date,open,high,low,close,volume,dividend,ratio
2000-01-03,25.38,25.38,25.38,25.38,549200.0,0.0,1.0
2000-01-04,22.13,23.0,21.63,22.0,393600.0,0.0,1.0
2000-01-05,22.0,22.0,21.13,21.88,620600.0,0.0,1.0
2000-01-06,21.81,21.94,21.44,21.44,399200.0,0.0,1.0
2000-01-07,21.44,22.31,21.44,22.06,277000.0,0.0,1.0
2000-01-10,22.06,23.31,22.0,23.19,299700.0,0.0,1.0
2000-01-11,23.06,23.88,23.06,23.19,277300.0,0.0,1.0
2000-01-12,22.94,23.69,22.63,23.19,232300.0,0.0,1.0
2000-01-13,23.25,23.44,22.44,22.88,228700.0,0.0,1.0
2000-01-14,23.0,24.44,23.0,23.94,258400.0,0.0,1.0
2000-01-18,23.88,24.44,23.75,23.94,127400.0,0.0,1.0
2000-01-19,23.88,24.25,23.38,23.81,239300.0,0.0,1.0
2000-01-20,23.63,24.44,23.31,23.5,204300.0,0.0,1.0
2000-01-21,23.88,24.31,23.31,23.94,224500.0,0.0,1.0
2000-01-24,23.88,24.88,22.88,23.25,237000.0,0.0,1.0
2000-01-25,23.5,23.5,22.38,23.0,252100.0,0.0,1.0
2000-01-26,23.19,23.63,22.19,22.25,231600.0,0.0,1.0
2000-01-27,22.13,22.94,22.06,22.25,147800.0,0.0,1.0
2000-01-28,22.06,22.5,21.31,21.56,211400.0,0.0,1.0
2000-01-31,21.56,22.0,20.69,21.0,370100.0,0.0,1.0
2000-02-01,21.44,21.56,20.75,21.5,397400.0,0.0,1.0
2000-02-02,21.69,21.94,21.06,21.69,395100.0,0.0,1.0
2000-02-03,21.69,22.31,21.69,21.88,397200.0,0.0,1.0
2000-02-04,22.25,23.25,22.25,23.0,457200.0,0.0,1.0
2000-02-07,23.0,23.31,22.5,23.06,461400.0,0.0,1.0
2000-02-08,23.06,23.31,22.38,23.31,346000.0,0.0,1.0
2000-02-09,23.25,23.5,22.88,22.94,390500.0,0.0,1.0
2000-02-10,22.75,23.56,22.0,23.19,305800.0,0.0,1.0
2000-02-11,23.06,23.13,22.25,22.38,336600.0,0.0,1.0
2000-02-14,23.0,23.0,22.19,22.44,442100.0,0.0,1.0
2000-02-15,22.44,22.56,20.88,20.88,546200.0,0.0,1.0
2000-02-16,22.88,22.88,20.5,21.19,773400.0,0.0,1.0
2000-02-17,21.25,21.5,21.0,21.38,435300.0,0.0,1.0
2000-02-18,21.38,21.5,20.81,21.13,208800.0,0.0,1.0
2000-02-22,21.13,21.25,20.75,21.06,224000.0,0.0,1.0
2000-02-23,21.19,23.63,21.0,23.0,1435700.0,0.0,1.0
2000-02-24,34.5,35.38,29.94,32.0,10397800.0,0.0,1.0
2000-02-25,30.25,31.06,28.5,29.63,1819200.0,0.0,1.0
2000-02-28,29.63,31.13,29.19,30.06,1192300.0,0.0,1.0
2000-02-29,30.5,31.5,30.13,30.25,627500.0,0.0,1.0
2000-03-01,31.5,32.75,30.25,31.0,1001400.0,0.0,1.0
2000-03-02,31.75,31.75,29.63,30.13,632900.0,0.0,1.0
2000-03-03,30.0,31.5,30.0,31.25,697200.0,0.0,1.0
2000-03-06,32.25,33.0,31.56,32.75,935000.0,0.0,1.0
2000-03-07,33.25,34.25,33.13,34.0,1688100.0,0.0,1.0
2000-03-08,34.0,34.13,32.31,33.63,1165800.0,0.0,1.0
2000-03-09,33.63,33.88,33.13,33.88,837000.0,0.0,1.0
2000-03-10,33.88,34.44,32.5,33.31,387900.0,0.0,1.0
2000-03-13,32.31,32.69,31.56,31.94,418200.0,0.0,1.0
2000-03-14,31.44,31.88,30.44,30.81,432400.0,0.0,1.0
2000-03-15,31.25,31.38,28.38,28.56,436900.0,0.0,1.0
2000-03-16,29.5,31.0,29.0,30.88,537100.0,0.0,1.0
2000-03-17,31.0,31.38,31.0,31.38,309400.0,0.0,1.0
2000-03-20,31.13,31.88,30.75,30.81,344700.0,0.0,1.0
2000-03-21,30.69,30.69,29.31,30.69,322200.0,0.0,1.0
2000-03-22,31.69,32.63,31.0,31.94,340000.0,0.0,1.0
2000-03-23,32.13,32.19,30.06,30.75,244900.0,0.0,1.0
2000-03-24,31.0,32.38,31.0,32.06,443500.0,0.0,1.0
2000-03-27,32.31,32.5,31.69,32.13,589300.0,0.0,1.0
2000-03-28,34.0,37.5,34.0,37.5,2399400.0,0.0,1.0
2000-03-29,36.63,37.0,34.88,35.25,843300.0,0.0,1.0
2000-03-30,34.75,36.19,32.88,33.75,426500.0,0.0,1.0
2000-03-31,34.75,36.75,34.06,35.25,605500.0,0.0,1.0
2000-04-03,35.0,35.13,32.31,33.69,440200.0,0.0,1.0
2000-04-04,33.94,37.0,31.0,35.25,956800.0,0.0,1.0
2000-04-05,34.75,36.5,33.75,35.0,1045300.0,0.0,1.0
2000-04-06,35.75,37.25,35.13,37.25,796900.0,0.0,1.0
2000-04-07,37.25,37.44,36.44,37.06,616400.0,0.0,1.0
2000-04-10,37.0,37.44,35.56,35.75,376200.0,0.0,1.0
2000-04-11,35.63,36.81,33.5,34.81,487700.0,0.0,1.0
2000-04-12,34.69,35.0,33.0,33.44,372400.0,0.0,1.0
2000-04-13,33.44,34.44,32.75,33.19,322300.0,0.0,1.0
2000-04-14,32.75,32.88,28.25,28.25,671900.0,0.0,1.0
2000-04-17,28.75,34.13,28.75,34.13,525000.0,0.0,1.0
2000-04-18,33.5,36.5,32.31,34.63,783200.0,0.0,1.0
2000-04-19,35.0,37.13,35.0,35.88,895600.0,0.0,1.0
2000-04-20,35.88,38.0,35.63,36.94,805200.0,0.0,1.0
2000-04-24,36.5,37.94,35.5,37.94,1014800.0,0.0,1.0
2000-04-25,38.5,41.94,38.44,41.69,1949600.0,0.0,1.0
2000-04-26,42.0,46.0,41.75,43.13,1220900.0,0.0,1.0
2000-04-27,43.13,44.5,41.25,43.94,1450000.0,0.0,1.0
2000-04-28,44.25,45.56,43.38,43.81,1063400.0,0.0,1.0
2000-05-01,44.0,45.44,43.81,44.69,766000.0,0.0,1.0
2000-05-02,44.25,44.94,41.63,42.25,609800.0,0.0,1.0
2000-05-03,40.5,41.5,38.25,40.88,580800.0,0.0,1.0
2000-05-04,41.0,41.81,39.88,41.31,344100.0,0.0,1.0
2000-05-05,40.75,42.5,40.75,41.56,332900.0,0.0,1.0
2000-05-08,42.19,42.5,40.38,40.44,322100.0,0.0,1.0
2000-05-09,40.06,40.38,36.0,38.88,650000.0,0.0,1.0
2000-05-10,38.38,39.19,36.56,38.0,659600.0,0.0,1.0
2000-05-11,37.88,39.81,37.88,39.5,345900.0,0.0,1.0
2000-05-12,40.63,42.0,39.94,39.94,456700.0,0.0,1.0
2000-05-15,39.69,40.63,38.38,40.38,303200.0,0.0,1.0
2000-05-16,41.25,42.31,39.75,41.25,322100.0,0.0,1.0
2000-05-17,41.0,42.25,39.88,41.38,539400.0,0.0,1.0
2000-05-18,41.63,42.0,38.69,38.94,420700.0,0.0,1.0
2000-05-19,38.69,38.69,35.06,36.5,618800.0,0.0,1.0
2000-05-22,37.75,37.75,34.56,35.0,382400.0,0.0,1.0
2000-05-23,35.06,36.19,33.38,33.69,513400.0,0.0,1.0
2000-05-24,33.81,34.75,30.44,34.44,897200.0,0.0,1.0
2000-05-25,35.5,35.75,34.75,34.81,454200.0,0.0,1.0
2000-05-26,34.63,35.0,34.0,34.31,327400.0,0.0,1.0
2000-05-30,33.38,36.81,33.25,35.13,606300.0,0.0,1.0
2000-05-31,35.88,37.19,35.69,36.0,453000.0,0.0,1.0
2000-06-01,35.19,37.31,35.19,36.88,470700.0,0.0,1.0
2000-06-02,38.13,38.88,37.25,38.0,379700.0,0.0,1.0
2000-06-05,38.0,38.88,37.63,38.75,425100.0,0.0,1.0
2000-06-06,39.25,39.94,37.56,37.94,310200.0,0.0,1.0
2000-06-07,37.5,37.94,36.19,36.69,278200.0,0.0,1.0
2000-06-08,37.5,38.19,37.0,37.06,410100.0,0.0,1.0
2000-06-09,37.63,39.19,37.63,39.13,383700.0,0.0,1.0
2000-06-12,38.88,39.25,35.38,35.88,676700.0,0.0,1.0
2000-06-13,36.13,36.75,34.63,35.81,355300.0,0.0,1.0
2000-06-14,35.56,35.69,34.0,34.44,535300.0,0.0,1.0
2000-06-15,34.44,34.44,32.56,33.19,757600.0,0.0,1.0
2000-06-16,34.5,35.25,34.13,34.44,430600.0,0.0,1.0
2000-06-19,34.44,36.94,34.25,36.44,331100.0,0.0,1.0
2000-06-20,36.44,38.13,35.25,35.75,522300.0,0.0,1.0
2000-06-21,35.63,35.75,33.5,33.75,923600.0,0.0,1.0
2000-06-22,33.5,34.88,33.06,33.06,701300.0,0.0,1.0
2000-06-23,33.31,34.63,33.06,34.38,1422500.0,0.0,1.0
2000-06-26,38.0,38.0,34.19,34.81,2202900.0,0.0,1.0
2000-06-27,34.75,35.0,32.25,32.31,1179200.0,0.0,1.0
2000-06-28,32.56,33.88,32.56,33.5,786900.0,0.0,1.0
2000-06-29,33.25,33.25,32.44,32.69,882600.0,0.0,1.0
2000-06-30,32.81,33.5,31.0,31.0,751300.0,0.0,1.0
2000-07-03,31.25,34.06,31.19,33.0,486600.0,0.0,1.0
2000-07-05,33.63,33.63,30.38,31.63,840200.0,0.0,1.0
2000-07-06,32.25,33.25,31.44,33.06,509300.0,0.0,1.0
2000-07-07,33.13,36.0,33.13,35.25,749900.0,0.0,1.0
2000-07-10,35.31,37.06,35.31,36.88,529900.0,0.0,1.0
2000-07-11,37.13,37.44,36.38,36.94,585200.0,0.0,1.0
2000-07-12,36.94,37.69,36.5,37.38,513500.0,0.0,1.0
2000-07-13,38.5,39.88,38.0,38.5,468200.0,0.0,1.0
2000-07-14,38.63,39.44,38.31,39.44,323300.0,0.0,1.0
2000-07-17,39.19,39.69,37.63,39.31,346000.0,0.0,1.0
2000-07-18,38.94,39.0,36.63,37.44,359200.0,0.0,1.0
2000-07-19,37.69,37.69,34.5,34.81,504200.0,0.0,1.0
2000-07-20,35.5,38.19,35.5,35.88,297900.0,0.0,1.0
2000-07-21,36.38,36.38,34.13,34.56,347900.0,0.0,1.0
2000-07-24,34.56,36.0,34.25,34.5,288600.0,0.0,1.0
2000-07-25,34.63,35.44,34.56,35.06,287700.0,0.0,1.0
2000-07-26,35.13,35.56,33.25,35.25,417300.0,0.0,1.0
2000-07-27,35.75,36.5,33.0,33.0,586700.0,0.0,1.0
2000-07-28,33.13,34.0,31.13,32.19,753300.0,0.0,1.0
2000-07-31,33.06,33.63,31.31,33.06,548800.0,0.0,1.0
2000-08-01,33.5,33.81,33.06,33.69,225800.0,0.0,1.0
2000-08-02,33.69,34.69,33.13,33.38,287800.0,0.0,1.0
2000-08-03,33.44,34.19,31.0,34.19,667500.0,0.0,1.0
2000-08-04,34.19,34.69,32.88,34.0,433300.0,0.0,1.0
2000-08-07,34.25,34.69,34.25,34.69,354700.0,0.0,1.0
2000-08-08,34.75,34.88,34.19,34.25,312600.0,0.0,1.0
2000-08-09,34.44,34.75,34.13,34.19,463900.0,0.0,1.0
2000-08-10,34.19,34.5,33.06,33.06,283900.0,0.0,1.0
2000-08-11,33.0,33.0,31.69,32.75,458000.0,0.0,1.0
2000-08-14,33.5,34.19,32.69,33.81,349500.0,0.0,1.0
2000-08-15,33.81,33.81,33.0,33.13,413000.0,0.0,1.0
2000-08-16,33.13,34.31,32.75,34.19,329400.0,0.0,1.0
2000-08-17,34.31,34.56,33.75,34.38,198300.0,0.0,1.0
2000-08-18,34.38,35.69,34.38,34.87,456600.0,0.0,1.0
2000-08-21,35.75,37.0,35.25,36.0,482700.0,0.0,1.0
2000-08-22,35.75,36.25,35.31,35.44,168000.0,0.0,1.0
2000-08-23,35.75,36.25,34.63,35.88,140100.0,0.0,1.0
2000-08-24,35.88,36.63,35.88,36.25,211600.0,0.0,1.0
2000-08-25,36.69,36.69,36.06,36.31,142800.0,0.0,1.0
2000-08-28,36.31,36.94,36.25,36.25,372100.0,0.0,1.0
2000-08-29,36.25,36.5,35.75,35.75,254000.0,0.0,1.0
2000-08-30,35.75,37.0,35.75,36.13,341700.0,0.0,1.0
2000-08-31,36.13,37.0,36.06,36.38,136600.0,0.0,1.0
2000-09-01,36.75,37.0,36.25,36.75,114100.0,0.0,1.0
2000-09-05,37.0,37.63,36.19,36.75,380500.0,0.0,1.0
2000-09-06,37.0,37.38,36.38,36.75,782400.0,0.0,1.0
2000-09-07,36.81,37.88,36.13,37.44,249400.0,0.0,1.0
2000-09-08,37.44,37.94,36.63,37.19,380400.0,0.0,1.0
2000-09-11,37.06,38.13,36.38,37.19,356000.0,0.0,1.0
