date,open,high,low,close,volume,dividend,ratio
2000-01-03,28.37,28.37,28.22,28.22,2002689.7,0.0,1.0
2000-01-04,27.13,27.52,26.26,26.33,1729856.1,0.0,1.0
2000-01-05,25.41,25.53,24.41,25.43,2603532.5,0.0,1.0
2000-01-06,23.76,24.32,22.78,24.03,6281261.6,0.0,1.0
2000-01-07,23.83,24.61,23.7,24.58,2912613.6,0.0,1.0
2000-01-10,25.94,26.94,25.94,26.91,2395872.6,0.0,1.0
2000-01-11,26.26,27.28,25.72,26.04,1955907.9,0.0,1.0
2000-01-12,26.43,26.69,25.97,26.52,1390776.3,0.0,1.0
2000-01-13,26.91,27.76,26.38,27.69,3276334.1,0.0,1.0
2000-01-14,29.12,31.28,29.09,30.33,9385824.4,0.0,1.0
2000-01-18,29.77,31.11,29.65,30.74,3262586.6,0.0,1.0
2000-01-19,29.97,31.47,29.68,31.28,3535420.2,0.0,1.0
2000-01-20,34.21,34.74,32.85,34.31,6146987.6,0.0,1.0
2000-01-21,34.77,34.91,33.58,33.7,5652742.4,0.0,1.0
2000-01-24,33.77,34.01,31.49,31.64,3287227.3,0.0,1.0
2000-01-25,31.88,32.32,30.79,32.32,3065456.9,0.0,1.0
2000-01-26,31.03,31.11,29.48,29.8,3452032.1,0.0,1.0
2000-01-27,29.41,30.5,29.21,29.65,4083945.9,0.0,1.0
2000-01-28,29.7,30.18,28.44,28.46,2940112.7,0.0,1.0
2000-01-31,28.29,29.82,28.1,29.8,3521136.6,0.0,1.0
2000-02-01,30.14,31.06,30.09,31.06,1998404.2,0.0,1.0
2000-02-02,31.98,32.75,31.64,32.25,1856986.2,0.0,1.0
2000-02-03,33.05,34.33,32.73,33.94,2003048.6,0.0,1.0
2000-02-04,33.58,33.7,33.09,33.21,1771638.9,0.0,1.0
2000-02-07,32.8,33.17,31.95,33.17,2169820.8,0.0,1.0
2000-02-08,35.03,35.49,34.65,35.4,1561656.7,0.0,1.0
2000-02-09,35.42,35.42,34.52,34.52,1495588.0,0.0,1.0
2000-02-10,35.08,35.08,34.38,34.91,1433095.3,0.0,1.0
2000-02-11,34.43,34.62,32.56,32.56,1791635.2,0.0,1.0
2000-02-14,32.73,33.17,32.12,32.44,1309355.6,0.0,1.0
2000-02-15,32.32,32.32,30.86,32.17,3259192.0,0.0,1.0
2000-02-16,31.52,32.03,31.11,32.0,2527824.5,0.0,1.0
2000-02-17,32.25,32.61,31.3,32.56,1314532.1,0.0,1.0
2000-02-18,31.81,32.29,30.86,30.86,1535584.8,0.0,1.0
2000-02-22,31.23,31.49,30.5,31.25,1895555.9,0.0,1.0
2000-02-23,32.34,32.85,31.88,32.75,2083578.4,0.0,1.0
2000-02-24,32.68,32.68,31.35,31.54,2099289.2,0.0,1.0
2000-02-25,31.64,31.66,29.72,30.04,3561133.3,0.0,1.0
2000-02-28,30.31,30.79,29.94,30.74,2664956.9,0.0,1.0
2000-02-29,30.91,31.35,30.69,31.06,5556143.0,0.0,1.0
2000-03-01,33.14,34.77,32.68,34.55,3928603.1,0.0,1.0
2000-03-02,34.79,35.11,33.77,34.31,1386490.8,0.0,1.0
2000-03-03,35.57,36.56,35.03,36.44,1628793.8,0.0,1.0
2000-03-06,33.6,35.23,33.48,34.5,3135452.3,0.0,1.0
2000-03-07,34.48,34.74,33.21,33.29,1109907.9,0.0,1.0
2000-03-08,33.36,33.43,31.59,32.2,2325877.2,0.0,1.0
2000-03-09,32.68,33.53,32.37,33.31,3165450.9,0.0,1.0
2000-03-10,35.83,36.49,35.47,36.34,1907340.0,0.0,1.0
2000-03-13,34.43,35.28,33.94,34.69,2439796.0,0.0,1.0
2000-03-14,35.78,35.81,33.55,33.55,2084110.4,0.0,1.0
2000-03-15,33.72,33.82,31.42,31.71,2689775.0,0.0,1.0
2000-03-16,31.76,32.25,29.77,32.08,3448641.6,0.0,1.0
2000-03-17,32.73,33.41,32.0,33.29,2101252.5,0.0,1.0
2000-03-20,33.94,34.21,32.71,33.09,1845915.7,0.0,1.0
2000-03-21,30.94,31.88,30.04,31.4,2104110.9,0.0,1.0
2000-03-22,30.77,32.08,30.45,32.08,2667815.3,0.0,1.0
2000-03-23,31.74,33.34,31.59,32.61,3624875.8,0.0,1.0
2000-03-24,33.06,33.7,31.52,31.99,4679005.9,0.0,1.0
2000-03-27,33.05,33.51,32.34,33.19,1664146.2,0.0,1.0
2000-03-28,33.48,33.65,32.71,32.83,1837348.8,0.0,1.0
2000-03-29,31.88,32.0,28.12,28.24,10471982.5,0.0,1.0
2000-03-30,27.88,28.71,25.84,26.74,6218946.3,0.0,1.0
2000-03-31,27.11,27.54,25.92,27.11,4497661.3,0.0,1.0
2000-04-03,26.4,26.52,23.64,24.24,7968798.8,0.0,1.0
2000-04-04,25.31,26.62,23.58,26.01,14990180.5,0.0,1.0
2000-04-05,25.92,29.19,25.84,28.85,4880487.1,0.0,1.0
2000-04-06,29.53,32.71,29.21,31.71,7050303.8,0.0,1.0
2000-04-07,31.83,31.95,30.69,31.49,2552642.5,0.0,1.0
2000-04-10,30.57,31.25,29.24,29.26,2158750.2,0.0,1.0
2000-04-11,28.56,29.77,28.2,28.44,3200089.8,0.0,1.0
2000-04-12,28.32,28.44,26.38,26.38,4031451.4,0.0,1.0
2000-04-13,27.35,28.44,26.18,26.4,6025211.2,0.0,1.0
2000-04-14,26.33,26.43,23.18,23.5,5036188.8,0.0,1.0
2000-04-17,24.91,26.37,23.82,25.46,1194959.7,0.0,3.0
2000-04-18,26.41,28.0,25.82,27.82,2886723.2,0.0,1.0
2000-04-19,28.55,28.55,26.91,27.32,1326496.3,0.0,1.0
2000-04-20,27.19,27.64,26.5,27.19,394431.3,0.0,1.0
2000-04-24,26.0,26.73,23.64,24.32,2254990.8,0.0,1.0
2000-04-25,26.1,27.01,25.14,26.91,2075540.8,0.0,1.0
2000-04-26,27.09,27.55,26.55,26.59,1328103.6,0.0,1.0
2000-04-27,25.46,27.73,24.64,27.41,1786637.5,0.0,1.0
2000-04-28,28.05,29.41,27.55,29.09,1633792.8,0.0,1.0
2000-05-01,28.91,29.92,27.92,29.09,1259538.0,0.0,1.0
2000-05-02,29.92,30.55,28.9,28.91,1838418.4,0.0,1.0
2000-05-03,29.09,29.23,27.82,28.18,1067946.4,0.0,1.0
2000-05-04,28.46,28.46,27.46,27.73,1187044.4,0.0,1.0
2000-05-05,27.92,29.19,27.64,28.87,866714.0,0.0,1.0
2000-05-08,28.0,28.32,25.66,25.73,3710940.9,0.0,1.0
2000-05-09,26.23,26.28,24.05,24.91,3499351.5,0.0,1.0
2000-05-10,25.41,25.41,23.46,23.5,3164201.2,0.0,1.0
2000-05-11,25.09,25.64,23.46,23.96,5097254.3,0.0,1.0
2000-05-12,25.55,25.82,25.19,25.59,3355970.2,0.0,1.0
2000-05-15,26.0,26.95,25.37,26.91,1408632.0,0.0,1.0
2000-05-16,27.55,28.64,27.37,28.0,1786993.6,0.0,1.0
2000-05-17,27.41,27.68,26.91,27.55,1351315.8,0.0,1.0
2000-05-18,27.76,28.37,27.73,27.92,1715213.6,0.0,1.0
2000-05-19,27.09,27.09,25.27,25.73,1829668.6,0.0,1.0
2000-05-22,24.73,25.68,22.55,23.82,3628090.3,0.0,1.0
2000-05-23,24.59,25.01,23.37,23.37,2535681.9,0.0,1.0
2000-05-24,23.89,24.14,22.05,24.14,4032521.1,0.0,1.0
2000-05-25,24.55,25.91,23.73,23.91,2051615.0,0.0,1.0
2000-05-26,25.19,26.37,25.01,25.86,1961087.1,0.0,1.0
2000-05-30,26.1,26.95,25.78,26.5,1487197.1,0.0,1.0
2000-05-31,26.37,27.09,25.55,25.55,1420775.0,0.0,1.0
2000-06-01,26.61,29.09,26.37,29.01,3207589.8,0.0,1.0
2000-06-02,29.82,31.37,29.82,31.23,3069565.1,0.0,1.0
2000-06-05,29.68,30.46,29.14,29.96,1377206.2,0.0,1.0
2000-06-06,30.23,30.55,28.91,29.14,1954836.8,0.0,1.0
2000-06-07,26.95,28.28,26.73,27.92,2692454.6,0.0,1.0
2000-06-08,29.82,30.0,28.64,29.09,1343994.5,0.0,1.0
2000-06-09,30.37,31.14,30.18,31.14,1425952.8,0.0,1.0
2000-06-12,30.73,31.14,29.46,29.78,1834669.1,0.0,1.0
2000-06-13,29.64,30.0,29.28,29.92,873499.1,0.0,1.0
2000-06-14,30.28,30.28,28.73,29.01,1416668.2,0.0,1.0
2000-06-15,28.18,28.91,27.55,28.28,2125894.6,0.0,1.0
2000-06-16,28.96,29.28,28.59,29.01,12904460.0,0.0,1.0
2000-06-19,29.01,29.64,28.28,29.6,3664337.7,0.0,1.0
2000-06-20,30.69,31.55,30.64,31.28,3374362.0,0.0,1.0
2000-06-21,31.92,32.41,31.37,32.0,4224647.5,0.0,1.0
2000-06-22,32.77,33.01,31.64,31.73,2942076.1,0.0,1.0
2000-06-23,32.55,32.91,31.14,31.46,1018843.7,0.0,1.0
2000-06-26,31.6,31.64,31.14,31.28,1265430.8,0.0,1.0
2000-06-27,32.69,33.01,31.92,32.18,3452569.6,0.0,1.0
2000-06-28,32.71,33.19,32.46,32.59,2576392.3,0.0,1.0
2000-06-29,31.55,31.64,29.73,30.96,4271786.9,0.0,1.0
2000-06-30,31.73,32.1,31.5,32.1,1631114.6,0.0,1.0
2000-07-03,30.73,31.09,30.55,30.96,829038.0,0.0,1.0
2000-07-05,29.64,29.64,28.0,28.14,2938326.7,0.0,1.0
2000-07-06,29.55,29.73,28.96,29.37,4503375.3,0.0,1.0
2000-07-07,30.73,31.01,30.32,30.87,2620495.9,0.0,1.0
2000-07-10,31.46,32.23,30.91,31.6,1491661.3,0.0,1.0
2000-07-11,31.6,32.37,30.82,31.28,4421417.0,0.0,1.0
2000-07-12,31.9,32.28,31.09,32.1,1206149.9,0.0,1.0
2000-07-13,32.37,32.37,31.73,32.0,2484793.3,0.0,1.0
2000-07-14,33.28,33.55,32.91,33.37,1990548.1,0.0,1.0
2000-07-17,34.0,34.55,33.6,34.18,2394086.6,0.0,1.0
2000-07-18,33.09,33.19,32.37,32.5,1109371.7,0.0,1.0
2000-07-19,31.28,32.0,31.09,31.46,1215077.0,0.0,1.0
2000-07-20,31.05,32.32,31.01,32.18,3264371.2,0.0,1.0
2000-07-21,32.37,32.48,31.78,32.0,4766924.4,0.0,1.0
2000-07-24,31.5,31.5,30.0,30.46,1330603.1,0.0,1.0
2000-07-25,31.84,32.0,31.09,31.55,677264.4,0.0,1.0
2000-07-26,31.57,31.64,30.46,30.82,1487018.3,0.0,1.0
2000-07-27,30.05,30.05,28.18,28.37,2152677.3,0.0,1.0
2000-07-28,28.55,28.55,26.73,26.87,3609521.1,0.0,1.0
2000-07-31,27.96,29.36,27.46,28.91,2259455.1,0.0,1.0
2000-08-01,28.91,29.09,27.68,27.86,1551299.7,0.0,1.0
2000-08-02,27.09,27.82,27.05,27.37,1398812.5,0.0,1.0
