date,open,high,low,close,volume,dividend,ratio
2000-01-03,13.79,13.79,13.17,13.29,24974292.1,0.0,1.0
2000-01-04,13.1,13.15,12.33,12.5,49733203.8,0.0,1.0
2000-01-05,12.36,12.74,12.21,12.64,41646779.5,0.0,1.0
2000-01-06,12.88,13.72,12.83,13.72,31536289.3,0.0,1.0
2000-01-07,13.62,13.62,13.17,13.36,21196934.5,0.0,1.0
2000-01-10,13.43,13.43,12.81,12.9,20322293.1,0.0,1.0
2000-01-11,12.5,12.88,12.5,12.62,20161213.3,0.0,1.0
2000-01-12,12.62,12.91,12.62,12.76,20167044.3,0.0,1.0
2000-01-13,12.9,13.14,12.86,13.05,22452773.8,0.0,1.0
2000-01-14,13.7,13.87,13.39,13.86,37242595.6,0.0,1.0
2000-01-18,13.72,13.72,13.12,13.17,31188254.9,0.0,1.0
2000-01-19,13.14,13.5,12.81,13.17,28186048.2,0.0,1.0
2000-01-20,13.03,13.17,12.62,12.92,22319755.4,0.0,1.0
2000-01-21,12.76,12.81,12.5,12.54,23395564.4,0.0,1.0
2000-01-24,12.55,12.69,12.21,12.23,22986305.1,0.0,1.0
2000-01-25,12.33,12.54,12.26,12.38,28482333.0,0.0,1.0
2000-01-26,12.55,12.98,12.45,12.93,28136485.2,0.0,1.0
2000-01-27,13.05,13.28,12.91,13.21,23268012.5,0.0,1.0
2000-01-28,13.14,13.14,12.55,12.55,24630266.5,0.0,1.0
2000-01-31,12.76,13.29,12.71,13.29,30812887.9,0.0,1.0
2000-02-01,13.21,13.45,13.17,13.45,16336114.9,0.0,1.0
2000-02-02,13.03,13.31,13.0,13.1,21351090.1,0.0,1.0
2000-02-03,13.09,13.19,12.47,12.74,41541822.5,0.0,1.0
2000-02-04,12.88,12.93,12.43,12.59,24417072.6,0.0,1.0
2000-02-07,12.43,12.49,12.31,12.43,18885694.6,0.0,1.0
2000-02-08,12.57,12.97,12.54,12.93,19719155.0,0.0,1.0
2000-02-09,12.93,12.97,12.64,12.64,16935608.7,0.0,1.0
2000-02-10,12.64,12.76,12.26,12.31,21099630.7,0.0,1.0
2000-02-11,12.35,12.8,12.35,12.4,24618240.2,0.0,1.0
2000-02-14,12.54,12.61,12.09,12.14,24465906.8,0.0,1.0
2000-02-15,12.09,12.62,12.09,12.52,25207894.2,0.0,1.0
2000-02-16,12.69,12.76,12.38,12.4,21755976.2,0.0,1.0
2000-02-17,12.47,12.71,12.16,12.25,22333968.4,0.0,1.0
2000-02-18,12.23,12.26,11.9,12.0,27328899.7,0.0,1.0
2000-02-22,11.85,12.59,11.8,12.28,23984854.0,0.0,1.0
2000-02-23,12.35,12.8,12.19,12.55,25022033.0,0.0,1.0
2000-02-24,12.59,12.69,12.04,12.3,20896276.5,0.0,1.0
2000-02-25,12.28,12.57,12.11,12.11,19321922.0,0.0,1.0
2000-02-28,12.28,12.88,12.23,12.61,25073053.7,0.0,1.0
2000-02-29,12.61,12.74,12.36,12.62,21488481.7,0.0,1.0
2000-03-01,12.76,12.81,12.43,12.64,17657286.1,0.5,1.0
2000-03-02,12.64,12.64,12.38,12.5,19128756.7,0.0,1.0
2000-03-03,12.69,12.8,12.38,12.48,23117083.5,0.0,1.0
2000-03-06,12.48,12.74,12.21,12.34,17713520.7,0.0,1.0
2000-03-07,12.48,12.54,12.14,12.21,16061450.7,0.0,1.0
2000-03-08,12.21,12.38,12.08,12.1,14646935.7,0.0,1.0
2000-03-09,12.1,12.21,11.88,11.95,23599763.4,0.0,1.0
2000-03-10,11.91,12.0,11.74,11.9,21870911.6,0.0,1.0
2000-03-13,11.9,12.22,11.79,11.98,19196887.0,0.0,1.0
2000-03-14,12.08,12.15,11.79,11.83,14839430.8,0.0,1.0
2000-03-15,11.9,12.78,11.83,12.73,36808032.0,0.0,1.0
2000-03-16,13.04,13.73,12.94,13.66,49037963.7,0.0,1.0
2000-03-17,13.7,14.08,13.59,13.87,37561430.6,0.0,1.0
2000-03-20,13.87,13.94,13.42,13.77,19375323.5,0.0,1.0
2000-03-21,13.77,14.36,13.73,14.15,24857110.1,0.0,1.0
2000-03-22,14.27,14.41,13.89,14.27,20161886.2,0.0,1.0
2000-03-23,14.49,15.03,14.18,15.03,27802574.5,0.0,1.0
2000-03-24,14.96,15.31,14.77,15.15,29876764.0,0.0,1.0
2000-03-27,15.12,15.26,14.76,15.02,19261773.0,0.0,1.0
2000-03-28,14.6,15.17,14.6,14.86,19345043.4,0.0,1.0
2000-03-29,14.7,14.74,14.39,14.43,20959263.2,0.0,1.0
2000-03-30,14.49,14.55,13.99,14.1,18727184.4,0.0,1.0
2000-03-31,14.15,14.77,14.05,14.55,18459709.8,0.0,1.0
2000-04-03,14.44,15.41,14.44,15.4,30819053.1,0.0,1.0
2000-04-04,15.43,15.69,14.79,15.03,33274988.6,0.0,1.0
2000-04-05,14.96,15.33,14.88,14.98,16558189.2,0.0,1.0
2000-04-06,15.05,15.14,14.7,14.82,14547083.3,0.0,1.0
2000-04-07,14.72,14.93,14.43,14.51,13973563.1,0.0,1.0
2000-04-10,14.51,14.95,14.46,14.65,18555957.4,0.0,1.0
2000-04-11,14.63,14.81,14.37,14.52,13677610.8,0.0,1.0
2000-04-12,14.74,15.53,14.74,15.14,28279486.7,0.0,1.0
2000-04-13,15.15,15.33,14.58,14.65,21929669.5,0.0,1.0
2000-04-14,14.39,14.39,13.49,13.85,35850242.3,0.0,1.0
2000-04-17,13.85,14.15,13.35,13.96,25138643.3,0.0,1.0
2000-04-18,14.15,14.2,13.8,14.15,20378533.4,0.0,1.0
2000-04-19,14.13,14.13,13.58,13.72,14263387.2,0.0,1.0
2000-04-20,13.91,13.92,13.72,13.75,11604502.7,0.0,1.0
2000-04-24,13.75,14.29,13.7,14.29,15705298.6,0.0,1.0
2000-04-25,14.16,14.89,14.15,14.82,17605377.3,0.0,1.0
2000-04-26,14.62,14.69,14.2,14.36,13954818.2,0.0,1.0
2000-04-27,14.01,14.32,13.89,14.22,16151930.7,0.0,1.0
2000-04-28,14.18,14.25,13.42,13.59,24929205.6,0.0,1.0
2000-05-01,13.61,14.13,13.4,13.87,16987157.8,0.0,1.0
2000-05-02,13.68,14.13,13.68,13.77,15957272.6,0.0,1.0
2000-05-03,13.77,14.1,13.4,13.59,14008529.4,0.0,1.0
2000-05-04,13.51,13.58,13.23,13.32,18071475.2,0.0,1.0
2000-05-05,13.11,13.47,13.07,13.19,14909724.0,0.0,1.0
2000-05-08,13.09,13.54,13.09,13.37,17040508.5,0.0,1.0
2000-05-09,13.45,13.78,13.21,13.37,17352321.9,0.0,1.0
2000-05-10,13.3,13.44,12.87,12.9,24304137.1,0.0,1.0
2000-05-11,13.25,13.3,12.92,13.14,24396419.4,0.0,1.0
2000-05-12,13.14,13.58,12.85,13.48,21177712.7,0.0,1.0
2000-05-15,13.49,14.11,13.47,14.05,19392266.0,0.0,1.0
2000-05-16,14.13,14.32,13.65,13.78,19300704.6,0.0,1.0
2000-05-17,13.61,13.82,13.47,13.68,10985201.8,0.0,1.0
2000-05-18,13.7,14.1,13.68,13.96,16774115.4,0.0,1.0
2000-05-19,13.75,13.92,13.63,13.8,16448964.4,0.0,1.0
2000-05-22,13.8,13.96,13.52,13.94,14748590.4,0.0,1.0
2000-05-23,13.99,14.74,13.94,14.58,26046326.5,0.0,1.0
2000-05-24,14.84,15.57,14.81,15.52,40462916.8,0.0,1.0
2000-05-25,15.26,15.55,15.12,15.34,26234856.4,0.0,1.0
2000-05-26,15.26,15.33,14.95,15.15,19133082.4,0.0,1.0
2000-05-30,15.24,15.31,15.07,15.24,14564025.8,0.0,1.0
2000-05-31,15.15,15.66,15.15,15.52,19795903.2,0.5,1.0
2000-06-01,15.54,16.16,15.48,15.9,24555980.0,0.0,1.0
2000-06-02,16.78,17.07,16.58,17.07,32132304.5,0.0,1.0
2000-06-05,16.58,16.65,16.23,16.58,15929323.3,0.0,1.0
2000-06-06,16.06,16.15,15.71,15.88,22955473.8,0.0,1.0
2000-06-07,15.87,16.22,15.71,16.18,14469218.7,0.0,1.0
2000-06-08,16.08,16.08,15.85,15.88,12323540.1,0.0,1.0
2000-06-09,15.94,16.08,15.59,15.68,10920596.4,0.0,1.0
2000-06-12,15.68,15.88,15.66,15.81,9308658.1,0.0,1.0
2000-06-13,15.8,15.83,15.55,15.59,13496053.8,0.0,1.0
2000-06-14,15.59,15.68,15.38,15.48,16055077.3,0.0,1.0
2000-06-15,15.55,15.55,14.33,14.54,37999517.2,0.0,1.0
2000-06-16,14.61,14.63,13.02,13.44,61997463.5,0.0,1.0
2000-06-19,13.33,13.8,13.28,13.54,36982052.5,0.0,1.0
2000-06-20,13.77,13.89,13.44,13.58,18245770.1,0.0,1.0
2000-06-21,13.54,13.59,12.95,13.33,19313607.8,0.0,1.0
