date,open,high,low,close,volume,dividend,ratio
2000-01-03,6.67,6.67,6.5,6.5,229353.4,0.0,1.0
2000-01-04,6.8,6.8,6.69,6.73,376282.9,0.0,1.0
2000-01-05,6.72,6.78,6.66,6.77,789995.1,0.0,1.0
2000-01-06,6.75,6.78,6.63,6.7,162458.7,0.0,1.0
2000-01-07,6.91,7.16,6.91,7.16,985901.1,0.0,1.0
2000-01-10,7.09,7.16,7.05,7.09,342835.6,0.0,1.0
2000-01-11,6.84,6.91,6.77,6.78,223380.7,0.0,1.0
2000-01-12,6.81,6.84,6.72,6.8,531972.5,0.0,1.0
2000-01-13,6.86,6.86,6.75,6.84,304211.8,0.0,1.0
2000-01-14,6.83,6.84,6.81,6.84,69682.0,0.0,1.0
2000-01-18,6.66,6.72,6.54,6.72,214222.5,0.0,1.0
2000-01-19,6.61,6.61,6.5,6.58,139762.2,0.0,1.0
2000-01-20,6.66,6.8,6.66,6.75,92776.6,0.0,1.0
2000-01-21,6.63,6.63,6.53,6.53,186349.6,0.0,1.0
2000-01-24,6.47,6.47,6.34,6.34,595283.6,0.0,1.0
2000-01-25,6.37,6.47,6.34,6.34,103527.6,0.0,1.0
2000-01-26,6.34,6.39,6.26,6.26,186349.6,0.0,1.0
2000-01-27,6.22,6.28,6.15,6.2,147725.9,0.0,1.0
2000-01-28,6.22,6.22,6.0,6.0,115871.3,0.0,1.0
2000-01-31,5.93,6.0,5.85,5.95,423268.5,0.0,1.0
2000-02-01,5.95,5.96,5.87,5.96,211833.4,0.0,1.0
2000-02-02,5.96,5.96,5.93,5.93,211833.4,0.0,1.0
2000-02-03,5.95,5.95,5.84,5.87,61320.2,0.0,1.0
2000-02-04,5.87,5.93,5.75,5.93,108305.8,0.0,1.0
2000-02-07,5.96,6.03,5.87,5.89,547501.6,0.0,1.0
2000-02-08,6.03,6.06,5.96,5.98,102731.2,0.0,1.0
2000-02-09,5.79,5.79,5.71,5.71,195507.9,0.0,1.0
2000-02-10,5.62,5.62,5.56,5.6,89591.2,0.0,1.0
2000-02-11,5.46,5.56,5.46,5.51,205462.4,0.0,1.0
2000-02-14,5.35,5.51,5.35,5.45,237317.1,0.0,1.0
