date,open,high,low,close,volume,dividend,ratio
2000-01-03,3.46,3.48,3.23,3.32,937835.1,0.0,1.0
2000-01-04,3.32,3.35,3.22,3.24,1064583.3,0.0,1.0
2000-01-05,3.26,3.29,3.23,3.25,999902.6,0.0,1.0
2000-01-06,3.24,3.37,3.23,3.36,1264876.8,0.0,1.0
2000-01-07,3.36,3.48,3.36,3.48,613398.8,0.0,1.0
2000-01-10,3.5,3.51,3.39,3.44,399546.4,0.0,1.0
2000-01-11,3.45,3.47,3.38,3.4,781355.8,0.0,1.0
2000-01-12,3.41,3.44,3.32,3.34,541418.3,0.0,1.0
2000-01-13,3.4,3.5,3.34,3.49,696857.0,0.0,1.0
2000-01-14,3.48,3.55,3.45,3.46,732847.2,0.0,1.0
2000-01-18,3.44,3.44,3.23,3.35,684338.7,0.0,1.0
2000-01-19,3.33,3.34,3.26,3.31,373985.5,0.0,1.0
2000-01-20,3.32,3.34,3.25,3.29,365120.9,0.0,1.0
2000-01-21,3.3,3.3,3.16,3.17,708851.1,0.0,1.0
2000-01-24,3.17,3.2,3.06,3.11,828299.6,0.0,1.0
2000-01-25,3.1,3.13,2.78,2.92,1819854.0,0.0,1.0
2000-01-26,2.96,2.99,2.94,2.98,544547.9,0.0,1.0
2000-01-27,3.04,3.06,2.92,2.93,762578.3,0.0,1.0
2000-01-28,2.96,2.99,2.83,2.84,777702.0,0.0,1.0
2000-01-31,2.84,2.89,2.77,2.82,818386.6,0.0,1.0
2000-02-01,2.84,2.84,2.63,2.63,1548104.3,0.0,1.0
2000-02-02,2.65,2.79,2.65,2.72,981649.3,0.0,1.0
2000-02-03,2.75,2.79,2.61,2.64,951918.2,0.0,1.0
2000-02-04,2.66,2.67,2.53,2.59,848117.7,0.0,1.0
2000-02-07,2.56,2.57,2.48,2.48,1624779.1,0.0,1.0
2000-02-08,2.44,2.53,2.18,2.34,3026179.7,0.07,1.0
2000-02-09,2.31,2.31,1.96,2.11,6905545.0,0.0,1.0
2000-02-10,2.12,2.21,2.02,2.1,4146966.8,0.0,1.0
2000-02-11,2.1,2.15,2.01,2.05,1875775.2,0.0,1.0
2000-02-14,2.09,2.16,2.08,2.16,2026457.9,0.0,1.0
2000-02-15,2.19,2.37,2.19,2.37,1900716.2,0.0,1.0
2000-02-16,2.36,2.53,2.23,2.32,1879929.4,0.0,1.0
2000-02-17,2.33,2.35,2.25,2.32,785642.1,0.0,1.0
2000-02-18,2.29,2.35,2.18,2.19,1102603.5,0.0,1.0
2000-02-22,2.17,2.25,2.14,2.21,832406.6,0.0,1.0
2000-02-23,2.26,2.26,2.21,2.22,1085456.6,0.0,1.0
2000-02-24,2.21,2.25,2.16,2.17,960229.3,0.0,1.0
2000-02-25,2.16,2.18,2.12,2.13,675488.6,0.0,1.0
2000-02-28,2.15,2.23,2.09,2.21,1325513.9,0.0,1.0
2000-02-29,2.2,2.26,2.19,2.19,1883569.2,0.0,1.0
2000-03-01,2.19,2.25,2.17,2.19,879171.0,0.0,1.0
2000-03-02,2.19,2.22,2.16,2.17,814223.0,0.0,1.0
2000-03-03,2.17,2.26,2.17,2.26,2553337.0,0.0,1.0
2000-03-06,2.29,2.33,2.25,2.29,1357726.8,0.0,1.0
2000-03-07,2.28,2.29,2.18,2.2,1361366.6,0.0,1.0
2000-03-08,2.2,2.26,2.16,2.16,1311484.6,0.0,1.0
2000-03-09,2.17,2.24,2.17,2.17,1103640.2,0.0,1.0
2000-03-10,2.11,2.13,1.92,1.92,2481631.5,0.0,1.0
2000-03-13,1.92,1.99,1.88,1.92,2129339.6,0.0,1.0
2000-03-14,1.92,1.97,1.89,1.9,2104920.8,0.0,1.0
2000-03-15,1.92,1.98,1.88,1.95,2282103.4,0.0,1.0
2000-03-16,1.96,2.12,1.96,2.02,3146208.4,0.0,1.0
2000-03-17,1.97,2.07,1.96,1.96,2014509.6,0.0,1.0
2000-03-20,1.96,2.06,1.89,2.05,3569683.5,0.0,1.0
2000-03-21,2.04,2.05,1.97,2.05,1100522.5,0.0,1.0
2000-03-22,2.04,2.05,2.01,2.03,500901.4,0.0,1.0
2000-03-23,2.02,2.13,2.01,2.07,969582.2,0.0,1.0
2000-03-24,2.08,2.09,1.96,1.97,1235102.7,0.0,1.0
2000-03-27,1.99,2.01,1.96,1.96,656260.6,0.0,1.0
2000-03-28,1.97,1.97,1.92,1.92,1945399.6,0.0,1.0
