date,open,high,low,close,volume,dividend,ratio
2000-01-03,24.31,24.31,23.55,23.74,2301331.1,0.0,1.0
2000-01-04,22.97,23.72,22.66,23.65,2283158.4,0.0,1.0
2000-01-05,23.59,24.1,23.59,23.76,1714516.5,0.0,1.0
2000-01-06,23.55,25.35,23.55,24.68,2221371.0,0.0,1.0
2000-01-07,25.42,25.84,25.1,25.76,1920033.8,0.0,1.0
2000-01-10,25.71,25.92,25.54,25.61,2652560.8,0.0,1.0
2000-01-11,25.42,25.42,24.91,24.95,1848664.4,0.0,1.0
2000-01-12,24.86,24.99,24.78,24.99,2046251.8,0.0,1.0
2000-01-13,24.82,25.69,24.74,25.46,2032374.4,0.0,1.0
2000-01-14,25.01,25.25,24.25,24.4,2043938.9,0.0,1.0
2000-01-18,23.83,24.29,23.61,23.91,1958692.2,0.0,1.0
2000-01-19,23.99,24.29,23.25,23.44,2347589.0,0.0,1.0
2000-01-20,23.49,23.65,22.89,22.98,1918051.3,0.0,1.0
2000-01-21,23.04,23.04,22.15,22.57,2753667.4,0.0,1.0
2000-01-24,22.55,22.55,21.72,21.77,1783572.9,0.0,1.0
2000-01-25,22.02,22.09,21.56,21.64,1711212.3,0.0,1.0
2000-01-26,22.17,22.4,21.75,22.02,2889137.0,0.0,1.0
2000-01-27,22.09,22.32,21.64,21.92,1634886.8,0.0,1.0
2000-01-28,21.79,22.21,21.75,21.96,2801577.4,0.0,1.0
2000-01-31,21.79,21.94,21.28,21.72,1427387.0,0.0,1.0
2000-02-01,21.79,22.06,21.73,21.75,1344783.6,0.0,1.0
2000-02-02,22.09,22.44,21.98,22.32,3680477.7,0.0,1.0
2000-02-03,22.4,22.87,22.13,22.64,3481899.1,0.0,1.0
2000-02-04,22.87,23.02,22.81,22.97,2544185.2,0.0,1.0
2000-02-07,23.08,23.12,22.72,23.08,2360475.2,0.0,1.0
2000-02-08,22.32,22.93,21.98,22.62,3818260.2,0.0,1.0
2000-02-09,23.0,23.46,22.59,23.3,5906805.0,0.0,1.0
2000-02-10,23.61,23.99,23.55,23.87,4285465.1,0.0,1.0
2000-02-11,24.14,24.33,24.06,24.18,3413833.9,0.0,1.0
2000-02-14,24.25,24.25,23.99,24.19,1486531.0,0.0,1.0
2000-02-15,24.21,24.23,23.76,24.0,3803061.2,0.0,1.0
2000-02-16,23.95,24.19,23.83,23.85,4088208.2,0.0,1.0
2000-02-17,23.95,24.18,23.8,24.06,2656856.2,0.0,1.0
2000-02-18,23.61,23.91,23.27,23.3,3242018.8,0.0,1.0
2000-02-22,23.3,23.46,22.77,22.94,2893762.8,0.0,1.0
