date,open,high,low,close,volume,dividend,ratio
2000-01-03,32.01,32.01,30.91,31.29,8615814.5,0.0,1.0
2000-01-04,31.26,31.33,29.51,29.57,8139892.3,0.0,1.0
2000-01-05,29.68,30.12,29.42,30.08,10989736.4,0.0,1.0
2000-01-06,30.45,31.33,30.41,30.68,10271443.7,0.0,1.0
2000-01-07,30.54,32.78,30.52,32.71,7346214.4,0.0,1.0
2000-01-10,32.71,33.42,32.27,33.4,6335199.6,0.0,1.0
2000-01-11,33.13,33.44,32.16,32.21,4203079.2,0.0,1.0
2000-01-12,32.74,33.22,31.6,32.16,6667178.8,0.0,1.0
2000-01-13,32.54,33.79,31.95,33.37,8179718.4,0.0,1.0
2000-01-14,33.84,35.33,33.75,34.49,3250808.0,0.0,2.0
2000-01-18,34.27,36.38,33.92,36.03,8437450.4,0.0,1.0
2000-01-19,36.52,37.35,35.24,36.47,5875065.5,0.0,1.0
2000-01-20,36.83,37.35,35.15,35.15,7896810.6,0.0,1.0
2000-01-21,36.17,36.21,33.75,34.1,5006998.1,0.0,1.0
2000-01-24,33.88,36.03,32.69,33.04,7119632.1,0.0,1.0
2000-01-25,33.44,34.98,32.16,34.93,5306547.5,0.0,1.0
2000-01-26,34.54,36.56,34.23,35.46,5380510.3,0.0,1.0
2000-01-27,35.55,36.12,32.69,34.41,4422976.3,0.0,1.0
2000-01-28,34.19,34.98,32.26,32.34,4031826.8,0.0,1.0
2000-01-31,32.38,34.8,31.64,34.41,4622249.2,0.0,1.0
2000-02-01,34.67,36.65,33.75,36.47,6444010.3,0.0,1.0
2000-02-02,36.56,37.97,35.86,37.97,7034574.9,0.0,1.0
2000-02-03,37.97,38.67,37.44,38.1,6600896.8,0.0,1.0
2000-02-04,38.49,38.67,37.0,37.26,4656385.9,0.0,1.0
2000-02-07,36.56,36.73,35.86,36.03,3650776.1,0.0,1.0
2000-02-08,36.52,37.79,36.38,37.3,3471558.5,0.0,1.0
2000-02-09,36.56,37.26,36.17,37.18,2086320.3,0.0,1.0
2000-02-10,37.13,37.18,36.47,36.65,3928278.9,0.0,1.0
2000-02-11,36.65,36.78,35.86,36.34,2945711.3,0.0,1.0
2000-02-14,36.25,36.3,35.15,35.68,2640330.3,0.0,1.0
2000-02-15,35.19,35.5,34.1,34.72,3805386.8,0.0,1.0
2000-02-16,34.58,34.67,32.61,33.57,6018866.3,0.0,1.0
2000-02-17,33.75,33.75,30.58,30.93,9893095.5,0.0,1.0
2000-02-18,30.76,32.3,29.44,31.6,8540144.9,0.0,1.0
2000-02-22,31.5,31.81,29.97,30.93,5361735.1,0.0,1.0
2000-02-23,31.2,31.81,30.68,31.33,6069644.6,0.0,1.0
2000-02-24,31.43,31.68,30.23,31.2,5675934.9,0.0,1.0
2000-02-25,31.11,33.99,30.76,33.49,10949910.3,0.0,1.0
