date,open,high,low,close,volume,dividend,ratio
2000-01-03,19.89,19.89,19.12,19.36,9474585.6,0.0,1.0
2000-01-04,19.2,19.48,19.1,19.36,7994964.4,0.0,1.0
2000-01-05,19.23,20.04,19.23,19.78,12022678.2,0.0,1.0
2000-01-06,19.75,20.65,19.75,20.55,9400734.1,0.0,1.0
2000-01-07,20.84,21.04,20.61,20.91,9690093.8,0.0,1.0
2000-01-10,20.85,20.85,20.3,20.35,4545106.2,0.0,1.0
2000-01-11,20.35,20.58,20.13,20.16,6027318.7,0.0,1.0
2000-01-12,20.16,20.29,19.89,20.09,6462221.9,0.0,1.0
2000-01-13,20.03,20.67,19.94,20.27,7025393.6,0.0,1.0
2000-01-14,19.87,20.25,19.81,20.14,7931478.0,0.0,1.0
2000-01-18,20.26,20.72,20.13,20.68,9322995.7,0.0,1.0
2000-01-19,20.61,20.61,20.32,20.36,10855306.3,0.0,1.0
2000-01-20,20.42,20.42,20.1,20.26,7384717.8,0.0,1.0
2000-01-21,20.35,20.81,20.33,20.51,8524881.3,0.0,1.0
2000-01-24,20.72,20.93,20.36,20.56,7636935.8,0.0,1.0
2000-01-25,20.56,20.95,20.29,20.51,8323625.1,0.0,1.0
2000-01-26,20.67,20.78,20.03,20.32,5789352.7,0.0,1.0
2000-01-27,20.22,20.29,19.35,19.52,7667599.3,0.0,1.0
2000-01-28,19.35,19.38,18.96,19.12,8780122.4,0.0,1.0
2000-01-31,19.0,19.44,18.7,19.36,7904701.4,0.0,1.0
2000-02-01,19.31,19.55,19.1,19.26,5639490.3,0.0,1.0
2000-02-02,19.15,19.44,19.09,19.13,7382558.4,0.0,1.0
2000-02-03,19.02,19.1,18.67,18.86,7585542.0,0.0,1.0
2000-02-04,18.81,18.81,18.15,18.19,9121739.6,0.0,1.0
2000-02-07,18.32,18.52,18.16,18.31,6771016.2,0.0,1.0
2000-02-08,18.55,18.68,18.13,18.13,7703445.3,0.0,1.0
2000-02-09,18.16,18.22,17.35,17.37,10370304.9,0.0,1.0
2000-02-10,17.5,17.93,17.34,17.79,8276118.3,0.0,1.0
2000-02-11,17.92,17.97,16.72,17.13,10839758.6,0.0,1.0
2000-02-14,17.18,17.47,17.05,17.09,10882946.6,0.0,1.0
2000-02-15,17.24,17.99,17.24,17.94,13266061.0,0.0,1.0
2000-02-16,18.15,18.43,18.05,18.17,10170464.0,0.65,1.0
2000-02-17,18.24,18.26,17.88,18.15,8000256.8,0.0,1.0
2000-02-18,18.09,18.15,17.7,17.79,7646050.8,0.0,1.0
2000-02-22,17.53,17.79,17.34,17.67,7551824.4,0.0,1.0
2000-02-23,17.51,17.53,17.0,17.1,8073496.4,0.0,1.0
2000-02-24,17.12,17.17,16.67,16.68,11597566.9,0.0,1.0
2000-02-25,16.81,16.99,16.33,16.59,13820027.0,0.0,1.0
2000-02-28,16.59,17.5,16.55,17.41,10916994.7,0.0,1.0
2000-02-29,17.41,17.61,17.15,17.44,9201216.1,0.0,1.0
2000-03-01,17.41,17.66,16.96,17.57,9922477.0,0.0,1.0
2000-03-02,17.6,18.08,17.5,17.67,8673976.1,0.0,1.0
2000-03-03,17.41,17.6,17.17,17.41,9931471.4,0.0,1.0
2000-03-06,17.38,17.45,17.21,17.28,6027068.5,0.0,1.0
2000-03-07,17.41,19.15,17.39,18.91,11992461.5,0.0,1.0
2000-03-08,18.71,19.7,18.62,18.93,15553366.0,0.0,1.0
2000-03-09,18.75,19.61,18.62,19.44,9223916.1,0.0,1.0
2000-03-10,19.51,19.8,18.55,18.77,11531180.1,0.0,1.0
2000-03-13,18.9,19.55,18.62,18.63,8931814.0,0.0,1.0
2000-03-14,18.68,19.41,18.52,19.35,9014476.4,0.0,1.0
2000-03-15,19.35,19.61,18.88,19.6,8043943.6,0.0,1.0
2000-03-16,19.42,20.31,19.07,19.64,11123864.7,0.0,1.0
2000-03-17,19.6,19.61,19.22,19.45,9103563.2,0.0,1.0
2000-03-20,19.51,19.63,19.07,19.36,4883501.7,0.0,1.0
2000-03-21,19.38,20.2,19.38,20.08,7593798.0,0.0,1.0
2000-03-22,19.73,20.02,19.25,19.61,5983810.0,0.0,1.0
2000-03-23,19.38,20.03,19.2,19.76,8989634.8,0.0,1.0
2000-03-24,19.79,20.07,19.79,19.99,6028781.7,0.0,1.0
2000-03-27,19.66,20.05,19.25,19.74,8082490.8,0.0,1.0
2000-03-28,19.51,20.02,19.44,19.82,6983039.0,0.0,1.0
2000-03-29,19.8,20.78,19.77,20.66,11363285.6,0.0,1.0
2000-03-30,20.82,21.54,20.79,21.52,16753468.8,0.0,1.0
2000-03-31,21.54,22.01,21.45,21.58,13452972.0,0.0,1.0
2000-04-03,21.63,21.89,21.36,21.55,7660613.1,0.0,1.0
2000-04-04,21.61,21.77,20.87,20.97,16368425.1,0.0,1.0
2000-04-05,20.93,21.17,20.4,20.43,6337159.3,0.0,1.0
2000-04-06,20.55,20.97,20.39,20.77,4923333.8,0.0,1.0
2000-04-07,20.77,20.77,20.15,20.18,6158985.6,0.0,1.0
2000-04-10,19.95,20.42,19.88,20.09,5177317.0,0.0,1.0
2000-04-11,20.21,20.9,20.21,20.71,7374078.9,0.0,1.0
2000-04-12,20.85,21.12,20.65,20.78,5986379.8,0.0,1.0
2000-04-13,20.77,20.77,20.3,20.3,10735822.9,0.0,1.0
2000-04-14,20.31,20.33,19.95,20.01,8072211.5,0.0,1.0
