date,open,high,low,close,volume,dividend,ratio
2000-01-03,3.12,3.12,2.96,2.99,1240640.9,0.0,1.0
2000-01-04,3.02,3.02,2.76,2.88,839501.8,0.0,1.0
2000-01-05,2.89,2.93,2.86,2.92,740986.1,0.0,1.0
2000-01-06,2.91,2.91,2.76,2.76,3667719.9,0.0,1.0
2000-01-07,2.79,2.91,2.78,2.86,1010976.1,0.0,1.0
2000-01-10,2.86,2.92,2.81,2.92,858997.6,0.0,1.0
2000-01-11,2.92,2.92,2.72,2.74,4325259.5,0.0,1.0
2000-01-12,2.74,2.76,2.69,2.71,1787262.8,0.0,1.0
2000-01-13,2.76,2.78,2.69,2.74,1745905.2,0.0,1.0
2000-01-14,2.75,2.86,2.68,2.86,1435598.7,0.0,1.0
2000-01-18,2.74,2.75,2.68,2.72,1304445.3,0.0,1.0
2000-01-19,2.76,2.76,2.62,2.65,1156308.3,0.0,1.0
2000-01-20,2.68,2.68,2.57,2.65,1851510.3,0.0,1.0
2000-01-21,2.65,2.65,2.55,2.62,1671320.5,0.0,1.0
2000-01-24,2.72,2.74,2.6,2.62,2633703.3,0.0,1.0
2000-01-25,2.65,2.65,2.46,2.48,1573841.6,0.0,1.0
2000-01-26,2.51,2.6,2.51,2.53,1724490.8,0.0,1.0
2000-01-27,2.54,2.62,2.54,2.55,1655515.6,0.0,1.0
2000-01-28,2.54,2.57,2.51,2.51,1572215.4,0.0,1.0
2000-01-31,2.71,2.71,2.57,2.62,2180129.5,0.0,1.0
2000-02-01,2.64,2.64,2.55,2.58,1518898.9,0.0,1.0
2000-02-02,2.68,2.68,2.58,2.62,2217942.4,0.0,1.0
2000-02-03,2.65,2.82,2.65,2.76,3117386.5,0.03,1.0
2000-02-04,2.86,2.86,2.73,2.75,1318744.9,0.0,1.0
2000-02-07,2.8,2.8,2.75,2.79,1474290.1,0.0,1.0
2000-02-08,2.79,2.89,2.77,2.8,1857850.4,0.0,1.0
2000-02-09,2.93,2.94,2.8,2.82,1127848.5,0.0,1.0
2000-02-10,3.01,3.01,2.79,2.8,2547198.4,0.0,1.0
2000-02-11,2.8,2.8,2.69,2.73,1002351.8,0.0,1.0
2000-02-14,2.73,2.86,2.73,2.82,1286928.8,0.0,1.0
2000-02-15,2.83,2.86,2.77,2.82,1613927.3,0.0,1.0
2000-02-16,2.83,2.83,2.65,2.65,1551916.9,0.0,1.0
2000-02-17,2.76,2.82,2.69,2.69,1576808.5,0.0,1.0
2000-02-18,2.65,2.7,2.52,2.69,2580782.1,0.0,1.0
2000-02-22,2.69,2.69,2.56,2.66,1205621.1,0.0,1.0
2000-02-23,2.62,2.66,2.55,2.59,1015758.8,0.0,1.0
2000-02-24,2.58,2.62,2.52,2.53,922811.7,0.0,1.0
2000-02-25,2.59,2.59,2.55,2.55,1779344.3,0.0,1.0
2000-02-28,2.55,2.6,2.52,2.56,856236.5,0.0,1.0
2000-02-29,2.56,2.58,2.52,2.55,1209010.4,0.0,1.0
2000-03-01,2.58,2.73,2.58,2.73,1990417.3,0.0,1.0
2000-03-02,2.72,2.75,2.7,2.73,1440560.6,0.0,1.0
2000-03-03,2.73,2.83,2.72,2.75,987477.8,0.0,1.0
2000-03-06,2.75,2.76,2.62,2.69,446162.8,0.0,1.0
2000-03-07,2.66,2.67,2.56,2.56,1223888.8,0.0,1.0
2000-03-08,2.55,2.62,2.55,2.59,1094857.0,0.0,1.0
2000-03-09,2.62,2.7,2.6,2.7,687580.5,0.0,1.0
2000-03-10,2.66,2.67,2.59,2.62,696564.1,0.0,1.0
2000-03-13,2.58,2.72,2.58,2.62,911030.9,0.0,1.0
2000-03-14,2.67,2.67,2.55,2.55,1950355.6,0.0,1.0
2000-03-15,2.56,2.83,2.56,2.73,1202678.1,0.0,1.0
2000-03-16,2.86,3.18,2.86,3.11,5088802.6,0.0,1.0
2000-03-17,3.04,3.1,3.0,3.03,1411692.0,0.0,1.0
2000-03-20,3.04,3.11,3.03,3.06,816758.1,0.0,1.0
2000-03-21,3.0,3.04,2.94,3.03,1308731.7,0.0,1.0
