date,open,high,low,close,volume,dividend,ratio
2000-01-03,8.6,8.63,8.29,8.34,1559296.6,0.0,1.0
2000-01-04,8.38,8.39,7.98,8.03,2564052.6,0.0,1.0
2000-01-05,8.11,8.29,7.96,8.26,3018731.2,0.0,1.0
2000-01-06,8.03,8.4,7.84,8.21,1354551.7,0.0,1.0
2000-01-07,8.25,8.34,8.2,8.28,1852187.7,0.0,1.0
2000-01-10,8.32,8.45,8.31,8.45,2741460.9,0.0,1.0
2000-01-11,8.42,8.47,8.21,8.23,1974923.0,0.0,1.0
2000-01-12,8.2,8.21,7.94,8.01,1355667.5,0.0,1.0
2000-01-13,8.08,8.2,8.08,8.13,3219570.8,0.0,1.0
2000-01-14,8.11,8.16,7.94,8.13,1847724.6,0.0,1.0
2000-01-18,8.04,8.04,7.87,7.91,2085384.8,0.0,1.0
2000-01-19,7.87,7.93,7.75,7.82,3061130.7,0.0,1.0
2000-01-20,7.81,7.82,7.58,7.65,1250226.7,0.0,1.0
2000-01-21,7.65,7.65,7.26,7.38,4684026.5,0.0,1.0
2000-01-24,7.35,7.35,6.8,6.81,4746509.9,0.0,1.0
2000-01-25,6.86,7.26,6.86,7.23,4022929.4,0.0,1.0
2000-01-26,7.23,7.51,7.2,7.44,2441875.2,0.0,1.0
2000-01-27,7.24,7.63,7.23,7.45,4479839.5,0.0,1.0
2000-01-28,7.45,7.61,7.4,7.57,4148454.1,0.0,1.0
2000-01-31,7.56,8.01,7.56,7.73,4797835.6,0.0,1.0
2000-02-01,7.72,7.78,7.67,7.75,3456673.2,0.0,1.0
2000-02-02,7.73,7.89,7.7,7.74,2282877.1,0.0,1.0
2000-02-03,7.76,7.88,7.73,7.81,980766.9,0.0,1.0
2000-02-04,7.87,7.88,7.71,7.75,1184953.8,0.0,1.0
2000-02-07,7.75,7.85,7.6,7.73,2651083.1,0.0,1.0
2000-02-08,7.73,7.93,7.73,7.85,2686787.9,0.0,1.0
2000-02-09,7.88,7.9,7.79,7.82,3408136.9,0.0,1.0
2000-02-10,7.8,7.83,7.44,7.47,1456645.2,0.0,1.0
2000-02-11,7.53,7.58,7.27,7.36,2514958.5,0.0,1.0
2000-02-14,7.34,7.37,7.24,7.34,1796956.8,0.0,1.0
2000-02-15,7.3,7.44,7.28,7.38,2821796.8,0.0,1.0
2000-02-16,7.32,7.4,7.32,7.33,2422907.0,0.0,1.0
2000-02-17,7.34,7.45,7.33,7.34,1623453.7,0.0,1.0
2000-02-18,7.34,7.37,7.05,7.15,2798923.4,0.0,1.0
2000-02-22,7.15,7.26,7.04,7.13,2594736.4,0.0,1.0
2000-02-23,7.1,7.16,6.99,7.05,3166013.6,0.0,1.0
2000-02-24,7.05,7.08,6.72,6.91,3109666.9,0.0,1.0
2000-02-25,6.87,7.02,6.79,6.89,1626801.0,0.0,1.0
2000-02-28,6.95,7.1,6.8,7.04,1432656.0,0.0,1.0
2000-02-29,7.04,7.38,7.04,7.32,4044687.0,0.0,1.0
2000-03-01,7.35,7.54,7.34,7.43,3534219.6,0.0,1.0
2000-03-02,7.42,7.43,7.18,7.24,2155120.8,0.0,1.0
2000-03-03,7.24,7.33,7.07,7.17,2490411.4,0.0,1.0
2000-03-06,7.17,7.21,7.05,7.19,2895438.0,0.0,1.0
2000-03-07,7.15,7.15,6.78,6.78,2700735.1,0.0,1.0
2000-03-08,6.78,6.79,6.53,6.66,2522211.0,0.0,1.0
