date,open,high,low,close,volume,dividend,ratio
2000-01-03,16.33,16.35,15.69,15.76,5981000.3,0.0,1.0
2000-01-04,15.74,16.16,15.59,16.0,4790772.1,0.0,1.0
2000-01-05,16.16,16.78,16.12,16.75,10279327.5,0.0,1.0
2000-01-06,16.9,17.19,16.82,17.1,6223088.4,0.0,1.0
2000-01-07,17.27,17.59,17.22,17.55,8359160.0,0.0,1.0
2000-01-10,17.57,17.59,17.45,17.53,5721456.1,0.0,1.0
2000-01-11,17.31,17.49,17.19,17.31,5007594.8,0.0,1.0
2000-01-12,17.29,17.63,17.29,17.51,3955637.0,0.0,1.0
2000-01-13,17.53,17.82,17.41,17.65,4544090.3,0.0,1.0
2000-01-14,17.65,17.88,17.55,17.78,6056796.4,0.0,1.0
2000-01-18,17.55,17.63,17.33,17.49,3610650.0,0.0,1.0
2000-01-19,17.63,17.98,17.53,17.98,5342016.3,0.0,1.0
2000-01-20,18.06,18.25,17.92,18.22,5328235.2,0.0,1.0
2000-01-21,18.33,18.61,18.29,18.45,5647956.9,0.0,1.0
2000-01-24,18.53,18.82,18.43,18.69,5793117.9,0.0,1.0
2000-01-25,18.78,18.92,18.39,18.63,5924957.2,0.0,1.0
2000-01-26,18.65,18.92,18.57,18.71,4210128.1,0.0,1.0
2000-01-27,18.69,18.9,18.51,18.9,5104521.9,0.0,1.0
2000-01-28,18.82,18.82,18.35,18.61,4108147.9,0.0,1.0
2000-01-31,18.61,18.92,18.45,18.86,4174756.6,0.0,1.0
2000-02-01,18.82,18.9,18.55,18.8,3083752.3,0.0,1.0
2000-02-02,18.8,18.82,18.39,18.47,4505503.2,0.0,1.0
2000-02-03,18.47,18.74,18.14,18.33,8995387.7,0.0,1.0
2000-02-04,18.12,18.14,17.51,17.57,5228092.5,0.0,1.0
2000-02-07,17.55,17.92,17.22,17.33,4275818.0,0.0,1.0
2000-02-08,17.37,17.9,17.35,17.49,7804240.7,0.0,1.0
2000-02-09,17.2,17.45,17.1,17.14,7584281.2,0.55,1.0
2000-02-10,17.18,17.26,16.83,16.87,6890172.8,0.0,1.0
2000-02-11,16.99,17.08,16.75,16.89,4221924.1,0.0,1.0
2000-02-14,17.14,17.14,16.87,16.99,4298744.2,0.0,1.0
2000-02-15,16.91,17.1,16.73,16.77,3590544.6,0.0,1.0
2000-02-16,16.81,16.87,16.66,16.87,3691910.8,0.0,1.0
2000-02-17,17.08,17.12,16.87,17.04,5788327.0,0.0,1.0
2000-02-18,17.18,17.18,16.95,17.06,7468369.2,0.0,1.0
2000-02-22,16.99,17.1,16.68,16.71,6309249.2,0.0,1.0
2000-02-23,16.58,16.58,16.23,16.42,6449252.7,0.0,1.0
2000-02-24,16.33,16.33,15.76,15.96,5168766.0,0.0,1.0
2000-02-25,15.92,16.05,15.55,15.64,4424201.9,0.0,1.0
2000-02-28,15.65,16.13,15.57,15.98,4669208.0,0.0,1.0
2000-02-29,16.0,16.09,15.86,16.0,4128739.9,0.0,1.0
2000-03-01,16.21,16.25,15.59,15.86,5017853.2,0.0,1.0
2000-03-02,15.78,16.02,15.76,15.88,2785979.0,0.0,1.0
2000-03-03,15.94,16.4,15.94,16.29,3772821.9,0.0,1.0
2000-03-06,16.21,16.4,15.78,16.21,8133840.4,0.0,1.0
