date,open,high,low,close,volume,dividend,ratio
2000-01-03,2.06,2.06,2.06,2.06,15249.0,0.0,1.0
2000-01-04,2.05,2.08,2.04,2.04,580416.5,0.0,1.0
2000-01-05,2.06,2.09,2.06,2.09,40981.8,0.0,1.0
2000-01-06,2.05,2.1,2.05,2.1,7624.5,0.0,1.0
2000-01-07,2.1,2.15,2.1,2.15,26685.8,0.0,1.0
2000-01-10,2.15,2.15,2.15,2.15,0.0,0.0,1.0
2000-01-11,2.05,2.05,2.05,2.05,6671.5,0.0,1.0
2000-01-12,2.03,2.08,2.02,2.08,54324.7,0.0,1.0
2000-01-13,2.08,2.08,2.08,2.08,0.0,0.0,1.0
2000-01-14,2.02,2.02,1.91,1.91,41934.9,0.0,1.0
2000-01-18,1.91,1.91,1.91,1.91,0.0,0.0,1.0
2000-01-19,1.86,1.91,1.84,1.84,9530.6,0.0,1.0
2000-01-20,1.88,1.88,1.83,1.86,43841.0,0.0,1.0
2000-01-21,1.81,1.86,1.71,1.83,290684.8,0.0,1.0
2000-01-24,1.85,1.85,1.68,1.83,38122.6,0.0,1.0
2000-01-25,1.78,1.84,1.78,1.82,25732.8,0.0,1.0
2000-01-26,1.85,1.97,1.85,1.94,111508.6,0.0,1.0
2000-01-27,1.85,1.88,1.8,1.88,15249.0,0.0,1.0
2000-01-28,1.89,1.89,1.89,1.89,12389.8,0.0,1.0
2000-01-31,1.95,2.02,1.95,2.02,41934.9,0.0,1.0
2000-02-01,2.02,2.02,2.02,2.02,953.1,0.0,1.0
2000-02-02,1.89,1.89,1.89,1.89,1906.1,0.0,1.0
2000-02-03,1.85,1.85,1.85,1.85,4765.3,0.0,1.0
2000-02-04,1.9,1.9,1.86,1.88,121039.2,0.0,1.0
2000-02-07,1.89,1.89,1.89,1.89,41934.9,0.0,1.0
2000-02-08,1.89,1.89,1.89,1.89,0.0,0.0,1.0
2000-02-09,1.88,1.96,1.88,1.96,10366.8,0.21,1.0
2000-02-10,2.02,2.02,1.92,1.94,50891.4,0.0,1.0
2000-02-11,2.0,2.0,1.94,1.96,10366.8,0.0,1.0
2000-02-14,1.92,1.92,1.92,1.92,942.4,0.0,1.0
2000-02-15,1.94,1.96,1.93,1.96,3769.7,0.0,1.0
2000-02-16,1.96,1.96,1.96,1.96,0.0,0.0,1.0
2000-02-17,1.98,1.98,1.98,1.98,7539.5,0.0,1.0
2000-02-18,1.92,1.92,1.92,1.92,942.4,0.0,1.0
2000-02-22,1.91,1.91,1.91,1.91,1884.9,0.0,1.0
2000-02-23,1.91,1.91,1.91,1.91,0.0,0.0,1.0
2000-02-24,1.94,1.94,1.92,1.92,22618.4,0.0,1.0
2000-02-25,1.96,1.96,1.94,1.94,8481.9,0.0,1.0
2000-02-28,1.98,1.98,1.98,1.98,9424.3,0.0,1.0
2000-02-29,1.95,1.96,1.95,1.96,7539.5,0.0,1.0
