date,open,high,low,close,volume,dividend,ratio
2000-01-03,4.77,4.77,4.64,4.64,9012.1,0.0,1.0
2000-01-04,4.53,4.56,4.45,4.53,23004.5,0.0,1.0
2000-01-05,4.45,4.53,4.45,4.53,8537.7,0.0,1.0
2000-01-06,4.43,4.51,4.43,4.51,13755.2,0.0,1.0
2000-01-07,4.53,4.53,4.48,4.48,45771.8,0.0,1.0
2000-01-10,4.61,4.69,4.59,4.64,23715.9,0.0,1.0
2000-01-11,4.74,4.74,4.66,4.66,26087.5,0.0,1.0
2000-01-12,4.53,4.61,4.53,4.59,12806.6,0.0,1.0
2000-01-13,4.59,4.64,4.59,4.61,492105.7,0.0,1.0
2000-01-14,4.66,4.74,4.66,4.74,32728.0,0.0,1.0
2000-01-18,4.69,4.74,4.64,4.74,31305.0,0.0,1.0
2000-01-19,4.64,4.66,4.59,4.64,14941.0,0.0,1.0
2000-01-20,4.72,4.72,4.61,4.66,15889.7,0.0,1.0
2000-01-21,4.64,4.69,4.61,4.61,7589.1,0.0,1.0
2000-01-24,4.53,4.59,4.48,4.48,65218.8,0.0,1.0
2000-01-25,4.53,4.53,4.45,4.51,32016.5,0.0,1.0
2000-01-26,4.48,4.56,4.48,4.53,14466.7,0.0,1.0
2000-01-27,4.56,4.56,4.53,4.53,12569.4,0.0,1.0
2000-01-28,4.59,4.59,4.27,4.38,78025.4,0.0,1.0
2000-01-31,4.48,4.48,4.38,4.48,33202.3,0.0,1.0
2000-02-01,4.43,4.45,4.38,4.45,86088.9,0.0,1.0
2000-02-02,4.53,4.53,4.43,4.53,53835.2,0.0,1.0
2000-02-03,4.53,4.53,4.45,4.51,29882.1,0.0,1.0
2000-02-04,4.43,4.48,4.43,4.43,71385.0,0.0,1.0
2000-02-07,4.51,4.51,4.43,4.43,13280.9,0.0,1.0
2000-02-08,4.45,4.48,4.45,4.48,21344.3,0.0,1.0
2000-02-09,4.53,4.53,4.43,4.51,240716.8,0.0,1.0
2000-02-10,4.51,4.51,4.43,4.48,17787.0,0.0,1.0
2000-02-11,4.48,4.48,4.4,4.4,10909.3,0.0,1.0
2000-02-14,4.51,4.51,4.38,4.38,59527.0,0.0,1.0
2000-02-15,4.32,4.4,4.32,4.35,7114.8,0.0,1.0
2000-02-16,4.43,4.43,4.35,4.35,20158.5,0.0,1.0
2000-02-17,4.35,4.45,4.35,4.45,54072.3,0.0,1.0
2000-02-18,4.32,4.35,4.27,4.27,53360.9,0.0,1.0
2000-02-22,4.32,4.32,4.24,4.24,18735.6,0.0,1.0
2000-02-23,4.3,4.38,4.3,4.38,30356.4,0.0,1.0
2000-02-24,4.3,4.3,4.22,4.22,133046.4,0.0,1.0
2000-02-25,4.22,4.3,4.22,4.27,31305.0,0.0,1.0
2000-02-28,4.24,4.32,4.24,4.27,22767.3,0.0,1.0
2000-02-29,4.27,4.35,4.27,4.35,27273.3,0.0,1.0
2000-03-01,4.32,4.32,4.32,4.32,13518.1,0.0,1.0
2000-03-02,4.32,4.43,4.32,4.43,34151.0,0.0,1.0
2000-03-03,4.51,4.51,4.4,4.51,43637.3,0.0,1.0
2000-03-06,4.27,4.53,4.27,4.4,315896.3,0.0,1.0
2000-03-07,4.3,4.48,4.3,4.45,22293.0,0.0,1.0
