date,open,high,low,close,volume,dividend,ratio
2000-01-03,9.02,9.02,8.88,8.88,21530.8,0.0,1.0
2000-01-04,8.75,8.75,8.48,8.48,15539.6,0.0,1.0
2000-01-05,8.55,8.58,8.55,8.58,12169.6,0.0,1.0
2000-01-06,8.44,8.55,8.44,8.55,6740.1,0.0,1.0
2000-01-07,8.58,8.68,8.58,8.68,14978.0,0.0,1.0
2000-01-10,8.95,9.02,8.84,8.98,20781.9,0.0,1.0
2000-01-11,8.95,8.95,8.95,8.95,7301.8,0.0,1.0
2000-01-12,8.88,8.88,8.78,8.78,7676.2,0.0,1.0
2000-01-13,8.78,8.78,8.78,8.78,187.2,0.0,1.0
2000-01-14,8.84,8.95,8.84,8.95,2808.4,0.0,1.0
2000-01-18,8.81,8.88,8.71,8.88,13854.6,0.0,1.0
2000-01-19,8.95,9.02,8.95,9.02,6178.4,0.0,1.0
2000-01-20,8.91,9.02,8.91,9.02,11982.4,0.0,1.0
2000-01-21,8.98,8.98,8.98,8.98,1685.0,0.0,1.0
2000-01-24,8.98,9.02,8.91,8.91,31079.3,0.0,1.0
2000-01-25,8.84,8.84,8.68,8.68,15539.6,0.0,1.0
2000-01-26,8.88,9.11,8.88,9.11,8612.3,0.0,1.0
2000-01-27,9.18,9.25,9.11,9.11,5429.5,0.0,1.0
2000-01-28,9.08,9.08,8.81,8.95,3557.3,0.0,1.0
2000-01-31,8.84,8.91,8.81,8.91,4680.6,0.0,1.0
2000-02-01,8.95,8.95,8.95,8.95,3557.3,0.0,1.0
2000-02-02,9.02,9.28,9.02,9.28,1310.6,0.0,1.0
2000-02-03,9.38,9.38,9.21,9.21,29394.3,0.0,1.0
2000-02-04,9.25,9.65,9.25,9.65,89680.6,0.0,1.0
2000-02-07,9.61,9.61,9.45,9.48,9548.5,0.0,1.0
2000-02-08,9.48,9.51,9.42,9.48,16288.5,0.0,1.0
2000-02-09,9.61,9.68,9.58,9.58,8237.9,0.0,1.0
2000-02-10,9.42,9.42,9.42,9.42,561.7,0.0,1.0
2000-02-11,9.55,9.55,9.38,9.38,3182.8,0.0,1.0
2000-02-14,9.48,9.48,9.35,9.45,15914.1,0.0,1.0
2000-02-15,9.45,9.55,9.45,9.55,1123.3,0.0,1.0
2000-02-16,9.55,9.68,9.55,9.61,15539.6,0.0,1.0
2000-02-17,9.75,9.82,9.75,9.75,5616.7,0.0,1.0
2000-02-18,9.75,9.75,9.72,9.72,4680.6,0.0,1.0
2000-02-22,9.51,9.51,9.45,9.45,20220.3,0.0,1.0
2000-02-23,9.45,9.45,9.35,9.35,7863.4,0.0,1.0
2000-02-24,9.28,9.42,9.28,9.35,60848.0,0.0,1.0
2000-02-25,9.45,9.45,9.28,9.28,11233.5,0.0,1.0
2000-02-28,9.25,9.35,9.25,9.28,23777.5,0.0,1.0
2000-02-29,9.28,9.28,9.28,9.28,1123.3,0.0,1.0
2000-03-01,9.21,9.35,9.08,9.35,48678.4,0.0,1.0
2000-03-02,9.42,9.55,9.42,9.55,29768.7,0.0,1.0
2000-03-03,9.68,9.68,9.55,9.55,22841.4,0.0,1.0
2000-03-06,9.48,9.58,9.38,9.45,97918.5,0.0,1.0
2000-03-07,9.68,9.68,9.51,9.61,43997.8,0.0,1.0
2000-03-08,9.28,9.42,9.28,9.42,21718.1,0.0,1.0
2000-03-09,9.25,9.25,9.25,9.25,5804.0,0.0,1.0
2000-03-10,9.08,9.38,9.08,9.28,27709.3,0.0,1.0
2000-03-13,9.15,9.21,9.08,9.15,18535.2,0.0,1.0
2000-03-14,9.35,9.35,9.21,9.21,12918.5,0.0,1.0
2000-03-15,9.21,9.35,9.21,9.35,20033.0,0.0,1.0
2000-03-16,9.35,9.42,9.21,9.42,31079.3,0.0,1.0
2000-03-17,9.51,9.51,9.51,9.51,6178.4,0.0,1.0
2000-03-20,9.55,9.55,9.55,9.55,29955.9,0.0,1.0
2000-03-21,9.48,9.61,9.48,9.61,15726.9,0.0,1.0
2000-03-22,9.61,9.82,9.61,9.78,22467.0,0.0,1.0
2000-03-23,9.95,10.15,9.82,10.15,26211.5,0.0,1.0
2000-03-24,10.18,10.18,10.08,10.18,4493.4,0.0,1.0
2000-03-27,10.15,10.15,10.12,10.12,24152.0,0.0,1.0
2000-03-28,10.15,10.15,10.12,10.12,2621.1,0.0,1.0
2000-03-29,10.18,10.18,9.88,9.88,38942.7,0.0,1.0
2000-03-30,9.85,9.85,9.68,9.68,23403.1,0.0,1.0
2000-03-31,9.72,9.85,9.72,9.85,22841.4,0.0,1.0
2000-04-03,9.75,9.88,9.75,9.85,7489.0,0.0,1.0
2000-04-04,9.61,9.61,9.35,9.35,46806.2,0.0,1.0
2000-04-05,9.48,9.61,9.48,9.61,39878.9,0.0,1.0
2000-04-06,9.61,9.82,9.61,9.82,26211.5,0.0,1.0
2000-04-07,9.72,9.72,9.72,9.72,1123.3,0.0,1.0
2000-04-10,9.75,9.75,9.72,9.75,13293.0,0.0,1.0
2000-04-11,9.68,9.68,9.61,9.65,22841.4,0.0,1.0
2000-04-12,9.61,9.61,9.61,9.61,18722.5,0.0,1.0
2000-04-13,9.48,9.48,9.48,9.48,1685.0,0.0,1.0
2000-04-14,9.38,9.42,9.05,9.08,31079.3,0.0,1.0
2000-04-17,8.71,9.02,8.71,9.02,216244.5,0.0,1.0
2000-04-18,9.08,9.35,9.08,9.28,6740.1,0.0,1.0
2000-04-19,9.48,9.48,9.48,9.48,561.7,0.0,1.0
2000-04-20,9.48,9.48,9.48,9.48,0.0,0.0,1.0
2000-04-24,9.38,9.38,9.08,9.18,15352.4,0.0,1.0
2000-04-25,9.32,9.38,9.21,9.38,10297.4,0.0,1.0
2000-04-26,9.45,9.65,9.45,9.65,10484.6,0.0,1.0
2000-04-27,9.48,9.58,9.48,9.55,22092.5,0.0,1.0
2000-04-28,9.61,9.65,9.61,9.65,5242.3,0.0,1.0
2000-05-01,9.68,9.72,9.68,9.72,1872.2,0.0,1.0
2000-05-02,9.75,9.75,9.48,9.48,30892.1,0.0,1.0
2000-05-03,9.58,9.58,9.38,9.38,30330.4,0.0,1.0
2000-05-04,9.38,9.48,9.38,9.48,4306.2,0.0,1.0
2000-05-05,9.55,9.75,9.55,9.65,23403.1,0.0,1.0
2000-05-08,9.68,9.68,9.61,9.61,19658.6,0.0,1.0
2000-05-09,9.51,9.51,9.51,9.51,19471.4,0.0,1.0
2000-05-10,9.48,9.48,9.28,9.32,29768.7,0.0,1.0
2000-05-11,9.35,9.48,9.35,9.48,3744.5,0.0,1.0
2000-05-12,9.42,9.42,9.42,9.42,1123.3,0.0,1.0
2000-05-15,9.55,9.61,9.48,9.48,25462.6,0.0,1.0
2000-05-16,9.65,9.82,9.65,9.75,30892.1,0.0,1.0
2000-05-17,9.78,9.88,9.68,9.85,8425.1,0.0,1.0
2000-05-18,9.85,9.85,9.85,9.85,0.0,0.0,1.0
2000-05-19,9.82,9.85,9.72,9.72,12918.5,0.0,1.0
2000-05-22,9.68,9.68,9.68,9.68,3370.0,0.0,1.0
2000-05-23,9.55,9.55,9.48,9.48,2246.7,0.0,1.0
2000-05-24,9.55,9.55,9.48,9.48,2621.1,0.0,1.0
2000-05-25,9.68,9.78,9.68,9.72,37632.2,0.0,1.0
2000-05-26,9.48,9.48,9.45,9.45,3182.8,0.0,1.0
2000-05-30,9.45,9.72,9.45,9.72,19284.1,0.0,1.0
2000-05-31,9.68,9.68,9.68,9.68,1310.6,0.0,1.0
2000-06-01,9.95,9.98,9.82,9.98,35572.7,0.0,1.0
2000-06-02,10.05,10.28,10.05,10.28,5055.1,0.0,1.0
2000-06-05,10.28,10.28,10.08,10.15,17786.3,0.0,1.0
2000-06-06,10.08,10.08,10.05,10.08,12544.1,0.0,1.0
2000-06-07,10.01,10.15,9.91,10.15,111773.1,0.0,1.0
2000-06-08,10.08,10.22,10.08,10.15,99603.5,0.0,1.0
2000-06-09,10.15,10.25,10.12,10.12,23777.5,0.0,1.0
2000-06-12,10.25,10.31,10.25,10.28,40253.3,0.0,1.0
2000-06-13,10.35,10.42,10.28,10.38,19471.4,0.0,1.0
2000-06-14,10.45,10.58,10.45,10.58,2059.5,0.0,1.0
2000-06-15,10.52,10.55,10.48,10.55,27709.3,0.0,1.0
2000-06-16,10.55,10.58,10.55,10.58,11420.7,0.0,1.0
2000-06-19,10.62,10.62,10.52,10.55,8612.3,0.0,1.0
2000-06-20,10.68,10.75,10.62,10.68,28832.6,0.0,1.0
2000-06-21,10.71,10.71,10.52,10.65,20033.0,0.0,1.0
2000-06-22,10.55,10.62,10.48,10.55,14416.3,0.0,1.0
2000-06-23,10.48,10.48,10.42,10.42,59537.4,0.0,1.0
2000-06-26,10.45,10.45,10.45,10.45,1872.2,0.0,1.0
2000-06-27,10.35,10.38,10.25,10.31,87995.6,0.0,1.0
2000-06-28,10.38,10.68,10.38,10.68,4118.9,0.0,1.0
2000-06-29,10.55,10.55,10.45,10.45,3370.0,0.0,1.0
2000-06-30,10.52,10.65,10.52,10.65,4867.8,0.0,1.0
2000-07-03,10.52,10.62,10.52,10.55,12356.8,0.0,1.0
2000-07-05,10.68,10.68,10.58,10.58,40627.8,0.0,1.0
2000-07-06,10.55,10.65,10.48,10.58,28832.6,0.0,1.0
2000-07-07,10.65,10.71,10.65,10.71,10110.1,0.0,1.0
2000-07-10,10.78,10.78,10.71,10.75,65154.2,0.0,1.0
2000-07-11,10.68,10.78,10.62,10.75,56916.3,0.0,1.0
2000-07-12,10.82,10.95,10.82,10.89,83127.8,0.0,1.0
2000-07-13,10.95,11.08,10.95,11.02,55231.3,0.0,1.0
2000-07-14,11.05,11.22,11.05,11.11,46993.4,0.0,1.0
2000-07-17,11.05,11.18,11.05,11.18,70958.1,0.0,1.0
2000-07-18,11.18,11.18,11.05,11.11,40253.3,0.0,1.0
2000-07-19,11.15,11.15,11.02,11.02,38755.5,0.0,1.0
2000-07-20,11.15,11.25,11.15,11.22,31079.3,0.0,1.0
2000-07-21,11.22,11.38,11.22,11.35,40440.5,0.0,1.0
2000-07-24,11.38,11.48,11.32,11.32,101663.0,0.0,1.0
2000-07-25,11.35,11.62,11.29,11.48,337004.4,0.0,1.0
2000-07-26,11.42,11.52,11.35,11.48,55792.9,0.0,1.0
2000-07-27,11.38,11.38,11.15,11.29,49427.3,0.0,1.0
2000-07-28,11.25,11.25,10.71,10.85,265859.0,0.0,1.0
