date,open,high,low,close,volume,dividend,ratio
2000-01-03,37.24,37.62,36.63,37.51,1973443.8,0.0,1.0
2000-01-04,37.34,37.95,36.03,36.46,1788959.8,0.0,1.0
2000-01-05,36.8,38.0,36.36,38.0,2548633.3,0.0,1.0
2000-01-06,37.34,41.57,37.29,41.52,5269914.5,0.0,1.0
2000-01-07,41.52,41.74,38.88,41.74,4020635.8,0.0,1.0
2000-01-10,41.68,41.68,40.2,40.86,1635773.3,0.0,1.0
2000-01-11,40.37,40.91,39.98,40.09,1200796.2,0.0,1.0
2000-01-12,39.43,39.93,38.78,39.76,1196016.2,0.0,1.0
2000-01-13,40.97,42.07,40.2,41.3,2162594.0,0.0,1.0
2000-01-14,41.46,42.12,40.15,40.91,1469384.9,0.0,1.0
2000-01-18,40.42,40.75,37.9,38.83,2745294.8,0.0,1.0
2000-01-19,38.61,40.31,38.49,38.88,2135621.3,0.0,1.0
2000-01-20,37.68,38.34,36.74,37.34,2402844.3,0.0,1.0
2000-01-21,37.18,37.18,36.03,36.68,2689642.3,0.0,1.0
2000-01-24,36.63,36.68,35.37,36.03,1982548.5,0.0,1.0
2000-01-25,35.92,36.3,35.37,35.37,1919384.7,0.0,1.0
2000-01-26,35.42,37.46,35.2,37.24,2312480.1,0.0,1.0
2000-01-27,36.36,37.18,35.26,35.81,1729779.3,0.0,1.0
2000-01-28,35.2,35.37,33.61,34.0,2242715.4,0.0,1.0
2000-01-31,33.78,34.76,33.44,34.76,1695295.2,0.0,1.0
2000-02-01,34.32,34.65,33.34,34.22,1909483.3,0.0,1.0
2000-02-02,34.27,34.38,33.39,33.88,1751516.8,0.0,1.0
2000-02-03,34.22,35.31,33.61,34.71,1697457.6,0.0,1.0
2000-02-04,34.82,34.82,34.22,34.43,1036911.6,0.0,1.0
2000-02-07,34.49,35.09,34.05,34.43,1182017.7,0.0,1.0
2000-02-08,34.43,35.09,34.43,34.87,1199999.5,0.0,1.0
2000-02-09,34.27,34.71,33.94,34.32,1414529.0,0.0,1.0
