date,open,high,low,close,volume,dividend,ratio
2000-01-03,13.65,13.8,13.6,13.75,1942360.3,0.0,1.0
2000-01-04,13.46,13.75,13.32,13.56,2298954.9,0.0,1.0
2000-01-05,13.65,13.9,13.56,13.9,1653173.8,0.0,1.0
2000-01-06,13.8,13.84,13.6,13.8,1465614.3,0.0,1.0
2000-01-07,13.84,13.9,13.41,13.46,1543571.2,0.0,1.0
2000-01-10,13.56,13.56,13.41,13.46,1232644.3,0.0,1.0
2000-01-11,13.56,13.84,13.41,13.7,2462844.4,0.0,1.0
2000-01-12,13.51,13.65,13.41,13.46,1204343.1,0.0,1.0
2000-01-13,13.46,13.7,13.36,13.36,1476548.9,0.0,1.0
2000-01-14,13.32,13.36,13.17,13.17,2071645.1,0.0,1.0
2000-01-18,13.41,13.75,13.32,13.65,3012658.8,0.0,1.0
2000-01-19,13.56,13.6,13.41,13.46,2010797.6,0.0,1.0
2000-01-20,13.36,13.36,13.22,13.26,1922806.7,0.0,1.0
2000-01-21,13.26,13.41,13.22,13.32,1784388.3,0.0,1.0
2000-01-24,13.17,13.22,12.78,12.87,3327316.3,0.0,1.0
2000-01-25,13.07,13.07,12.73,12.83,1599273.0,0.0,1.0
2000-01-26,12.83,12.93,12.59,12.63,1636064.5,0.0,1.0
2000-01-27,12.68,13.22,12.59,13.17,3445537.9,0.0,1.0
2000-01-28,13.12,13.26,12.63,12.68,1717366.0,0.0,1.0
2000-01-31,12.73,12.87,12.63,12.73,1180544.4,0.0,1.0
2000-02-01,12.63,12.68,12.39,12.59,951948.2,0.0,1.0
2000-02-02,12.87,13.07,12.73,12.73,1765220.7,0.0,1.0
2000-02-03,12.73,12.97,12.54,12.87,2340248.9,0.0,1.0
2000-02-04,13.41,14.38,13.22,14.29,6757545.9,0.0,1.0
2000-02-07,14.77,15.35,13.75,13.9,7740754.0,0.0,1.0
2000-02-08,13.8,13.84,13.26,13.41,2961330.8,0.0,1.0
2000-02-09,13.9,14.48,13.9,14.33,3857062.6,0.0,1.0
2000-02-10,14.43,14.58,13.99,14.33,3215140.7,0.0,1.0
2000-02-11,14.19,14.23,13.75,14.23,2356329.1,0.0,1.0
2000-02-14,14.14,14.14,13.56,13.6,1700642.6,0.0,1.0
2000-02-15,13.56,13.9,13.36,13.9,2084252.0,0.0,1.0
2000-02-16,14.04,14.29,13.84,13.95,2007581.6,0.0,1.0
2000-02-17,14.23,14.29,13.46,13.46,1402579.9,0.0,1.0
2000-02-18,13.6,13.95,13.56,13.95,2244024.9,0.0,1.0
2000-02-22,13.75,14.33,13.6,14.14,2170956.5,0.0,1.0
2000-02-23,13.8,13.95,13.32,13.36,2054149.9,0.0,1.0
2000-02-24,13.41,13.46,12.87,12.97,2368292.8,0.0,1.0
2000-02-25,12.78,13.02,12.63,12.97,1696140.1,0.0,1.0
2000-02-28,13.02,13.12,12.78,12.78,1570071.3,0.0,1.0
2000-02-29,12.93,13.12,12.68,12.68,2040771.1,0.0,1.0
2000-03-01,12.93,12.93,12.73,12.93,1112235.7,0.0,1.0
2000-03-02,12.73,12.83,12.48,12.73,1958440.5,0.0,1.0
2000-03-03,12.78,12.78,12.63,12.63,1907627.0,0.0,1.0
2000-03-06,12.63,12.68,12.34,12.54,1872250.6,0.0,1.0
2000-03-07,12.63,13.36,12.54,13.26,5424947.0,0.0,1.0
2000-03-08,13.12,13.46,12.83,12.87,2904985.7,0.0,1.0
2000-03-09,13.07,13.22,12.83,12.97,2040256.6,0.0,1.0
2000-03-10,12.87,12.87,12.54,12.59,1220166.0,0.0,1.0
2000-03-13,12.97,13.12,12.73,12.97,1465871.6,0.0,1.0
2000-03-14,12.78,12.97,12.63,12.93,1424577.6,0.0,1.0
2000-03-15,12.93,13.02,12.68,12.97,1275353.3,0.0,1.0
2000-03-16,12.87,12.97,12.63,12.93,1623586.3,0.0,1.0
2000-03-17,12.83,12.97,12.59,12.68,1675300.2,0.0,1.0
2000-03-20,12.73,13.02,12.73,12.78,1360385.4,0.0,1.0
2000-03-21,12.78,13.41,12.73,13.41,3214626.2,0.0,1.0
