date,open,high,low,close,volume,dividend,ratio
2000-01-03,16.09,16.28,15.51,15.79,19589542.8,0.0,1.0
2000-01-04,15.65,15.95,15.61,15.84,13018130.3,0.0,1.0
2000-01-05,15.84,16.12,15.74,16.02,16846971.2,0.0,1.0
2000-01-06,16.02,16.19,15.88,16.0,12699624.3,0.0,1.0
2000-01-07,16.42,17.05,16.25,17.05,20439248.3,0.0,1.0
2000-01-10,16.98,17.1,16.49,16.51,15540170.3,0.0,1.0
2000-01-11,17.1,17.19,16.88,17.07,16741158.8,0.0,1.0
2000-01-12,17.07,17.35,16.96,17.26,14945198.3,0.0,1.0
2000-01-13,17.25,17.25,16.96,17.0,10876943.5,0.0,1.0
2000-01-14,17.39,17.39,17.03,17.14,13383664.0,0.0,1.0
2000-01-18,17.21,18.24,17.14,18.24,32689259.0,0.0,1.0
2000-01-19,18.24,18.31,17.89,18.31,22825193.0,0.0,1.0
2000-01-20,18.33,18.51,18.28,18.49,20556461.4,0.0,1.0
2000-01-21,18.74,18.77,18.46,18.77,20282133.0,0.0,1.0
2000-01-24,18.53,18.74,17.84,18.21,20139981.0,0.0,1.0
2000-01-25,17.96,18.54,17.65,18.49,17312260.7,0.0,1.0
2000-01-26,18.03,18.38,17.61,17.7,42260470.6,0.0,1.0
2000-01-27,17.58,17.6,16.4,16.7,31264176.4,0.0,1.0
2000-01-28,16.68,16.72,15.98,15.98,19372573.9,0.0,1.0
2000-01-31,16.02,16.49,15.88,16.12,19122115.7,0.0,1.0
2000-02-01,16.21,16.39,15.81,16.32,14454969.9,0.0,1.0
2000-02-02,16.16,16.25,15.83,15.83,12761615.4,0.0,1.0
2000-02-03,15.86,15.93,15.45,15.51,16859440.6,0.0,1.0
2000-02-04,15.51,16.21,15.51,15.79,20488769.9,0.0,1.0
2000-02-07,15.74,16.18,15.59,15.97,13792662.7,0.0,1.0
2000-02-08,16.12,16.25,15.93,16.05,14716116.3,0.0,1.0
2000-02-09,16.0,16.21,15.93,16.0,14159265.2,0.0,1.0
2000-02-10,16.07,16.11,15.79,15.91,14306048.7,0.0,1.0
2000-02-11,15.65,15.7,15.4,15.59,13696113.4,0.0,1.0
2000-02-14,15.45,15.51,15.1,15.19,12708174.8,0.0,1.0
2000-02-15,14.98,15.65,14.95,15.63,13985048.9,0.0,1.0
2000-02-16,15.45,15.56,14.95,15.03,12236472.4,0.0,1.0
2000-02-17,15.02,15.03,14.37,14.68,20772361.4,0.0,1.0
2000-02-18,14.46,14.68,14.24,14.42,20384738.9,0.0,1.0
2000-02-22,14.26,14.77,14.17,14.53,18780808.4,0.0,1.0
2000-02-23,14.42,14.44,14.03,14.39,19633364.1,0.0,1.0
2000-02-24,14.14,14.17,13.56,13.98,27524759.4,0.0,1.0
2000-02-25,13.96,14.23,13.49,13.67,19426014.5,0.0,1.0
2000-02-28,13.49,13.95,13.35,13.84,19222227.7,0.0,1.0
2000-02-29,13.51,13.7,13.37,13.65,18430238.0,0.0,1.0
2000-03-01,13.81,14.42,13.81,14.31,27810844.8,0.0,1.0
2000-03-02,14.37,14.54,13.86,13.93,20233680.1,0.0,1.0
2000-03-03,14.07,14.14,13.77,14.07,16051062.5,0.0,1.0
2000-03-06,13.81,13.89,13.56,13.75,14012125.4,0.0,1.0
2000-03-07,13.58,13.75,12.58,13.23,41755278.8,0.0,1.0
2000-03-08,13.09,13.49,12.88,13.33,25725592.5,0.0,1.0
2000-03-09,13.35,13.35,12.88,13.12,22069899.2,0.0,1.0
2000-03-10,12.93,13.09,12.37,12.77,25044403.0,0.0,1.0
2000-03-13,12.19,12.49,12.15,12.33,27763884.5,0.17,1.0
2000-03-14,12.49,12.49,12.08,12.2,19806503.7,0.0,1.0
2000-03-15,12.31,13.47,12.26,13.4,39283313.0,0.0,1.0
2000-03-16,13.89,14.05,13.68,14.02,31248565.7,0.0,1.0
2000-03-17,13.91,14.07,13.74,13.84,25784298.8,0.0,1.0
2000-03-20,13.81,13.81,13.54,13.68,11986820.8,0.0,1.0
2000-03-21,13.35,14.0,13.35,13.93,15217399.6,0.0,1.0
2000-03-22,13.81,13.81,13.02,13.26,21088017.5,0.0,1.0
2000-03-23,13.24,13.63,13.09,13.24,18336897.3,0.0,1.0
2000-03-24,13.24,13.3,13.07,13.24,15560579.8,0.0,1.0
2000-03-27,13.19,13.28,12.75,12.75,18694628.1,0.0,1.0
2000-03-28,12.89,13.1,12.65,12.65,24262168.5,0.0,1.0
2000-03-29,12.79,13.26,12.77,13.21,28910539.5,0.0,1.0
2000-03-30,13.28,14.07,13.28,13.68,33351298.8,0.0,1.0
2000-03-31,13.72,13.72,13.23,13.23,15716377.3,0.0,1.0
2000-04-03,13.37,14.07,13.31,13.89,25173885.2,0.0,1.0
2000-04-04,13.95,14.76,13.58,14.76,48602768.0,0.0,1.0
2000-04-05,14.16,14.35,13.35,13.42,35944492.2,0.0,1.0
2000-04-06,13.49,13.51,12.61,12.89,36686925.6,0.0,1.0
2000-04-07,12.89,13.09,12.61,13.02,21957147.1,0.0,1.0
2000-04-10,13.1,13.3,12.65,12.68,22895835.6,0.0,1.0
2000-04-11,13.09,13.45,12.87,13.3,21464557.5,0.0,1.0
2000-04-12,13.53,14.07,13.44,13.67,27657417.0,0.0,1.0
2000-04-13,13.38,13.7,13.28,13.31,15779902.9,0.0,1.0
2000-04-14,13.03,13.4,12.98,13.24,16836415.3,0.0,1.0
2000-04-17,13.17,13.7,13.03,13.67,19004803.4,0.0,1.0
2000-04-18,13.61,13.84,13.07,13.7,23069732.5,0.0,1.0
2000-04-19,13.7,14.0,13.51,13.86,17874473.5,0.0,1.0
2000-04-20,13.67,13.93,13.53,13.93,14690030.6,0.0,1.0
2000-04-24,13.93,14.21,13.81,13.98,16640160.3,0.0,1.0
2000-04-25,13.89,14.23,13.58,14.23,15458371.0,0.0,1.0
2000-04-26,13.81,14.13,13.77,13.93,16921589.3,0.0,1.0
2000-04-27,13.67,13.84,13.37,13.6,16011292.2,0.0,1.0
2000-04-28,13.56,13.63,13.17,13.31,13430520.1,0.0,1.0
2000-05-01,13.14,13.24,13.03,13.03,13759149.7,0.0,1.0
2000-05-02,13.12,13.4,12.94,13.03,16341696.4,0.0,1.0
