date,open,high,low,close,volume,dividend,ratio
2000-01-03,24.77,24.77,23.36,23.84,1792976.6,0.0,1.0
2000-01-04,23.75,24.18,23.49,23.55,1844040.6,0.0,1.0
2000-01-05,23.6,24.18,23.53,23.55,2166202.6,0.0,1.0
2000-01-06,24.05,24.68,24.05,24.64,2894581.5,0.0,1.0
2000-01-07,24.64,26.38,24.64,26.34,2723029.5,0.0,1.0
2000-01-10,26.32,26.58,25.73,26.41,1947602.9,0.0,1.0
2000-01-11,26.45,26.67,26.1,26.19,1752527.1,0.0,1.0
2000-01-12,26.14,26.49,25.27,25.47,1382456.7,0.0,1.0
2000-01-13,25.64,25.99,25.45,25.67,1750232.1,0.0,1.0
2000-01-14,26.32,27.15,26.06,26.84,2599385.8,0.0,1.0
2000-01-18,26.6,27.08,26.49,26.73,1305287.0,0.0,1.0
2000-01-19,26.73,27.28,26.73,26.97,2203496.5,0.0,1.0
2000-01-20,26.89,26.99,26.49,26.69,1569500.0,0.0,1.0
2000-01-21,27.34,27.34,26.45,26.6,2436440.1,0.0,1.0
2000-01-24,26.84,26.84,25.58,25.6,1758838.3,0.0,1.0
2000-01-25,25.69,25.84,24.51,25.03,2100221.1,0.0,1.0
2000-01-26,25.1,25.9,24.84,25.55,2352385.3,0.0,1.0
2000-01-27,25.47,25.47,24.4,24.75,2108827.4,0.0,1.0
2000-01-28,24.66,24.75,23.75,23.99,2581025.7,0.0,1.0
2000-01-31,24.07,24.66,24.05,24.45,1712364.4,0.0,1.0
2000-02-01,24.84,25.75,24.53,25.49,1780640.9,0.0,1.0
2000-02-02,25.49,26.06,25.19,25.71,2923556.0,0.0,1.0
2000-02-03,26.32,27.19,26.23,27.02,4570799.4,0.0,1.0
2000-02-04,27.28,28.52,27.21,27.93,3670581.7,0.0,1.0
2000-02-07,27.89,28.28,27.65,27.87,3255471.8,0.0,1.0
2000-02-08,27.78,28.19,27.56,28.15,1573229.4,0.0,1.0
2000-02-09,28.24,28.24,27.38,27.38,2228167.9,0.0,1.0
2000-02-10,27.47,27.89,27.19,27.76,1426061.9,0.0,1.0
2000-02-11,27.67,27.89,27.54,27.71,855178.1,0.0,1.0
2000-02-14,27.45,27.6,27.1,27.15,2111409.3,0.0,1.0
2000-02-15,27.15,27.15,26.32,26.62,2090754.2,0.0,1.0
2000-02-16,26.45,26.45,24.92,25.08,3499603.5,0.0,1.0
2000-02-17,24.92,25.19,23.75,24.14,3796520.4,0.0,1.0
2000-02-18,24.23,25.23,24.23,24.79,3042322.7,0.0,1.0
2000-02-22,24.71,25.01,24.58,24.77,2699218.7,0.0,1.0
2000-02-23,24.77,25.62,24.77,25.23,2095344.2,0.0,1.0
2000-02-24,25.23,25.23,24.01,24.07,5357127.3,0.0,1.0
2000-02-25,24.4,24.97,24.07,24.25,5293153.9,0.0,1.0
2000-02-28,24.25,25.93,24.25,25.82,3865657.6,0.0,1.0
2000-02-29,25.73,26.89,25.64,26.43,3322314.0,0.0,1.0
2000-03-01,27.06,27.8,26.67,27.43,4656001.7,0.0,1.0
2000-03-02,27.19,27.36,26.67,26.84,2189726.5,0.0,1.0
2000-03-03,26.84,27.19,26.45,26.49,2319107.7,0.0,1.0
2000-03-06,26.49,27.52,25.97,26.77,2350090.3,0.0,1.0
2000-03-07,27.15,27.63,25.69,26.3,3678614.3,0.0,1.0
2000-03-08,26.75,28.15,26.45,27.89,3405508.1,0.0,1.0
2000-03-09,27.89,31.02,27.15,30.33,5035825.9,0.0,1.0
2000-03-10,30.26,30.26,28.72,30.09,4214786.0,0.0,1.0
2000-03-13,27.45,30.17,27.45,29.52,3990448.8,0.0,1.0
2000-03-14,29.61,29.61,28.89,29.06,2510167.3,0.0,1.0
2000-03-15,29.0,29.89,28.72,29.7,3148180.1,0.0,1.0
2000-03-16,30.33,33.12,29.91,32.99,10966418.8,0.0,1.0
2000-03-17,32.42,32.66,31.16,31.31,4782801.0,0.0,1.0
2000-03-20,31.59,32.94,31.55,32.42,3320879.6,0.0,1.0
2000-03-21,32.07,33.12,31.96,33.12,2041698.3,0.0,1.0
2000-03-22,33.07,33.12,31.81,32.33,2654179.1,0.0,1.0
