date,open,high,low,close,volume,dividend,ratio
2000-01-03,6.07,6.12,5.93,6.0,505633.4,0.0,1.0
2000-01-04,5.91,6.02,5.91,5.95,716070.4,0.0,1.0
2000-01-05,5.98,6.04,5.95,5.98,290945.1,0.0,1.0
2000-01-06,5.95,6.0,5.91,5.98,667712.4,0.0,1.0
2000-01-07,5.98,6.14,5.95,6.09,1194336.3,0.0,1.0
2000-01-10,6.09,6.21,6.02,6.14,2751092.0,0.0,1.0
2000-01-11,6.16,6.16,6.02,6.02,758317.2,0.0,1.0
2000-01-12,6.12,6.23,5.93,6.07,1186896.7,0.0,1.0
2000-01-13,6.16,6.3,6.16,6.21,407588.9,0.0,1.0
2000-01-14,6.26,6.4,6.23,6.23,524232.6,0.0,1.0
2000-01-18,6.26,6.28,6.19,6.19,890371.8,0.0,1.0
2000-01-19,6.04,6.26,6.04,6.14,587204.3,0.0,1.0
2000-01-20,6.14,6.21,6.12,6.19,884792.0,0.0,1.0
2000-01-21,6.16,6.21,6.07,6.14,1451802.9,0.0,1.0
2000-01-24,6.14,6.21,6.12,6.14,1431078.0,0.0,1.0
2000-01-25,6.16,6.19,6.07,6.09,1394676.6,0.0,1.0
2000-01-26,6.14,6.14,6.04,6.07,1753110.4,0.0,1.0
2000-01-27,6.07,6.16,6.04,6.09,1068127.3,0.0,1.0
2000-01-28,6.14,6.14,5.93,5.93,848124.9,0.0,1.0
2000-01-31,6.02,6.07,5.98,6.0,594644.0,0.0,1.0
2000-02-01,6.02,6.07,6.0,6.02,835636.9,0.0,1.0
2000-02-02,6.02,6.04,6.02,6.02,407323.2,0.0,1.0
2000-02-03,6.05,6.4,6.03,6.17,838956.6,0.01,1.0
2000-02-04,6.19,6.31,6.14,6.26,3147680.2,0.0,1.0
2000-02-07,6.21,6.31,6.12,6.14,1771366.6,0.0,1.0
2000-02-08,6.1,6.5,6.08,6.08,620190.7,0.0,1.0
2000-02-09,6.17,6.26,6.17,6.24,469656.4,0.0,1.0
2000-02-10,6.21,6.21,6.05,6.1,702758.9,0.0,1.0
2000-02-11,6.05,6.08,5.95,5.95,396380.4,0.0,1.0
2000-02-14,6.03,6.03,5.93,5.98,317794.6,0.0,1.0
2000-02-15,5.98,6.26,5.98,6.26,760370.8,0.0,1.0
2000-02-16,6.17,6.19,6.03,6.03,284077.1,0.0,1.0
2000-02-17,6.05,7.02,6.05,6.38,3769994.8,0.0,1.0
2000-02-18,6.45,6.59,6.17,6.26,1226310.3,0.0,1.0
2000-02-22,6.31,6.36,6.14,6.14,691077.2,0.0,1.0
2000-02-23,6.14,6.17,5.93,6.0,1570388.7,0.0,1.0
2000-02-24,6.1,6.1,5.74,5.93,1083209.8,0.0,1.0
2000-02-25,5.93,5.93,5.86,5.89,346998.8,0.0,1.0
2000-02-28,5.86,6.0,5.82,6.0,308502.4,0.0,1.0
2000-02-29,5.91,6.21,5.91,6.21,363990.3,0.0,1.0
2000-03-01,6.19,6.36,6.14,6.36,417088.9,0.0,1.0
2000-03-02,6.36,6.45,6.33,6.36,343281.9,0.0,1.0
2000-03-03,6.45,6.59,6.4,6.43,435142.4,0.0,1.0
2000-03-06,6.43,6.55,6.26,6.38,418947.3,0.0,1.0
2000-03-07,6.29,6.43,6.12,6.12,250625.0,0.0,1.0
2000-03-08,6.17,6.29,6.17,6.24,444434.6,0.0,1.0
2000-03-09,6.12,6.36,6.12,6.36,304520.0,0.0,1.0
2000-03-10,6.36,6.45,6.26,6.36,471780.3,0.0,1.0
2000-03-13,6.21,6.43,6.21,6.33,316467.2,0.0,1.0
2000-03-14,6.29,6.47,6.29,6.36,269209.5,0.0,1.0
2000-03-15,6.36,6.95,6.29,6.78,1008075.4,0.0,1.0
2000-03-16,6.8,7.49,6.8,7.21,1658001.3,0.0,1.0
2000-03-17,7.44,7.82,7.39,7.82,1678178.7,0.0,1.0
2000-03-20,7.77,8.0,7.65,8.0,922055.8,0.0,1.0
2000-03-21,8.03,8.03,7.72,7.86,1244629.3,0.0,1.0
2000-03-22,7.84,7.89,7.7,7.72,1015509.2,0.0,1.0
2000-03-23,7.72,7.98,7.72,7.96,1266665.2,0.0,1.0
2000-03-24,7.96,7.98,7.68,7.93,1027721.8,0.0,1.0
2000-03-27,7.91,7.91,7.77,7.86,468328.9,0.0,1.0
2000-03-28,7.86,7.89,7.72,7.77,680192.0,0.0,1.0
2000-03-29,7.77,7.79,7.72,7.74,414168.4,0.0,1.0
2000-03-30,7.74,8.08,7.72,7.89,1469236.0,0.0,1.0
2000-03-31,7.91,8.19,7.89,8.17,742848.3,0.0,1.0
2000-04-03,8.1,8.12,7.56,7.77,1301975.7,0.0,1.0
2000-04-04,7.96,7.96,7.39,7.39,817186.2,0.0,1.0
2000-04-05,7.3,7.86,7.3,7.72,1222062.4,0.0,1.0
2000-04-06,7.79,7.86,7.7,7.7,519569.0,0.0,1.0
2000-04-07,7.72,7.84,7.7,7.72,759574.3,0.0,1.0
