date,open,high,low,close,volume,dividend,ratio
2000-01-03,9.88,9.99,9.57,9.68,3581827.3,0.0,1.0
2000-01-04,9.69,9.84,9.42,9.42,5138127.3,0.0,1.0
2000-01-05,9.42,9.54,9.38,9.42,3751313.3,0.0,1.0
2000-01-06,9.38,9.46,9.27,9.34,3070090.8,0.0,1.0
2000-01-07,9.38,9.76,9.34,9.69,5427815.7,0.0,1.0
2000-01-10,9.69,9.91,9.69,9.8,3466104.7,0.0,1.0
2000-01-11,10.07,10.37,10.03,10.1,5708762.6,0.0,1.0
2000-01-12,10.1,10.3,10.07,10.15,2137207.8,0.0,1.0
2000-01-13,9.99,10.03,9.8,9.8,3046269.4,0.0,1.0
2000-01-14,9.91,9.99,9.8,9.88,2338820.8,0.0,1.0
2000-01-18,9.72,9.76,9.57,9.61,3972923.7,0.0,1.0
2000-01-19,9.49,9.57,9.38,9.46,3142540.4,0.0,1.0
2000-01-20,9.38,9.42,9.19,9.23,3667827.5,0.0,1.0
2000-01-21,9.38,9.38,9.15,9.34,3468837.1,0.0,1.0
2000-01-24,9.23,9.38,9.23,9.23,3348197.1,0.0,1.0
2000-01-25,9.38,9.42,9.3,9.38,4499740.2,0.0,1.0
2000-01-26,9.46,9.61,9.46,9.49,3632640.3,0.0,1.0
2000-01-27,9.65,9.84,9.57,9.76,3404473.4,0.0,1.0
2000-01-28,9.49,9.76,9.49,9.57,3117735.4,0.0,1.0
2000-01-31,9.57,9.76,9.54,9.72,3924405.5,0.0,1.0
2000-02-01,9.69,9.8,9.49,9.57,6158321.9,0.0,1.0
2000-02-02,9.57,9.88,9.49,9.76,3987457.9,0.0,1.0
2000-02-03,9.88,9.88,9.69,9.69,2987150.8,0.0,1.0
2000-02-04,9.88,9.91,9.72,9.84,3010098.7,0.0,1.0
2000-02-07,9.91,9.95,9.8,9.88,2578679.6,0.0,1.0
2000-02-08,9.88,9.91,9.76,9.88,2797449.4,0.0,1.0
2000-02-09,9.8,9.88,9.76,9.76,3644114.2,0.0,1.0
2000-02-10,9.8,9.8,9.54,9.61,4132902.8,0.0,1.0
2000-02-11,9.61,9.65,9.23,9.42,4995413.1,0.0,1.0
2000-02-14,9.3,9.42,9.23,9.38,4141426.3,0.0,1.0
2000-02-15,9.38,9.49,9.23,9.46,4992134.9,0.0,1.0
2000-02-16,9.34,10.03,9.3,9.84,8469495.5,0.0,1.0
2000-02-17,9.84,10.03,9.76,9.99,5258111.6,0.0,1.0
2000-02-18,10.03,10.15,9.8,9.88,5182274.0,0.0,1.0
2000-02-22,9.91,10.26,9.91,10.03,5450107.9,0.0,1.0
2000-02-23,10.15,10.91,10.07,10.79,7037769.4,0.0,1.0
2000-02-24,10.94,10.94,10.37,10.64,5612381.8,0.0,1.0
2000-02-25,10.52,11.06,10.37,11.06,4514492.4,0.0,1.0
2000-02-28,10.91,11.06,10.6,10.79,2759639.6,0.0,1.0
2000-02-29,10.79,11.25,10.52,11.25,3104950.2,0.0,1.0
2000-03-01,11.14,11.14,10.87,11.14,2708373.8,0.01,1.0
2000-03-02,10.95,10.99,10.64,10.87,3612548.5,0.0,1.0
2000-03-03,10.99,11.1,10.87,11.02,3344475.0,0.0,1.0
2000-03-06,10.76,10.8,10.56,10.72,1969259.2,0.0,1.0
2000-03-07,10.45,10.56,9.73,10.07,3495553.1,0.0,1.0
2000-03-08,9.92,10.91,9.84,10.76,3240260.6,0.0,1.0
2000-03-09,10.95,11.33,10.83,11.1,4550478.3,0.0,1.0
2000-03-10,11.14,11.42,11.1,11.41,3346659.2,0.0,1.0
2000-03-13,11.14,11.56,10.91,11.56,3005286.5,0.0,1.0
2000-03-14,11.6,11.86,11.41,11.56,3112668.4,0.0,1.0
2000-03-15,11.56,12.13,11.52,11.9,4990166.5,0.0,1.0
2000-03-16,11.9,12.21,11.71,12.13,3570928.3,0.0,1.0
2000-03-17,12.13,12.21,11.6,12.21,3722334.2,0.0,1.0
2000-03-20,11.63,12.21,11.63,12.13,2918003.7,0.0,1.0
2000-03-21,12.17,12.36,12.05,12.32,2396931.6,0.0,1.0
2000-03-22,12.32,12.32,11.9,11.94,2109960.2,0.0,1.0
2000-03-23,11.83,12.44,11.78,12.39,2780362.0,0.0,1.0
2000-03-24,12.28,12.36,11.94,12.21,2450022.0,0.0,1.0
2000-03-27,12.09,12.28,11.9,11.98,2260382.9,0.0,1.0
2000-03-28,12.21,12.47,12.13,12.47,2783966.9,0.0,1.0
2000-03-29,12.51,12.74,12.13,12.28,2201283.8,0.0,1.0
2000-03-30,12.28,12.32,11.83,12.17,2201939.2,0.0,1.0
2000-03-31,12.21,12.7,11.9,12.7,3762533.7,0.0,1.0
2000-04-03,12.59,12.66,12.36,12.44,2798386.5,0.0,1.0
2000-04-04,12.66,12.82,12.21,12.44,3777390.8,0.0,1.0
2000-04-05,12.74,13.12,12.66,12.97,4049942.7,0.0,1.0
2000-04-06,13.08,13.24,12.93,13.01,3434269.8,0.0,1.0
2000-04-07,13.12,13.31,13.08,13.16,2281247.0,0.0,1.0
2000-04-10,13.24,13.35,13.2,13.35,3127743.4,0.0,1.0
2000-04-11,13.39,13.66,13.31,13.62,3578356.1,0.0,1.0
2000-04-12,13.58,13.69,12.97,13.08,3711519.5,0.0,1.0
2000-04-13,13.2,13.24,12.66,13.05,3513795.5,0.0,1.0
2000-04-14,12.82,12.9,12.02,12.7,3754778.3,0.0,1.0
2000-04-17,12.17,12.36,11.6,11.67,3560113.6,0.0,1.0
2000-04-18,11.9,12.21,11.78,12.09,2258634.5,0.0,1.0
2000-04-19,12.13,13.16,12.13,12.93,3747240.8,0.0,1.0
2000-04-20,13.01,13.27,12.9,13.01,2940616.3,0.0,1.0
2000-04-24,13.01,13.05,12.24,12.66,3751173.4,0.0,1.0
2000-04-25,12.85,12.93,12.66,12.78,2418670.8,0.0,1.0
2000-04-26,12.66,12.82,12.39,12.74,2810184.4,0.0,1.0
2000-04-27,12.47,12.97,12.47,12.82,2379562.5,0.0,1.0
2000-04-28,12.97,13.24,12.82,13.24,1892245.4,0.0,1.0
2000-05-01,13.24,13.43,13.08,13.35,2517531.9,0.0,1.0
2000-05-02,13.31,13.58,13.12,13.27,2595856.6,0.0,1.0
2000-05-03,13.12,13.2,13.05,13.16,1358829.8,0.0,1.0
2000-05-04,13.35,13.43,12.9,13.01,1644272.5,0.0,1.0
2000-05-05,12.93,13.31,12.9,13.08,1680976.9,0.0,1.0
2000-05-08,13.12,13.73,13.05,13.69,2655829.1,0.0,1.0
2000-05-09,13.77,13.88,13.43,13.43,3225513.2,0.0,1.0
2000-05-10,13.43,13.81,13.39,13.46,2055231.2,0.0,1.0
2000-05-11,13.62,13.69,13.27,13.43,1845819.2,0.0,1.0
2000-05-12,13.31,13.43,12.93,13.05,1919883.6,0.0,1.0
2000-05-15,13.2,13.27,12.78,12.85,2509339.0,0.0,1.0
2000-05-16,12.85,13.08,12.55,12.82,3418539.3,0.0,1.0
2000-05-17,12.74,13.27,12.66,13.16,1286404.1,0.0,1.0
2000-05-18,13.01,13.27,12.82,12.85,1068689.4,0.0,1.0
2000-05-19,12.7,12.82,12.24,12.39,1619365.9,0.0,1.0
2000-05-22,12.28,12.39,12.02,12.36,2133773.8,0.0,1.0
2000-05-23,12.44,12.51,12.24,12.36,1398374.0,0.0,1.0
2000-05-24,12.85,12.97,12.13,12.36,2523212.9,0.0,1.0
2000-05-25,12.21,12.21,11.67,11.86,3051494.8,0.0,1.0
2000-05-26,11.9,12.13,11.63,11.67,1579602.2,0.0,1.0
2000-05-30,11.75,11.94,11.71,11.94,1285093.2,0.0,1.0
2000-05-31,11.98,12.06,11.9,12.06,1601400.5,0.01,1.0
2000-06-01,11.71,12.33,11.64,12.29,2596816.1,0.0,1.0
2000-06-02,12.36,12.67,11.98,12.17,1686581.4,0.0,1.0
2000-06-05,11.9,12.14,11.79,12.02,1145137.3,0.0,1.0
2000-06-06,12.29,12.29,11.79,11.94,1898878.4,0.0,1.0
2000-06-07,12.14,12.36,12.14,12.33,1237853.4,0.0,1.0
2000-06-08,12.25,12.36,12.14,12.29,950204.2,0.0,1.0
2000-06-09,12.25,12.63,12.25,12.51,1160535.4,0.0,1.0
2000-06-12,12.67,12.94,12.59,12.67,2214702.8,0.0,1.0
2000-06-13,12.55,12.7,12.48,12.59,1533365.6,0.0,1.0
2000-06-14,12.55,12.63,12.33,12.44,1380367.6,0.0,1.0
2000-06-15,12.33,12.33,11.83,12.09,1707658.8,0.0,1.0
2000-06-16,11.9,11.98,11.64,11.79,3285361.0,0.0,1.0
2000-06-19,11.87,12.06,11.83,11.94,1433004.5,0.0,1.0
2000-06-20,12.06,12.21,11.87,11.87,2054169.7,0.0,1.0
2000-06-21,11.98,12.06,11.79,11.94,1534020.8,0.0,1.0
2000-06-22,11.79,11.94,11.71,11.79,1252268.7,0.0,1.0
2000-06-23,11.83,11.87,11.6,11.64,1542101.5,0.0,1.0
2000-06-26,11.68,11.71,11.41,11.45,2761826.2,0.0,1.0
2000-06-27,11.33,12.17,11.33,11.9,3163814.4,0.0,1.0
2000-06-28,11.75,12.14,11.71,11.92,2233049.5,0.0,1.0
2000-06-29,11.75,11.94,11.53,11.75,1845258.6,0.0,1.0
2000-06-30,11.83,12.21,11.55,11.56,2698595.8,0.0,1.0
2000-07-03,11.75,11.9,11.68,11.87,666376.6,0.0,1.0
2000-07-05,12.17,12.44,12.06,12.29,2335594.2,0.0,1.0
2000-07-06,12.25,12.36,12.06,12.25,2368356.0,0.0,1.0
2000-07-07,12.33,12.4,12.14,12.17,3027525.0,0.0,1.0
2000-07-10,12.21,12.29,12.14,12.25,2058210.8,0.0,1.0
2000-07-11,12.06,12.21,11.83,12.02,2004371.6,0.0,1.0
2000-07-12,11.79,12.67,11.79,12.63,5054939.7,0.0,1.0
2000-07-13,12.82,12.9,12.36,12.4,3501917.0,0.0,1.0
2000-07-14,12.48,12.75,12.4,12.67,1709624.5,0.0,1.0
2000-07-17,12.75,13.09,12.7,12.9,3259151.5,0.0,1.0
2000-07-18,12.97,13.51,12.97,13.39,4884250.3,0.0,1.0
2000-07-19,13.66,13.66,13.13,13.13,6012569.3,0.0,1.0
2000-07-20,13.13,13.31,12.78,12.78,1935244.0,0.0,1.0
2000-07-21,12.9,13.47,12.82,13.43,3299121.0,0.0,1.0
2000-07-24,13.47,14.04,13.47,13.89,4876387.4,0.0,1.0
2000-07-25,13.97,14.5,13.81,13.92,5188498.4,0.0,1.0
2000-07-26,14.04,14.31,13.7,13.81,6080604.3,0.0,1.0
2000-07-27,13.97,14.04,13.85,14.0,3436503.0,0.0,1.0
2000-07-28,13.97,14.0,13.43,13.66,1936554.5,0.0,1.0
2000-07-31,13.58,14.46,13.58,14.43,4321401.3,0.0,1.0
2000-08-01,14.31,14.61,14.16,14.61,3898990.9,0.0,1.0
2000-08-02,14.54,14.58,14.31,14.38,2859566.3,0.0,1.0
2000-08-03,14.5,14.69,14.23,14.69,2336249.4,0.0,1.0
2000-08-04,14.73,14.92,14.54,14.84,3138260.1,0.0,1.0
2000-08-07,14.96,15.11,14.84,15.11,3042267.8,0.0,1.0
2000-08-08,15.11,15.23,14.8,14.88,2253034.2,0.0,1.0
2000-08-09,14.8,15.07,14.8,14.88,2137384.8,0.0,1.0
2000-08-10,14.99,15.04,14.73,14.77,1195808.5,0.0,1.0
2000-08-11,14.96,15.26,14.92,15.23,2140770.8,0.0,1.0
2000-08-14,15.04,15.11,14.8,14.92,2397186.5,0.0,1.0
2000-08-15,14.65,14.77,14.58,14.65,1852466.2,0.0,1.0
2000-08-16,14.65,14.88,14.54,14.84,2585349.4,0.0,1.0
2000-08-17,14.84,14.88,13.89,14.27,4236765.9,0.0,1.0
2000-08-18,14.12,14.69,14.12,14.43,2153110.5,0.0,1.0
2000-08-21,14.54,14.65,14.35,14.46,1022170.5,0.0,1.0
2000-08-22,14.38,14.65,14.12,14.23,2248557.3,0.0,1.0
2000-08-23,14.08,14.27,14.04,14.12,3765104.6,0.0,1.0
2000-08-24,14.04,14.27,14.0,14.04,2696084.6,0.0,1.0
2000-08-25,14.04,14.5,14.04,14.35,1287651.5,0.0,1.0
2000-08-28,14.35,14.61,14.31,14.43,1490447.5,0.0,1.0
2000-08-29,14.38,14.38,13.85,14.0,1927053.6,0.0,1.0
2000-08-30,13.89,13.92,13.51,13.7,2183033.6,0.0,1.0
2000-08-31,13.74,14.08,13.66,13.82,1850718.4,0.0,1.0
2000-09-01,13.74,13.78,13.28,13.51,2343312.0,0.01,1.0
2000-09-05,13.59,14.04,13.55,13.97,2697379.9,0.0,1.0
2000-09-06,14.01,14.5,14.01,14.23,2276494.4,0.0,1.0
2000-09-07,14.28,14.31,14.01,14.08,1783440.9,0.0,1.0
2000-09-08,14.23,14.31,14.04,14.16,2441245.7,0.0,1.0
2000-09-11,14.12,14.12,13.51,13.62,2916502.4,0.0,1.0
2000-09-12,13.62,13.74,13.36,13.51,3159535.1,0.0,1.0
2000-09-13,13.62,13.85,13.51,13.74,3709142.8,0.0,1.0
2000-09-14,13.74,13.89,13.55,13.82,2096021.3,0.0,1.0
2000-09-15,13.55,13.89,13.55,13.82,2856780.9,0.0,1.0
2000-09-18,13.67,13.82,13.62,13.7,1948301.9,0.0,1.0
2000-09-19,13.7,13.85,13.21,13.78,3544936.9,0.0,1.0
2000-09-20,13.78,14.28,13.62,14.16,3654661.9,0.0,1.0
2000-09-21,14.16,14.62,13.97,14.04,4804318.0,0.0,1.0
2000-09-22,13.89,14.47,13.85,14.28,1960420.8,0.0,1.0
2000-09-25,14.47,14.58,14.16,14.43,1958455.6,0.0,1.0
2000-09-26,14.28,14.43,14.08,14.35,1445532.1,0.0,1.0
2000-09-27,14.23,14.58,14.16,14.54,1447824.9,0.0,1.0
2000-09-28,14.58,14.81,14.31,14.77,2596825.9,0.0,1.0
2000-09-29,14.84,14.96,14.5,14.81,2392988.0,0.0,1.0
2000-10-02,14.81,15.0,14.62,15.0,1792394.2,0.0,1.0
2000-10-03,15.0,15.96,15.0,15.57,5505248.0,0.0,1.0
2000-10-04,15.72,16.03,15.5,15.72,4028491.7,0.0,1.0
2000-10-05,15.72,16.33,15.5,16.07,3564589.1,0.0,1.0
2000-10-06,16.07,16.26,15.72,15.96,3001334.6,0.0,1.0
2000-10-09,15.8,16.11,15.65,15.76,1679066.2,0.0,1.0
2000-10-10,15.76,16.18,15.61,15.76,1609300.8,0.0,1.0
2000-10-11,15.38,15.65,15.04,15.45,2657310.6,0.0,1.0
2000-10-12,15.57,15.57,14.5,14.69,3500501.5,0.0,1.0
2000-10-13,14.62,14.92,14.43,14.84,2025273.2,0.0,1.0
2000-10-16,14.96,15.23,14.58,15.0,3521681.7,0.0,1.0
2000-10-17,15.27,15.76,15.23,15.57,2204981.5,0.0,1.0
2000-10-18,15.57,15.76,15.11,15.5,2485135.7,0.0,1.0
2000-10-19,15.5,16.22,15.5,16.11,3057888.8,0.0,1.0
2000-10-20,15.96,16.3,15.91,16.11,2546603.0,0.0,1.0
2000-10-23,15.99,16.45,15.84,15.91,2564399.7,0.0,1.0
2000-10-24,15.96,16.52,15.88,16.45,3421455.3,0.0,1.0
2000-10-25,16.18,16.37,16.11,16.22,2075386.4,0.0,1.0
2000-10-26,16.07,16.41,15.88,16.07,2683186.1,0.0,1.0
2000-10-27,16.07,16.49,15.96,16.45,1763898.4,0.0,1.0
2000-10-30,16.49,17.59,16.49,17.59,5941309.9,0.0,1.0
2000-10-31,17.4,17.59,16.94,17.4,3867888.7,0.0,1.0
2000-11-01,17.4,17.9,17.29,17.67,3677917.0,0.0,1.0
2000-11-02,17.67,17.71,17.25,17.52,2326935.1,0.0,1.0
2000-11-03,17.56,17.59,17.13,17.52,1891638.0,0.0,1.0
2000-11-06,17.67,18.28,17.59,18.01,2805794.8,0.0,1.0
2000-11-07,18.01,18.09,17.63,17.82,2644864.2,0.0,1.0
2000-11-08,17.79,18.25,17.56,18.05,1863032.5,0.0,1.0
2000-11-09,18.13,18.28,17.9,18.25,3174164.6,0.0,1.0
2000-11-10,18.17,18.25,17.79,17.86,1984876.4,0.0,1.0
2000-11-13,17.59,18.09,17.56,18.09,1684634.4,0.0,1.0
2000-11-14,18.01,18.32,17.98,18.25,1693695.7,0.0,1.0
2000-11-15,18.13,18.32,18.05,18.25,2476292.2,0.0,1.0
2000-11-16,18.13,18.28,18.01,18.05,984904.8,0.0,1.0
2000-11-17,18.17,18.36,17.94,18.01,1869255.7,0.0,1.0
2000-11-20,18.17,18.36,17.98,18.36,1425879.9,0.0,1.0
2000-11-21,18.4,19.73,18.4,19.69,5044185.1,0.0,1.0
2000-11-22,19.58,19.69,18.43,18.55,4352316.4,0.0,1.0
2000-11-24,18.7,18.81,18.55,18.66,1764553.5,0.0,1.0
2000-11-27,18.7,18.86,18.4,18.62,3649858.5,0.0,1.0
2000-11-28,18.47,18.93,18.36,18.93,3607169.0,0.0,1.0
2000-11-29,18.74,19.88,18.66,19.81,7612295.8,0.0,1.0
2000-11-30,19.77,20.0,19.01,19.27,3746809.6,0.0,1.0
2000-12-01,19.12,19.2,18.62,18.86,4826700.3,0.0,1.0
2000-12-04,18.55,18.85,18.32,18.8,3097732.1,0.01,1.0
2000-12-05,18.69,19.33,18.47,19.33,7519241.7,0.0,1.0
2000-12-06,19.32,19.54,18.96,19.26,2764903.9,0.0,1.0
2000-12-07,19.11,19.18,18.32,18.57,3440820.2,0.0,1.0
2000-12-08,18.57,19.66,18.57,19.48,6094163.5,0.0,1.0
2000-12-11,19.36,19.84,19.25,19.5,3130807.5,0.0,1.0
2000-12-12,19.35,19.89,19.32,19.41,1882785.6,0.0,1.0
2000-12-13,19.51,19.85,18.57,18.62,3255249.4,0.0,1.0
2000-12-14,18.77,18.77,17.62,18.23,4947550.4,0.0,1.0
2000-12-15,17.96,18.48,17.96,18.34,4225787.0,0.0,1.0
2000-12-18,18.69,19.15,18.51,19.05,2448559.3,0.0,1.0
2000-12-19,18.79,19.41,18.78,18.94,2964666.0,0.0,1.0
2000-12-20,18.8,18.86,17.71,18.06,3183531.6,0.0,1.0
2000-12-21,18.14,19.67,18.11,19.45,4599550.1,0.0,1.0
2000-12-22,19.39,19.8,19.24,19.39,1898394.9,0.0,1.0
2000-12-26,19.33,19.54,19.25,19.51,1526706.4,0.0,1.0
2000-12-27,19.88,21.0,19.88,20.77,3915009.6,0.0,1.0
2000-12-28,21.31,21.37,20.22,20.4,2783242.7,0.0,1.0
2000-12-29,20.76,21.34,20.43,20.48,2733248.1,0.0,1.0
2001-01-02,20.31,20.52,20.13,20.43,4139496.3,0.0,1.0
2001-01-03,20.15,20.15,19.39,20.07,7330286.5,0.0,1.0
2001-01-04,20.61,21.22,20.15,21.22,6700380.9,0.0,1.0
2001-01-05,21.1,21.32,20.18,21.31,7124302.3,0.0,1.0
2001-01-08,21.01,21.36,20.58,20.76,3825116.6,0.0,1.0
2001-01-09,20.22,20.63,19.47,19.56,6243220.4,0.0,1.0
2001-01-10,19.54,19.76,19.39,19.51,3885700.2,0.0,1.0
2001-01-11,19.51,19.54,18.75,18.84,4899902.2,0.0,1.0
2001-01-12,19.05,19.05,18.41,18.73,4269014.2,0.0,1.0
2001-01-16,18.73,18.73,17.88,18.21,4831131.7,0.0,1.0
2001-01-17,18.29,18.32,17.68,17.83,5600379.5,0.0,1.0
2001-01-18,17.92,18.47,17.89,18.25,6078498.6,0.0,1.0
2001-01-19,18.26,18.32,17.53,17.65,5969120.6,0.0,1.0
2001-01-22,17.71,17.89,17.21,17.36,4994543.6,0.0,1.0
2001-01-23,17.47,18.32,17.41,17.92,3202415.6,0.0,1.0
