date,open,high,low,close,volume,dividend,ratio
2000-01-03,15.31,15.39,15.22,15.35,4090530.4,0.0,1.0
2000-01-04,15.05,15.16,14.69,14.91,2505310.4,0.0,1.0
2000-01-05,14.97,15.18,14.7,15.09,2880040.6,0.0,1.0
2000-01-06,15.24,15.24,14.72,15.07,2728770.3,0.0,1.0
2000-01-07,15.01,15.54,14.95,15.48,3409978.5,0.0,1.0
2000-01-10,15.51,16.21,15.51,15.96,4720549.5,0.0,1.0
2000-01-11,16.25,16.42,15.43,15.45,4319240.5,0.0,1.0
2000-01-12,15.48,15.58,15.12,15.41,4416040.3,0.0,1.0
2000-01-13,15.31,15.75,15.18,15.62,4522027.9,0.0,1.0
2000-01-14,15.62,15.73,14.02,14.59,16468765.6,0.0,1.0
2000-01-18,14.27,14.67,14.27,14.61,6859661.4,0.0,1.0
2000-01-19,14.67,15.03,14.44,14.57,4088889.7,0.0,1.0
2000-01-20,14.52,14.52,13.71,14.1,4484620.5,0.0,1.0
2000-01-21,13.71,13.71,13.2,13.37,4048529.1,0.0,1.0
2000-01-24,13.45,13.56,12.51,12.57,3743035.5,0.0,1.0
2000-01-25,12.84,13.31,12.65,13.12,3029998.2,0.0,1.0
2000-01-26,13.31,13.75,13.03,13.71,4907586.5,0.0,1.0
2000-01-27,13.49,13.49,12.84,13.01,3665595.6,0.0,1.0
2000-01-28,12.93,13.03,12.61,12.69,2187675.8,0.0,1.0
2000-01-31,12.65,12.93,12.49,12.69,2629017.3,0.0,1.0
2000-02-01,12.69,13.2,12.63,12.84,2858711.8,0.0,1.0
2000-02-02,12.8,13.07,12.65,13.05,1942230.8,0.0,1.0
2000-02-03,13.09,13.09,12.49,12.59,4696267.6,0.0,1.0
2000-02-04,12.51,12.57,12.0,12.17,5220627.2,0.0,1.0
2000-02-07,12.17,12.17,11.26,11.37,5303645.4,0.0,1.0
2000-02-08,11.6,11.89,11.52,11.85,9966443.2,0.0,1.0
2000-02-09,11.89,11.9,11.24,11.56,5705282.6,0.0,1.0
2000-02-10,11.58,11.68,11.29,11.49,2675612.5,0.0,1.0
2000-02-11,11.56,11.58,11.22,11.26,2784881.4,0.0,1.0
2000-02-14,11.28,11.39,10.99,11.22,2351087.0,0.0,1.0
2000-02-15,11.14,11.68,11.09,11.56,3670845.8,0.0,1.0
2000-02-16,11.45,11.49,10.74,10.88,2652314.9,0.0,1.0
2000-02-17,11.07,11.11,10.36,10.46,5399460.8,0.0,1.0
2000-02-18,10.53,10.74,10.27,10.3,3042795.5,0.0,1.0
2000-02-22,10.36,10.68,10.15,10.67,4296599.2,0.0,1.0
2000-02-23,10.71,10.74,10.3,10.42,4883960.8,0.0,1.0
2000-02-24,10.34,10.36,9.64,9.89,6498384.8,0.0,1.0
2000-02-25,10.11,10.17,9.92,9.92,3431635.4,0.0,1.0
2000-02-28,10.25,10.86,10.17,10.74,5200611.0,0.0,1.0
2000-02-29,11.39,11.5,11.03,11.18,7042104.4,0.0,1.0
2000-03-01,11.7,11.71,10.91,11.07,5701344.9,0.0,1.0
2000-03-02,10.99,11.26,10.97,11.11,2432792.6,0.0,1.0
2000-03-03,11.11,11.37,11.01,11.01,2411463.8,0.0,1.0
2000-03-06,10.95,11.05,10.38,10.5,3075280.9,0.0,1.0
2000-03-07,10.29,10.46,10.06,10.06,3628844.5,0.0,1.0
2000-03-08,10.13,10.51,10.02,10.38,2867243.3,0.0,1.0
2000-03-09,10.3,10.51,10.17,10.42,3619656.8,0.0,1.0
2000-03-10,10.5,10.97,10.46,10.76,3013263.3,0.0,1.0
2000-03-13,10.51,10.78,10.27,10.61,2563718.4,0.0,1.0
2000-03-14,10.61,11.09,10.44,10.82,2689394.1,0.0,1.0
2000-03-15,10.74,12.19,10.74,11.98,6717907.1,0.0,1.0
2000-03-16,12.19,13.03,12.11,12.51,5185844.9,0.0,1.0
2000-03-17,12.04,12.69,12.04,12.21,3833600.7,0.0,1.0
2000-03-20,12.19,12.48,11.73,12.38,4163048.2,0.0,1.0
2000-03-21,12.4,13.07,12.4,12.82,3045748.7,0.0,1.0
2000-03-22,12.74,12.74,12.17,12.34,4111859.2,0.0,1.0
2000-03-23,12.42,12.42,11.96,12.13,3178643.4,0.0,1.0
2000-03-24,12.13,12.78,12.1,12.19,3702346.8,0.0,1.0
2000-03-27,12.21,12.31,12.0,12.14,2531889.4,0.0,1.0
2000-03-28,11.96,12.51,11.9,12.17,2789147.2,0.0,1.0
2000-03-29,12.17,12.92,12.17,12.86,3491356.0,0.0,1.0
2000-03-30,12.86,13.64,12.65,13.26,4326459.5,0.0,1.0
2000-03-31,13.41,13.52,12.72,12.88,4021950.2,0.0,1.0
2000-04-03,12.69,13.37,12.65,13.03,2601454.0,0.0,1.0
2000-04-04,12.67,13.03,12.0,12.17,6028167.4,0.0,1.0
2000-04-05,12.17,12.36,12.11,12.21,4968619.6,0.0,1.0
2000-04-06,12.04,12.19,11.83,11.92,5545480.8,0.0,1.0
2000-04-07,12.0,12.13,11.89,12.08,3018185.4,0.0,1.0
2000-04-10,12.19,12.8,12.04,12.48,3224582.3,0.0,1.0
2000-04-11,12.48,12.84,12.34,12.63,2809163.4,0.0,1.0
2000-04-12,12.53,12.89,12.51,12.53,2784553.3,0.0,1.0
2000-04-13,12.46,12.46,12.08,12.08,2828523.4,0.0,1.0
2000-04-14,11.68,11.75,11.43,11.49,3990121.1,0.0,1.0
2000-04-17,10.97,11.22,10.97,11.11,6379271.8,0.0,1.0
2000-04-18,11.03,11.2,10.82,11.07,3581593.1,0.0,1.0
2000-04-19,11.11,11.41,10.97,11.32,2850180.3,0.0,1.0
2000-04-20,11.16,11.47,11.12,11.28,2236239.8,0.0,1.0
2000-04-24,11.2,11.52,11.18,11.43,3824084.8,0.0,1.0
2000-04-25,11.71,11.81,11.45,11.68,3274458.8,0.0,1.0
2000-04-26,11.75,11.77,11.09,11.18,3460183.2,0.0,1.0
2000-04-27,10.76,11.05,10.72,10.78,5138265.4,0.0,1.0
2000-04-28,10.71,10.72,10.3,10.36,4970588.4,0.0,1.0
2000-05-01,10.44,10.61,10.4,10.48,5579935.0,0.0,1.0
2000-05-02,10.4,10.89,10.36,10.76,5652452.8,0.0,1.0
2000-05-03,10.5,10.57,10.19,10.39,6519057.3,0.0,1.0
2000-05-04,10.53,10.71,10.44,10.57,4326459.5,0.0,1.0
2000-05-05,10.53,11.03,10.53,11.01,5776159.7,0.0,1.0
2000-05-08,10.78,11.14,10.67,11.11,3036889.1,0.0,1.0
2000-05-09,10.95,11.22,10.95,11.09,3561248.7,0.0,1.0
2000-05-10,11.11,11.35,10.99,11.16,4574201.4,0.0,1.0
2000-05-11,11.29,11.35,11.2,11.33,4321209.3,0.0,1.0
2000-05-12,11.33,11.54,11.33,11.54,2101048.2,0.0,1.0
2000-05-15,11.54,12.25,11.5,12.08,6476071.6,0.0,1.0
2000-05-16,12.04,12.46,12.04,12.13,4292005.3,0.0,1.0
2000-05-17,11.92,12.04,11.6,11.75,2623110.9,0.0,1.0
2000-05-18,11.5,12.27,11.5,12.17,3444432.7,0.0,1.0
2000-05-19,12.1,12.15,11.75,11.83,2045265.2,0.0,1.0
2000-05-22,11.87,11.94,11.56,11.71,3506778.3,0.0,1.0
2000-05-23,11.64,12.0,11.58,11.85,2552561.9,0.0,1.0
2000-05-24,11.85,11.85,11.33,11.56,4012434.3,0.0,1.0
2000-05-25,11.45,11.58,10.93,11.01,5004714.4,0.0,1.0
2000-05-26,10.97,11.32,10.97,11.11,2568640.5,0.0,1.0
2000-05-30,11.16,11.37,11.03,11.26,2570937.4,0.0,1.0
2000-05-31,11.18,12.1,11.18,11.73,3234754.4,0.0,1.0
2000-06-01,11.75,11.85,11.52,11.73,2619173.3,0.0,1.0
2000-06-02,11.81,12.17,11.81,12.02,1911058.0,0.0,1.0
2000-06-05,12.15,12.17,11.87,11.9,1656425.3,0.0,1.0
2000-06-06,12.0,12.0,11.33,11.35,2170284.6,0.0,1.0
2000-06-07,11.24,11.39,11.11,11.14,4842287.6,0.0,1.0
2000-06-08,10.82,11.07,10.8,11.03,4672970.0,0.0,1.0
2000-06-09,11.03,11.24,10.72,10.8,2793741.1,0.0,1.0
2000-06-12,10.76,10.95,10.71,10.84,2450840.0,0.0,1.0
2000-06-13,10.8,11.03,10.72,10.93,2160112.4,0.0,1.0
2000-06-14,10.93,10.99,10.71,10.76,3198987.7,0.0,1.0
