date,open,high,low,close,volume,dividend,ratio
2000-01-03,23.27,23.34,23.01,23.09,7758920.9,0.0,1.0
2000-01-04,22.9,23.05,22.36,22.61,7236979.6,0.0,1.0
2000-01-05,22.61,23.53,22.61,23.09,8979244.1,0.0,1.0
2000-01-06,22.8,22.94,22.54,22.65,8254602.1,0.0,1.0
2000-01-07,22.72,23.31,22.65,23.24,8795766.5,0.0,1.0
2000-01-10,23.31,23.89,23.16,23.34,7060882.4,0.0,1.0
2000-01-11,23.38,24.18,23.38,23.89,9337274.2,0.0,1.0
2000-01-12,23.85,25.09,23.67,24.91,13885252.0,0.0,1.0
2000-01-13,24.87,25.42,24.4,24.65,9783524.5,0.0,1.0
2000-01-14,24.94,24.94,24.4,24.83,5776196.2,0.0,1.0
2000-01-18,24.69,24.76,24.0,24.18,5837469.8,0.0,1.0
2000-01-19,23.89,24.84,23.89,24.69,5740667.8,0.0,1.0
2000-01-20,24.8,24.8,23.89,24.8,5680595.6,0.0,1.0
2000-01-21,24.25,24.4,23.56,23.92,6389275.5,0.0,1.0
2000-01-24,24.03,24.14,23.01,23.01,6167695.1,0.0,1.0
2000-01-25,23.16,23.45,22.83,23.19,5671670.6,0.0,1.0
2000-01-26,23.09,23.09,20.21,20.83,28668497.1,0.0,1.0
2000-01-27,20.97,22.11,20.9,21.92,20737254.9,0.0,1.0
2000-01-28,21.63,21.81,21.2,21.41,7627792.0,0.0,1.0
2000-01-31,21.7,22.14,21.63,21.78,8304204.6,0.0,1.0
2000-02-01,21.81,21.88,21.27,21.34,8031648.6,0.0,1.0
2000-02-02,21.34,21.41,20.61,20.68,9901780.9,0.0,1.0
2000-02-03,20.72,21.09,20.07,20.39,15834508.0,0.0,1.0
2000-02-04,20.9,20.9,20.17,20.46,13305469.8,0.0,1.0
2000-02-07,20.54,20.76,19.81,20.36,17151289.9,0.0,1.0
2000-02-08,20.97,21.92,20.68,21.16,20844698.2,0.0,1.0
2000-02-09,21.38,21.38,20.61,20.9,10152882.6,0.0,1.0
2000-02-10,20.68,21.12,20.47,20.68,9188295.2,0.0,1.0
2000-02-11,20.43,20.65,20.28,20.36,6728940.7,0.0,1.0
2000-02-14,20.57,20.57,19.41,19.74,7597241.0,0.0,1.0
2000-02-15,19.66,19.89,19.48,19.66,8013970.2,0.0,1.0
2000-02-16,19.66,20.07,19.37,19.45,6530531.0,0.0,1.0
2000-02-17,19.55,19.84,19.45,19.66,7332236.9,0.0,1.0
2000-02-18,19.55,19.63,18.82,18.94,9431158.4,0.0,1.0
2000-02-22,18.79,19.34,18.75,18.82,7688379.0,0.0,1.0
2000-02-23,18.9,19.45,18.87,19.01,8457131.1,0.0,1.0
2000-02-24,18.72,18.87,18.06,18.28,10562918.0,0.0,1.0
2000-02-25,18.35,18.53,17.92,18.06,7811441.2,0.0,1.0
2000-02-28,18.21,18.46,17.85,18.14,6660458.5,0.0,1.0
2000-02-29,18.5,18.9,18.39,18.5,8382470.0,0.0,1.0
2000-03-01,18.57,18.61,18.14,18.21,8529904.3,0.0,1.0
2000-03-02,18.14,18.32,17.92,17.99,8383671.5,0.0,1.0
2000-03-03,18.06,18.82,17.81,18.82,8914537.8,0.0,1.0
2000-03-06,18.94,18.94,18.14,18.39,7165922.8,0.0,1.0
2000-03-07,18.35,18.39,17.37,17.41,10612692.1,0.0,1.0
2000-03-08,17.7,18.21,17.48,17.92,6892680.3,0.0,1.0
2000-03-09,17.85,18.64,17.48,18.64,8202768.4,0.0,1.0
2000-03-10,18.32,18.87,18.06,18.5,8271422.3,0.0,1.0
2000-03-13,18.64,18.9,18.24,18.9,9714012.5,0.0,1.0
2000-03-14,18.9,18.94,17.51,17.77,8986281.1,0.0,1.0
2000-03-15,17.88,19.16,17.74,18.94,12090982.3,0.0,1.0
2000-03-16,19.45,20.03,19.08,19.84,14145965.2,0.0,1.0
2000-03-17,20.39,20.5,19.66,19.7,9376406.9,0.0,1.0
2000-03-20,19.96,20.32,19.89,20.14,4695927.0,0.0,1.0
2000-03-21,20.25,20.68,20.1,20.54,7277142.2,0.0,1.0
2000-03-22,20.54,20.83,20.39,20.54,6443168.9,0.0,1.0
2000-03-23,19.81,20.94,19.77,20.5,6925290.9,0.0,1.0
2000-03-24,20.46,20.94,20.21,20.28,5471887.8,0.0,1.0
2000-03-27,19.92,20.5,19.89,20.25,3758629.6,0.0,1.0
2000-03-28,19.81,20.61,19.81,20.47,5086396.1,0.0,1.0
2000-03-29,20.32,21.59,20.28,21.45,9084284.5,0.0,1.0
2000-03-30,21.45,22.29,21.45,21.92,8477212.4,0.0,1.0
2000-03-31,22.07,22.11,21.45,21.78,6416222.2,0.0,1.0
2000-04-03,22.03,22.51,21.88,22.43,7653880.5,0.0,1.0
2000-04-04,22.54,22.9,21.96,22.45,8831466.5,0.0,1.0
2000-04-05,22.14,22.51,21.7,22.47,7111857.9,0.0,1.0
2000-04-06,21.99,22.17,21.49,21.56,7078389.1,0.0,1.0
2000-04-07,21.2,21.74,21.05,21.56,5415763.2,0.0,1.0
2000-04-10,21.49,21.52,20.9,21.2,5551697.9,0.0,1.0
2000-04-11,21.05,21.99,20.9,21.96,5756801.5,0.0,1.0
2000-04-12,21.7,22.25,21.16,21.16,7806292.1,0.0,1.0
2000-04-13,20.97,20.97,19.89,19.89,12701487.1,0.0,1.0
2000-04-14,19.55,20.28,19.23,19.55,9859902.0,0.0,1.0
2000-04-17,19.52,19.89,19.26,19.63,8116436.1,0.0,1.0
2000-04-18,19.66,19.7,18.61,18.94,9336930.9,0.0,1.0
2000-04-19,19.19,19.34,18.94,19.26,5960875.2,0.0,1.0
2000-04-20,19.81,20.97,19.66,20.86,12031081.7,0.0,1.0
2000-04-24,20.54,22.72,20.47,22.72,16479683.0,0.0,1.0
2000-04-25,22.69,22.98,22.25,22.58,6822653.3,0.0,1.0
2000-04-26,22.36,22.94,22.36,22.65,5971688.2,0.0,1.0
2000-04-27,22.22,22.8,22.17,22.61,4985303.2,0.0,1.0
2000-04-28,22.47,22.58,21.88,22.17,5040054.7,0.0,1.0
2000-05-01,22.14,22.9,22.14,22.65,5301969.3,0.0,1.0
2000-05-02,22.36,23.09,22.32,22.83,5371824.7,0.0,1.0
2000-05-03,22.29,22.54,21.59,21.74,9000183.5,0.0,1.0
2000-05-04,21.34,21.38,20.72,20.83,11182691.1,0.0,1.0
2000-05-05,20.68,21.09,20.39,20.79,8526986.5,0.0,1.0
2000-05-08,20.83,21.05,20.5,20.86,5347452.6,0.0,1.0
2000-05-09,21.12,21.67,21.09,21.56,5433441.6,0.0,1.0
2000-05-10,21.67,22.61,21.63,22.51,10290362.0,0.0,1.0
2000-05-11,22.43,22.61,22.22,22.25,5466910.4,0.0,1.0
2000-05-12,22.29,22.29,21.7,21.88,4137255.9,0.0,1.0
2000-05-15,21.81,22.47,21.78,22.25,4874598.8,0.0,1.0
2000-05-16,22.61,22.87,22.4,22.83,4725791.5,0.0,1.0
2000-05-17,22.54,22.9,22.32,22.76,3463417.8,0.0,1.0
2000-05-18,22.61,22.76,22.47,22.51,3318901.3,0.0,1.0
2000-05-19,22.03,22.58,21.92,22.03,5123812.5,0.0,1.0
2000-05-22,22.07,22.8,22.03,22.65,5397913.2,0.0,1.0
2000-05-23,22.36,22.87,21.99,22.8,4732141.9,0.0,1.0
2000-05-24,22.8,23.27,22.22,22.58,8767790.0,0.0,1.0
2000-05-25,22.14,22.47,21.63,21.74,5926719.9,0.0,1.0
2000-05-26,21.7,22.11,21.67,21.99,5373369.4,0.0,1.0
2000-05-30,21.56,21.59,20.94,21.3,7226166.6,0.0,1.0
2000-05-31,20.97,21.3,20.9,21.05,6660630.1,0.0,1.0
2000-06-01,20.72,20.86,20.54,20.76,5113171.1,0.0,1.0
2000-06-02,21.05,21.16,20.5,21.05,6353575.5,0.0,1.0
2000-06-05,20.97,20.97,20.54,20.68,3360437.0,0.0,1.0
2000-06-06,20.47,20.76,20.32,20.47,6140405.1,0.0,1.0
2000-06-07,20.47,20.57,19.99,20.32,4321763.2,0.0,1.0
2000-06-08,20.1,20.83,20.1,20.65,5685058.1,0.0,1.0
2000-06-09,20.68,20.97,18.43,19.74,26262692.7,0.0,1.0
2000-06-12,19.37,19.41,18.64,19.01,13980852.6,0.0,1.0
2000-06-13,18.79,19.34,18.68,18.87,10378582.3,0.0,1.0
2000-06-14,18.64,19.23,18.43,18.5,10198194.1,0.0,1.0
2000-06-15,18.5,18.82,18.43,18.72,10778834.5,0.0,1.0
2000-06-16,18.94,18.97,18.24,18.24,11770711.8,0.0,1.0
2000-06-19,18.57,18.68,18.1,18.35,7741585.8,0.0,1.0
2000-06-20,18.46,18.5,18.06,18.35,6745589.3,0.0,1.0
2000-06-21,18.21,18.5,18.1,18.24,7546437.1,0.0,1.0
2000-06-22,18.21,18.39,18.14,18.32,6743358.1,0.0,1.0
2000-06-23,18.46,19.34,18.35,19.01,13694222.5,0.0,1.0
2000-06-26,19.19,19.59,19.16,19.48,8388134.0,0.0,1.0
2000-06-27,19.37,19.52,19.01,19.05,5873513.1,0.0,1.0
2000-06-28,18.94,19.12,18.64,18.77,5457642.1,0.0,1.0
2000-06-29,18.61,18.61,18.1,18.21,9517319.0,0.0,1.0
2000-06-30,18.35,19.25,18.32,19.19,10551418.5,0.0,1.0
2000-07-03,19.34,19.45,18.79,18.94,2885523.6,0.0,1.0
2000-07-05,18.94,18.97,18.43,18.53,8696733.3,0.0,1.0
2000-07-06,18.68,18.97,18.68,18.75,6883068.8,0.0,1.0
2000-07-07,18.79,19.52,18.64,18.94,6464794.8,0.0,1.0
2000-07-10,19.45,19.48,18.75,18.79,5172900.0,0.0,1.0
2000-07-11,19.16,19.26,18.79,18.97,5311237.6,0.0,1.0
2000-07-12,19.01,19.01,18.64,18.64,4965393.6,0.0,1.0
2000-07-13,18.9,18.9,18.06,18.35,11553937.1,0.0,1.0
2000-07-14,18.24,18.39,18.14,18.28,5396025.2,0.0,1.0
2000-07-17,18.35,18.39,18.14,18.24,4581618.3,0.0,1.0
2000-07-18,18.24,18.43,18.06,18.24,4551238.9,0.0,1.0
2000-07-19,18.24,18.32,18.06,18.28,5441680.0,0.0,1.0
2000-07-20,18.35,18.64,18.24,18.46,5606106.1,0.0,1.0
2000-07-21,18.57,18.57,17.81,17.99,6919970.2,0.0,1.0
2000-07-24,17.99,18.17,17.55,17.62,7195444.0,0.0,1.0
2000-07-25,18.06,18.28,17.51,18.24,11835418.1,0.0,1.0
2000-07-26,18.64,19.37,18.46,18.46,19388034.0,0.0,1.0
2000-07-27,19.23,19.66,18.68,18.75,11261643.1,0.0,1.0
2000-07-28,18.82,19.12,18.64,18.64,5308491.5,0.0,1.0
