date,open,high,low,close,volume,dividend,ratio
2000-01-03,19.39,19.76,19.28,19.76,2147877.6,0.0,1.0
2000-01-04,19.49,19.49,18.33,18.49,1368481.5,0.0,1.0
2000-01-05,18.59,18.75,18.12,18.38,1553690.4,0.0,1.0
2000-01-06,18.65,20.44,18.59,20.02,2409258.2,0.0,1.0
2000-01-07,20.18,20.44,19.6,19.81,1418669.4,0.0,1.0
2000-01-10,21.49,21.81,20.23,20.23,2938070.6,0.0,1.0
2000-01-11,21.28,23.6,21.07,22.71,6370545.8,0.0,1.0
2000-01-12,23.13,23.13,21.49,21.86,2434886.1,0.0,1.0
2000-01-13,21.91,22.5,21.6,22.23,1342497.6,0.0,1.0
2000-01-14,22.76,22.76,21.96,22.23,1252206.8,0.0,1.0
2000-01-18,22.17,22.76,21.86,22.6,1576470.7,0.0,1.0
2000-01-19,22.44,22.66,21.91,22.07,1054895.8,0.0,1.0
2000-01-20,21.96,22.02,21.28,21.28,1825749.3,0.0,1.0
2000-01-21,21.86,21.86,21.07,21.18,1924464.1,0.0,1.0
2000-01-24,21.18,21.39,20.91,20.97,948231.6,0.0,1.0
2000-01-25,18.54,19.17,17.91,18.54,5851581.2,0.0,1.0
2000-01-26,18.49,18.54,18.02,18.28,2064231.0,0.0,1.0
2000-01-27,18.44,18.49,16.97,17.6,3673804.4,0.0,1.0
2000-01-28,17.65,17.65,16.97,16.97,1286140.0,0.0,1.0
2000-01-31,16.91,17.65,16.86,17.33,1129762.5,0.0,1.0
2000-02-01,17.6,17.75,17.28,17.6,1475976.2,0.0,1.0
2000-02-02,17.6,17.86,17.18,17.18,1819223.7,0.0,1.0
2000-02-03,17.49,17.65,17.18,17.33,1631997.8,0.0,1.0
2000-02-04,17.28,17.6,17.23,17.28,652917.8,0.0,1.0
2000-02-07,17.28,17.44,17.07,17.12,681274.5,0.0,1.0
2000-02-08,17.44,17.86,17.18,17.18,1155271.7,0.0,1.0
2000-02-09,17.23,17.33,17.07,17.18,1090252.8,0.0,1.0
2000-02-10,17.28,17.28,15.96,16.12,2993241.7,0.0,1.0
2000-02-11,16.38,16.38,15.85,15.91,4738310.7,0.0,1.0
2000-02-14,15.75,16.17,15.7,15.96,738225.4,0.0,1.0
2000-02-15,15.91,15.96,15.43,15.7,1419855.9,0.0,1.0
2000-02-16,16.06,17.02,16.01,16.86,1385329.4,0.0,1.0
2000-02-17,16.86,17.28,16.54,16.86,1638523.4,0.0,1.0
2000-02-18,17.07,17.23,16.65,16.81,1169628.1,0.0,1.0
2000-02-22,16.6,16.76,16.12,16.65,904094.7,0.0,1.0
2000-02-23,16.54,16.65,16.12,16.12,996995.8,0.0,1.0
2000-02-24,16.12,16.54,15.7,16.44,1239511.5,0.0,1.0
2000-02-25,16.38,16.44,16.06,16.28,1004114.7,0.0,1.0
2000-02-28,16.06,16.49,15.85,16.33,1042047.5,0.06,1.0
2000-02-29,16.49,16.65,16.22,16.38,1433791.2,0.0,1.0
2000-03-01,16.38,16.65,16.11,16.49,825476.7,0.0,1.0
2000-03-02,16.17,16.38,15.8,16.01,917262.1,0.0,1.0
2000-03-03,16.06,16.65,15.85,16.27,1357382.2,0.0,1.0
2000-03-06,16.6,16.65,16.27,16.38,605120.9,0.0,1.0
2000-03-07,16.17,16.33,15.64,15.69,939025.6,0.0,1.0
2000-03-08,15.64,15.9,15.54,15.64,732508.6,0.0,1.0
2000-03-09,15.64,16.33,15.43,16.11,1188596.6,0.0,1.0
2000-03-10,16.33,16.49,15.64,15.75,931219.1,0.0,1.0
2000-03-13,15.54,15.96,15.43,15.96,1050682.0,0.0,1.0
2000-03-14,15.96,15.96,15.43,15.43,1214263.3,0.0,1.0
2000-03-15,15.43,16.38,15.38,16.17,1801760.5,0.0,1.0
2000-03-16,16.38,16.81,16.17,16.7,2046718.6,0.0,1.0
2000-03-17,16.7,16.7,16.06,16.17,1533146.4,0.0,1.0
