date,open,high,low,close,volume,dividend,ratio
2000-01-03,6.56,6.56,6.41,6.41,2288111.9,0.0,1.0
2000-01-04,6.41,6.45,6.19,6.23,1899901.9,0.0,1.0
2000-01-05,6.23,6.23,6.04,6.11,2156572.5,0.0,1.0
2000-01-06,6.11,6.19,6.11,6.11,3613624.9,0.0,1.0
2000-01-07,6.23,6.3,6.23,6.26,4695283.9,0.0,1.0
2000-01-10,6.26,6.3,6.23,6.26,1626030.0,0.0,1.0
2000-01-11,6.26,6.37,6.26,6.34,2793358.3,0.0,1.0
2000-01-12,6.34,6.37,6.3,6.3,2899601.7,0.0,1.0
2000-01-13,6.34,6.49,6.34,6.41,1598373.0,0.0,1.0
2000-01-14,6.41,6.45,6.34,6.34,1246926.6,0.0,1.0
2000-01-18,6.3,6.3,6.19,6.19,1353844.5,0.0,1.0
2000-01-19,6.19,6.49,6.19,6.3,1932618.1,0.0,1.0
2000-01-20,6.3,6.3,6.23,6.23,1741717.3,0.0,1.0
2000-01-21,6.23,6.34,6.23,6.26,3307711.3,0.0,1.0
2000-01-24,6.26,6.3,6.19,6.19,2801115.8,0.0,1.0
2000-01-25,6.19,6.23,6.0,6.04,4348559.4,0.0,1.0
2000-01-26,6.0,6.0,5.75,5.75,3498612.2,0.0,1.0
2000-01-27,5.75,5.86,5.67,5.82,3163355.2,0.0,1.0
2000-01-28,5.78,5.78,5.67,5.67,2681381.2,0.0,1.0
2000-01-31,5.67,5.67,5.6,5.6,3040247.8,0.0,1.0
2000-02-01,5.6,5.82,5.6,5.78,2537362.3,0.0,1.0
2000-02-02,5.78,5.82,5.75,5.78,1610852.4,0.0,1.0
2000-02-03,5.78,5.93,5.75,5.82,2226389.6,0.0,1.0
2000-02-04,5.82,5.82,5.78,5.78,3554938.0,0.0,1.0
2000-02-07,5.78,5.86,5.78,5.82,1283015.6,0.0,1.0
2000-02-08,5.82,5.97,5.82,5.89,2018624.7,0.0,1.0
2000-02-09,5.89,5.89,5.82,5.82,3206527.1,0.0,1.0
2000-02-10,5.82,5.86,5.6,5.71,3274657.8,0.0,1.0
2000-02-11,5.67,5.67,5.49,5.6,7447494.0,0.0,1.0
2000-02-14,5.6,5.86,5.6,5.86,3874342.8,0.0,1.0
2000-02-15,5.97,6.34,5.97,6.04,4684828.2,0.0,1.0
2000-02-16,6.1,6.1,5.95,6.02,4947610.3,0.18,1.0
2000-02-17,6.02,6.17,5.98,6.13,7797399.1,0.0,1.0
2000-02-18,6.13,6.28,6.06,6.1,3759836.2,0.0,1.0
2000-02-22,6.1,6.21,5.98,6.17,1941746.5,0.0,1.0
2000-02-23,6.17,6.28,6.1,6.13,8991188.8,0.0,1.0
2000-02-24,6.13,6.13,6.06,6.1,2069079.7,0.0,1.0
2000-02-25,6.1,6.17,5.98,6.02,3076715.8,0.0,1.0
