date,open,high,low,close,volume,dividend,ratio
2000-01-03,37.36,37.75,35.65,37.1,83621906.1,0.0,1.0
2000-01-04,36.14,37.28,35.73,35.84,85021040.2,0.0,1.0
2000-01-05,35.37,37.04,34.81,36.22,100637739.6,0.0,1.0
2000-01-06,35.71,36.24,34.49,35.01,86368331.2,0.0,1.0
2000-01-07,34.57,35.73,34.15,35.47,97423470.1,0.0,1.0
2000-01-10,36.1,36.18,35.45,35.73,70637891.4,0.0,1.0
2000-01-11,35.49,36.36,34.59,34.81,73434274.4,0.0,1.0
2000-01-12,34.53,34.65,33.24,33.68,104522512.5,0.0,1.0
2000-01-13,33.22,34.57,32.3,34.31,130619364.1,0.0,1.0
2000-01-14,34.12,36.26,33.66,35.73,115337288.1,0.0,1.0
2000-01-18,35.59,37.08,35.57,36.7,128010872.9,0.0,1.0
2000-01-19,35.17,35.49,33.74,34.05,153279806.6,0.0,1.0
2000-01-20,34.07,34.91,33.7,33.74,88525630.8,0.0,1.0
2000-01-21,34.05,34.13,32.86,33.02,107481965.5,0.0,1.0
2000-01-24,33.04,33.64,32.08,32.22,99911936.8,0.0,1.0
2000-01-25,32.15,33.06,31.69,32.72,93982348.0,0.0,1.0
2000-01-26,32.6,32.94,31.55,31.63,77552498.2,0.0,1.0
2000-01-27,31.79,32.21,30.95,31.43,100001798.1,0.0,1.0
2000-01-28,31.23,31.91,30.95,31.27,91472201.5,0.0,1.0
2000-01-31,31.07,31.25,30.19,31.15,114988211.5,0.0,1.0
2000-02-01,31.35,32.86,31.09,32.76,110278976.9,0.0,1.0
2000-02-02,32.6,33.08,31.99,32.08,78417491.7,0.0,1.0
2000-02-03,32.48,33.16,31.87,32.98,77271288.9,0.0,1.0
2000-02-04,33.22,34.37,33.14,33.91,86979136.7,0.0,1.0
2000-02-07,33.99,34.01,33.18,33.93,62849179.2,0.0,1.0
2000-02-08,33.88,35.01,33.88,34.99,88335853.8,0.0,1.0
2000-02-09,34.83,34.83,33.06,33.1,86546482.8,0.0,1.0
2000-02-10,33.06,33.91,32.62,33.74,85663265.7,0.0,1.0
2000-02-11,33.38,33.38,31.55,31.81,181543383.7,0.0,1.0
2000-02-14,32.22,32.38,31.53,31.71,127296067.2,0.0,1.0
2000-02-15,31.75,31.83,31.23,31.37,111584479.3,0.0,1.0
2000-02-16,31.59,31.89,30.91,31.07,102433394.5,0.0,1.0
2000-02-17,31.35,31.73,30.92,31.71,126219616.8,0.0,1.0
2000-02-18,31.83,31.85,30.19,30.25,124208106.2,0.0,1.0
2000-02-22,30.27,30.91,29.54,29.86,104151441.9,0.0,1.0
2000-02-23,29.76,30.47,29.3,30.0,119156079.0,0.0,1.0
2000-02-24,30.0,30.51,29.28,30.16,109550974.7,0.0,1.0
2000-02-25,30.14,30.14,28.8,29.06,102588609.4,0.0,1.0
2000-02-28,28.72,29.32,28.05,29.14,119603186.1,0.0,1.0
2000-02-29,29.2,29.2,28.28,28.44,91805253.9,0.0,1.0
2000-03-01,28.52,29.95,28.31,28.9,167924055.9,0.0,1.0
2000-03-02,29.22,30.35,29.0,29.72,167991294.8,0.0,1.0
2000-03-03,30.16,31.47,29.88,30.59,159354870.1,0.0,1.0
2000-03-06,30.55,30.99,28.68,28.84,147060525.2,0.0,1.0
2000-03-07,30.59,31.03,29.26,29.56,212181058.6,0.0,1.0
2000-03-08,29.86,30.61,28.96,30.41,148129748.9,0.0,1.0
2000-03-09,30.33,31.83,30.24,31.83,138560463.4,0.0,1.0
2000-03-10,31.69,32.62,31.67,32.15,134460463.2,0.0,1.0
2000-03-13,31.07,31.91,31.03,31.19,97137862.0,0.0,1.0
2000-03-14,31.39,31.59,30.27,30.27,115451657.0,0.0,1.0
2000-03-15,30.1,30.75,29.82,30.35,83589857.7,0.0,1.0
2000-03-16,30.53,30.77,29.68,30.35,121439687.1,0.0,1.0
2000-03-17,30.32,31.67,30.08,31.63,127505010.4,0.0,1.0
2000-03-20,31.43,31.75,30.71,30.99,75051463.5,0.0,1.0
2000-03-21,30.79,32.82,30.71,32.7,128270402.4,0.0,1.0
2000-03-22,32.72,33.62,32.18,32.86,147636140.2,0.0,1.0
2000-03-23,33.99,35.92,33.93,35.6,232860153.8,0.0,1.0
2000-03-24,35.84,36.6,34.87,35.55,176261361.9,0.0,1.0
2000-03-27,34.3,34.45,33.08,33.12,175063001.8,0.0,1.0
2000-03-28,32.98,34.19,32.58,33.2,127430859.1,0.0,1.0
2000-03-29,33.48,34.67,33.46,34.12,101115638.3,0.0,1.0
2000-03-30,33.8,34.57,32.62,32.9,100824374.6,0.0,1.0
2000-03-31,33.74,34.45,33.14,33.82,100986187.7,0.0,1.0
2000-04-03,30.06,30.71,28.64,28.92,408646130.6,0.0,1.0
2000-04-04,29.14,29.28,27.03,28.19,284735257.8,0.0,1.0
2000-04-05,28.09,28.17,27.33,27.49,130216559.3,0.0,1.0
2000-04-06,27.97,28.01,27.14,27.37,104348131.3,0.0,1.0
2000-04-07,27.69,28.44,27.05,28.34,129786104.8,0.0,1.0
2000-04-10,28.2,28.2,27.37,27.39,95336865.7,0.0,1.0
2000-04-11,27.09,27.39,26.58,26.69,113052109.1,0.0,1.0
2000-04-12,26.14,26.18,25.06,25.26,240369227.6,0.0,1.0
2000-04-13,25.74,26.18,25.14,25.22,148170909.1,0.0,1.0
2000-04-14,25.18,25.3,23.31,23.59,237563418.6,0.0,1.0
2000-04-17,23.63,24.19,23.23,24.15,188162328.0,0.0,1.0
2000-04-18,24.35,26.08,24.15,25.64,144209471.3,0.0,1.0
2000-04-19,25.92,25.94,24.86,25.04,84386983.9,0.0,1.0
2000-04-20,25.02,25.42,24.67,25.12,82300693.7,0.0,1.0
2000-04-24,21.4,21.64,20.69,21.2,492738080.4,0.0,1.0
2000-04-25,21.88,22.12,21.52,22.08,250602104.2,0.0,1.0
2000-04-26,22.28,22.64,21.44,21.64,168240455.7,0.0,1.0
2000-04-27,21.46,22.26,21.44,22.22,122019386.7,0.0,1.0
2000-04-28,22.52,22.6,21.72,22.2,122667896.2,0.0,1.0
2000-05-01,23.19,23.55,22.82,23.37,169371262.7,0.0,1.0
2000-05-02,23.17,23.39,22.12,22.24,153512314.9,0.0,1.0
2000-05-03,22.4,22.54,21.9,22.46,86962484.1,0.0,1.0
2000-05-04,22.38,22.68,22.06,22.42,68051394.2,0.0,1.0
2000-05-05,22.36,22.85,22.24,22.64,57187917.5,0.0,1.0
2000-05-08,22.58,22.71,22.18,22.22,56850780.6,0.0,1.0
2000-05-09,22.34,22.42,21.48,21.58,95482968.8,0.0,1.0
2000-05-10,21.56,21.6,20.93,21.07,106419654.2,0.0,1.0
2000-05-11,21.2,21.68,20.93,21.6,91732045.2,0.0,1.0
2000-05-12,21.78,22.2,21.72,21.9,59518969.8,0.0,1.0
2000-05-15,21.96,22.1,21.64,22.08,53256328.7,0.0,1.0
2000-05-16,22.14,22.48,21.98,22.12,76053134.2,0.0,1.0
2000-05-17,21.92,22.0,21.4,21.54,83643271.7,0.0,1.0
2000-05-18,21.66,21.66,20.96,21.07,84269158.8,0.0,1.0
2000-05-19,20.81,20.99,20.53,20.71,104594150.2,0.0,1.0
2000-05-22,20.73,20.77,19.87,20.43,109899422.9,0.0,1.0
2000-05-23,20.33,20.87,20.07,20.11,91060284.9,0.0,1.0
2000-05-24,20.09,21.18,20.05,20.87,134292994.5,0.0,1.0
2000-05-25,20.55,20.61,19.46,19.57,148222123.8,0.0,1.0
2000-05-26,19.75,19.93,19.22,19.55,87696456.1,0.0,1.0
2000-05-30,19.87,20.41,19.73,20.17,107670799.9,0.0,1.0
2000-05-31,20.25,20.27,19.75,19.91,86355134.8,0.0,1.0
2000-06-01,20.49,21.01,20.31,20.55,148470970.5,0.0,1.0
2000-06-02,21.01,21.24,20.69,21.1,126407822.8,0.0,1.0
2000-06-05,21.01,21.76,21.01,21.28,101172508.5,0.0,1.0
2000-06-06,21.7,22.24,21.58,22.16,155559015.9,0.0,1.0
2000-06-07,22.04,22.52,21.36,22.44,119884081.2,0.0,1.0
2000-06-08,22.78,22.95,21.72,21.9,148876917.3,0.0,1.0
2000-06-09,22.16,22.18,21.74,21.9,56100784.4,0.0,1.0
2000-06-12,21.96,21.96,21.12,21.28,77388485.6,0.0,1.0
2000-06-13,21.24,21.64,21.04,21.6,69578407.8,0.0,1.0
2000-06-14,22.22,22.6,22.12,22.44,125668195.2,0.0,1.0
2000-06-15,22.54,23.13,22.48,23.03,103046085.1,0.0,1.0
2000-06-16,23.11,23.27,22.76,23.09,107944468.4,0.0,1.0
2000-06-19,23.09,23.49,22.92,23.45,73216219.3,0.0,1.0
2000-06-20,23.51,23.95,23.47,23.85,97834129.9,0.0,1.0
2000-06-21,24.51,26.16,24.49,25.68,251988041.9,0.0,1.0
2000-06-22,25.9,26.1,25.24,25.42,137172326.3,0.0,1.0
2000-06-23,25.44,25.48,24.51,24.73,78254107.5,0.0,1.0
2000-06-26,24.67,25.5,24.67,25.3,75858958.4,0.0,1.0
2000-06-27,25.22,25.5,24.94,25.08,48812907.6,0.0,1.0
2000-06-28,25.14,25.48,25.02,25.12,58848466.3,0.0,1.0
2000-06-29,24.9,25.12,24.53,24.57,60403443.8,0.0,1.0
2000-06-30,24.53,25.46,24.41,25.46,82251992.6,0.0,1.0
2000-07-03,25.36,25.48,25.26,25.46,24719397.3,0.0,1.0
2000-07-05,25.42,25.42,24.9,24.98,54709191.1,0.0,1.0
2000-07-06,25.1,26.0,24.98,25.76,75208877.9,0.0,1.0
2000-07-07,25.87,26.37,25.64,26.1,85074768.5,0.0,1.0
2000-07-10,25.68,25.88,25.26,25.28,82775764.6,0.0,1.0
2000-07-11,25.08,25.62,24.98,25.18,58385963.4,0.0,1.0
2000-07-12,24.9,25.78,24.57,25.56,91699682.6,0.0,1.0
2000-07-13,25.08,25.46,24.62,25.44,127004803.4,0.0,1.0
2000-07-14,25.3,25.38,24.96,25.12,80404808.9,0.0,1.0
2000-07-17,24.9,25.32,24.67,24.89,84822779.8,0.0,1.0
2000-07-18,24.7,25.3,24.65,24.98,110939740.2,0.0,1.0
2000-07-19,24.21,24.67,23.17,23.27,219821782.4,0.0,1.0
2000-07-20,23.37,23.95,23.27,23.81,85919024.8,0.0,1.0
2000-07-21,23.79,23.87,22.87,23.01,88134137.1,0.0,1.0
2000-07-24,22.93,22.95,22.28,22.46,88236252.3,0.0,1.0
2000-07-25,22.54,22.6,21.76,21.96,100840398.8,0.0,1.0
2000-07-26,21.98,22.12,21.4,21.58,134170770.5,0.0,1.0
2000-07-27,21.6,22.32,21.48,22.08,116784494.9,0.0,1.0
2000-07-28,22.58,22.85,22.16,22.18,118839365.1,0.0,1.0
2000-07-31,22.34,22.64,22.04,22.22,110415968.2,0.0,1.0
2000-08-01,22.26,22.3,21.7,21.86,74094095.1,0.0,1.0
2000-08-02,21.82,22.42,21.8,22.08,75830994.5,0.0,1.0
2000-08-03,21.7,22.4,21.68,22.36,85687773.3,0.0,1.0
2000-08-04,22.1,22.24,21.7,22.0,59866789.6,0.0,1.0
2000-08-07,22.34,22.64,22.2,22.28,82857456.7,0.0,1.0
2000-08-08,22.3,23.77,22.28,23.59,216859187.4,0.0,1.0
2000-08-09,23.47,23.83,23.27,23.63,100458645.4,0.0,1.0
2000-08-10,23.49,23.57,22.84,23.11,76957088.6,0.0,1.0
2000-08-11,23.06,23.13,22.79,23.06,55974161.6,0.0,1.0
2000-08-14,23.01,23.35,22.71,22.98,83933907.0,0.0,1.0
2000-08-15,22.92,23.23,22.76,22.79,63962076.8,0.0,1.0
2000-08-16,22.87,22.99,22.46,22.6,70657686.0,0.0,1.0
2000-08-17,22.64,22.92,22.46,22.78,56733269.7,0.0,1.0
2000-08-18,22.64,22.74,22.28,22.6,85523446.5,0.0,1.0
2000-08-21,22.5,22.54,22.3,22.48,53601949.1,0.0,1.0
2000-08-22,22.54,23.06,22.35,22.68,85506793.9,0.0,1.0
2000-08-23,22.54,22.64,22.4,22.52,57697864.7,0.0,1.0
