date,open,high,low,close,volume,dividend,ratio
2000-01-03,34.28,34.28,33.74,33.74,22545.7,0.0,1.0
2000-01-04,33.46,35.09,33.21,35.09,24833.0,0.0,1.0
2000-01-05,35.35,35.76,35.09,35.76,66143.5,0.0,1.0
2000-01-06,35.61,36.95,35.61,36.95,32675.0,0.0,1.0
2000-01-07,36.95,38.82,36.95,38.43,99332.0,0.0,1.0
2000-01-10,38.43,38.56,38.03,38.3,22265.7,0.0,1.0
2000-01-11,38.03,38.3,37.36,37.49,82621.1,0.0,1.0
2000-01-12,37.23,38.03,36.95,37.62,37156.1,0.0,1.0
2000-01-13,37.23,38.56,36.95,38.43,18111.3,0.0,1.0
2000-01-14,38.43,39.38,38.15,39.1,12603.2,0.0,1.0
2000-01-18,37.75,37.75,35.88,35.88,303690.7,0.0,1.0
2000-01-19,35.61,35.61,32.13,35.48,133874.1,0.0,1.0
2000-01-20,35.35,35.35,34.81,34.94,9709.1,0.0,1.0
2000-01-21,34.81,35.88,34.28,35.88,30294.4,0.0,1.0
2000-01-24,35.76,36.16,35.09,35.09,39910.2,0.0,1.0
2000-01-25,34.28,34.28,31.73,32.8,51299.7,0.0,1.0
2000-01-26,32.67,32.67,30.81,32.13,44251.3,0.0,1.0
2000-01-27,31.88,32.13,30.53,30.53,26933.5,0.0,1.0
2000-01-28,30.53,31.88,30.4,31.73,43317.7,0.0,1.0
2000-01-31,31.47,32.26,30.53,32.13,43224.4,0.0,1.0
2000-02-01,32.39,32.95,32.13,32.95,32208.2,0.0,1.0
2000-02-02,33.08,34.02,32.95,34.02,29314.1,0.0,1.0
2000-02-03,34.53,34.81,32.39,32.54,22545.7,0.0,1.0
2000-02-04,32.67,32.67,31.06,31.32,42150.7,0.0,1.0
2000-02-07,33.74,33.74,32.01,32.01,70951.4,0.0,1.0
2000-02-08,31.88,31.88,29.74,30.81,81454.1,0.0,1.0
2000-02-09,30.81,31.06,29.99,29.99,68524.1,0.0,1.0
2000-02-10,29.99,30.12,29.18,29.33,19931.7,0.0,1.0
2000-02-11,29.05,29.18,27.31,27.31,34728.9,0.0,1.0
2000-02-14,26.78,27.31,25.3,26.24,95597.7,0.0,1.0
2000-02-15,26.24,28.39,26.24,28.11,49852.7,0.0,1.0
2000-02-16,28.11,29.59,28.11,29.59,27120.2,0.0,1.0
2000-02-17,31.06,32.54,30.81,30.93,49526.0,0.0,1.0
2000-02-18,30.66,30.66,29.18,29.18,12509.9,0.0,1.0
2000-02-22,28.92,29.59,28.66,29.46,54894.0,0.0,1.0
2000-02-23,29.33,30.81,29.33,29.99,39490.1,0.0,1.0
2000-02-24,29.99,29.99,29.18,29.18,13303.4,0.0,1.0
2000-02-25,29.05,29.59,27.31,27.31,20118.5,0.0,1.0
2000-02-28,27.31,27.31,25.84,26.65,34122.0,0.0,1.0
2000-02-29,26.52,27.31,26.52,26.91,17877.9,0.0,1.0
2000-03-01,26.78,28.66,26.78,28.39,17271.1,0.0,1.0
2000-03-02,29.46,32.67,29.46,30.81,78373.3,0.0,1.0
2000-03-03,30.53,30.53,29.74,29.99,32861.7,0.0,1.0
2000-03-06,29.86,29.86,28.66,28.66,13070.0,0.0,1.0
2000-03-07,28.66,28.66,27.04,27.44,61989.1,0.0,1.0
2000-03-08,27.31,28.39,27.31,28.39,18438.0,0.0,1.0
2000-03-09,28.11,29.46,27.85,29.18,31648.1,0.0,1.0
2000-03-10,29.18,31.88,28.92,30.4,36642.7,0.0,1.0
2000-03-13,30.25,30.53,29.86,29.86,22919.2,0.0,1.0
2000-03-14,29.86,30.81,29.59,30.81,16804.3,0.0,1.0
2000-03-15,30.53,31.6,30.53,31.32,8728.9,0.0,1.0
2000-03-16,32.13,33.46,31.88,33.46,29360.8,0.0,1.0
2000-03-17,33.46,33.87,33.21,33.61,21378.8,0.0,1.0
2000-03-20,33.33,33.74,33.08,33.33,7888.7,0.0,1.0
2000-03-21,33.61,34.28,33.61,34.02,15310.6,0.0,1.0
2000-03-22,34.02,34.15,33.21,33.46,7468.6,0.0,1.0
2000-03-23,33.46,34.02,33.33,33.74,19605.0,0.0,1.0
2000-03-24,33.46,33.61,33.21,33.21,26373.4,0.0,1.0
2000-03-27,33.21,33.21,31.06,31.06,36269.2,0.0,1.0
2000-03-28,30.81,30.81,29.46,29.86,75339.2,0.0,1.0
2000-03-29,29.74,29.86,29.59,29.86,54240.5,0.0,1.0
2000-03-30,29.86,30.66,29.74,30.66,47705.5,0.0,1.0
