date,open,high,low,close,volume,dividend,ratio
2000-01-03,32.22,32.22,30.77,31.22,2830787.2,0.0,1.0
2000-01-04,31.22,31.25,29.85,30.19,1958367.2,0.0,1.0
2000-01-05,30.01,30.25,29.1,29.36,3026003.2,0.0,1.0
2000-01-06,29.32,29.85,29.0,29.48,2242345.9,0.0,1.0
2000-01-07,29.56,30.91,29.5,30.73,1535037.1,0.0,1.0
2000-01-10,31.25,32.41,30.83,32.1,1512070.5,0.0,1.0
2000-01-11,31.98,32.0,31.01,31.4,1763461.5,0.0,1.0
2000-01-12,31.42,31.72,31.15,31.3,996563.7,0.0,1.0
2000-01-13,31.3,31.68,31.09,31.25,1472034.2,0.0,1.0
2000-01-14,31.58,31.58,30.77,30.89,1482276.0,0.0,1.0
2000-01-18,30.93,30.93,30.15,30.15,2007403.9,0.0,1.0
2000-01-19,30.17,31.7,30.13,31.35,2437561.9,0.0,1.0
2000-01-20,32.18,32.51,30.17,30.19,2766542.8,0.0,1.0
2000-01-21,30.37,30.91,30.29,30.59,2215344.7,0.0,1.0
2000-01-24,30.67,30.67,29.56,29.64,1654835.8,0.0,1.0
2000-01-25,29.72,30.15,28.94,29.14,1834533.8,0.0,1.0
2000-01-26,29.32,31.05,29.18,30.23,1663836.2,0.0,1.0
2000-01-27,30.13,30.95,29.58,30.03,1547761.8,0.0,1.0
2000-01-28,29.48,31.17,29.06,30.49,3020106.3,0.0,1.0
2000-01-31,30.41,30.45,29.52,30.19,1693941.0,0.0,1.0
2000-02-01,30.19,31.33,30.13,31.05,1547761.8,0.0,1.0
2000-02-02,31.05,32.2,30.47,30.53,2862443.8,0.0,1.0
2000-02-03,30.49,30.69,30.07,30.29,2036267.4,0.0,1.0
2000-02-04,30.29,30.65,30.11,30.21,1580659.9,0.0,1.0
2000-02-07,30.09,30.13,29.54,29.6,1373029.5,0.0,1.0
2000-02-08,29.6,30.81,29.6,30.57,1942849.2,0.0,1.0
2000-02-09,30.57,31.48,30.39,31.19,2202309.6,0.0,1.0
2000-02-10,31.15,31.7,30.63,31.07,1429204.6,0.0,1.0
2000-02-11,31.54,31.56,30.49,30.83,1631558.8,0.0,1.0
2000-02-14,30.79,31.05,30.45,30.59,743620.9,0.0,1.0
2000-02-15,30.67,30.81,30.03,30.41,4551419.1,0.0,1.0
2000-02-16,30.49,30.61,28.37,28.76,2039681.3,0.0,1.0
2000-02-17,29.0,29.0,26.74,27.31,2854995.2,0.0,1.0
2000-02-18,27.43,28.96,27.43,28.72,4389721.9,0.0,1.0
2000-02-22,29.32,29.48,27.03,27.79,3678688.8,0.0,1.0
2000-02-23,28.19,31.25,28.11,30.45,4163780.3,0.0,1.0
2000-02-24,30.61,31.33,29.36,29.85,2584051.5,0.0,1.0
2000-02-25,30.17,30.25,28.58,28.62,2121926.5,0.0,1.0
2000-02-28,29.16,29.8,28.27,29.54,2315590.7,0.0,1.0
2000-02-29,29.5,30.49,29.36,30.35,1813119.0,0.0,1.0
2000-03-01,30.35,30.57,29.88,30.33,2577534.0,0.0,1.0
2000-03-02,30.21,30.25,29.52,29.8,2779267.5,0.0,1.0
2000-03-03,29.72,29.72,28.37,29.08,3886939.9,0.0,1.0
2000-03-06,29.0,29.0,26.1,26.79,10095367.3,0.0,1.0
2000-03-07,26.46,27.05,25.88,26.02,4242301.2,0.0,1.0
2000-03-08,26.06,26.2,24.38,25.79,5668088.7,0.18,1.0
2000-03-09,25.98,26.94,25.55,26.8,3754570.7,0.0,1.0
2000-03-10,26.96,27.17,26.5,27.02,3487006.4,0.0,1.0
2000-03-13,27.02,27.11,26.16,26.9,2636932.5,0.0,1.0
2000-03-14,26.82,27.25,26.4,26.98,3040136.9,0.0,1.0
2000-03-15,26.9,26.92,26.04,26.4,3668789.1,0.0,1.0
2000-03-16,26.72,27.69,26.66,27.57,3078847.0,0.0,1.0
2000-03-17,27.49,28.66,27.04,28.58,3385740.8,0.0,1.0
2000-03-20,28.86,30.03,28.4,29.12,2911309.7,0.0,1.0
2000-03-21,29.37,30.01,29.3,29.63,3493819.4,0.0,1.0
2000-03-22,29.79,31.32,29.79,30.66,3778416.1,0.0,1.0
2000-03-23,30.52,31.16,30.45,30.86,1379628.2,0.0,1.0
2000-03-24,30.86,32.21,30.86,31.83,2894586.9,0.0,1.0
2000-03-27,31.75,32.27,31.69,31.99,3206435.6,0.0,1.0
2000-03-28,32.03,32.49,31.75,32.13,3712763.8,0.0,1.0
2000-03-29,32.13,32.29,31.3,31.58,3294075.2,0.0,1.0
2000-03-30,31.61,31.81,30.56,30.56,1907014.7,0.0,1.0
2000-03-31,30.35,30.6,29.71,30.23,2614325.8,0.0,1.0
2000-04-03,30.23,31.08,30.19,30.7,1369718.4,0.0,1.0
2000-04-04,30.66,30.92,27.71,29.22,3885256.0,0.0,1.0
2000-04-05,29.27,31.69,29.06,30.8,2998020.3,0.0,1.0
2000-04-06,30.92,32.03,30.9,31.4,2556415.4,0.0,1.0
2000-04-07,31.48,31.91,30.88,31.38,1922808.4,0.0,1.0
2000-04-10,31.34,31.34,29.89,30.45,1748148.4,0.0,1.0
2000-04-11,30.45,30.45,29.67,30.11,1535397.7,0.0,1.0
2000-04-12,30.15,30.32,29.27,29.4,1481513.2,0.0,1.0
2000-04-13,29.37,29.59,28.5,28.54,2156617.5,0.0,1.0
2000-04-14,27.61,27.77,26.52,26.52,2883748.1,0.0,1.0
2000-04-17,26.54,27.61,26.38,27.45,3920249.9,0.0,1.0
2000-04-18,27.45,27.77,26.88,27.25,3372424.5,0.0,1.0
2000-04-19,27.57,27.65,26.64,26.92,2819024.8,0.0,1.0
2000-04-20,26.88,27.37,26.5,26.98,3175777.2,0.0,1.0
2000-04-24,27.17,27.77,26.62,27.55,2198114.7,0.0,1.0
2000-04-25,28.25,29.91,27.91,29.04,4406448.9,0.0,1.0
2000-04-26,29.02,30.76,28.94,29.77,3372424.5,0.0,1.0
2000-04-27,29.32,30.15,28.78,30.03,2321677.4,0.0,1.0
2000-04-28,29.87,30.19,28.88,29.4,1861801.3,0.0,1.0
2000-05-01,29.24,29.28,28.7,29.2,1505048.9,0.0,1.0
2000-05-02,28.98,29.37,28.8,29.18,1383344.4,0.0,1.0
2000-05-03,28.98,28.98,27.81,27.99,1074592.6,0.0,1.0
2000-05-04,27.99,28.7,27.77,27.97,1650598.9,0.0,1.0
2000-05-05,27.89,29.51,27.73,29.32,2180153.2,0.0,1.0
2000-05-08,29.12,29.12,28.24,28.58,1273407.7,0.0,1.0
2000-05-09,28.66,28.88,28.15,28.48,1430106.2,0.0,1.0
2000-05-10,28.46,28.68,27.85,28.01,1109586.5,0.0,1.0
2000-05-11,28.17,28.32,27.61,28.15,2125959.1,0.0,1.0
2000-05-12,28.09,28.54,27.85,28.4,1804510.3,0.0,1.0
2000-05-15,28.11,28.7,27.87,28.32,1582778.8,0.0,1.0
2000-05-16,28.5,29.39,28.32,29.04,2272438.1,0.0,1.0
2000-05-17,29.18,29.35,28.07,28.44,1334724.5,0.0,1.0
2000-05-18,28.4,28.5,27.57,27.71,2015712.7,0.0,1.0
2000-05-19,27.12,27.33,26.9,27.04,2447098.1,0.0,1.0
2000-05-22,26.96,27.22,26.7,27.11,2274605.9,0.0,1.0
2000-05-23,27.12,27.43,26.82,26.96,1492971.4,0.0,1.0
2000-05-24,26.96,27.63,26.78,27.19,1850652.8,0.0,1.0
2000-05-25,27.21,27.49,26.84,27.06,1539423.5,0.0,1.0
2000-05-26,27.06,27.06,26.48,26.52,2768856.5,0.0,1.0
2000-05-30,26.52,27.45,26.4,27.29,1671657.2,0.0,1.0
2000-05-31,26.88,27.43,26.88,27.43,1572249.7,0.0,1.0
2000-06-01,27.14,27.61,26.96,27.57,2129055.9,0.0,1.0
2000-06-02,28.46,28.98,28.46,28.66,1649979.6,0.0,1.0
2000-06-05,28.58,29.75,28.54,29.32,1745980.7,0.0,1.0
2000-06-06,29.3,29.99,29.18,29.53,1411525.3,0.0,1.0
2000-06-07,29.44,29.81,28.71,29.62,1400487.2,0.18,1.0
2000-06-08,29.54,29.56,28.27,28.57,1452723.4,0.0,1.0
2000-06-09,28.96,29.22,28.73,28.92,856797.7,0.0,1.0
2000-06-12,28.89,29.28,28.35,28.62,764998.0,0.0,1.0
2000-06-13,28.63,29.04,28.31,28.94,1134978.8,0.0,1.0
2000-06-14,28.88,29.04,28.55,28.81,986306.5,0.0,1.0
2000-06-15,28.88,29.73,28.81,29.4,1341760.1,0.0,1.0
2000-06-16,30.25,30.98,30.09,30.82,3248845.9,0.0,1.0
2000-06-19,30.49,30.94,30.25,30.62,1664450.1,0.0,1.0
2000-06-20,30.74,31.2,30.59,30.86,1724722.7,0.0,1.0
2000-06-21,30.98,31.4,30.72,31.32,2060394.5,0.0,1.0
2000-06-22,31.24,31.46,31.04,31.34,1345160.1,0.0,1.0
2000-06-23,31.38,31.54,31.02,31.12,1887922.2,0.0,1.0
2000-06-26,31.1,31.1,29.04,29.28,2896483.2,0.0,1.0
2000-06-27,29.28,29.28,28.67,28.86,2651992.9,0.0,1.0
2000-06-28,29.2,29.2,28.84,29.04,2157139.7,0.0,1.0
2000-06-29,28.96,29.04,28.35,28.79,1504959.6,0.0,1.0
2000-06-30,28.71,29.12,28.55,28.81,1973849.3,0.0,1.0
2000-07-03,28.94,29.28,28.84,29.26,628689.2,0.0,1.0
2000-07-05,29.24,29.24,28.89,29.0,1190305.9,0.0,1.0
2000-07-06,29.08,29.1,28.55,28.59,1309305.6,0.0,1.0
2000-07-07,28.27,28.47,26.98,27.5,3941207.7,0.0,1.0
2000-07-10,27.18,27.5,26.21,26.21,5987384.0,0.0,1.0
2000-07-11,26.35,28.21,26.35,28.05,4966150.4,0.0,1.0
2000-07-12,28.03,28.63,28.0,28.19,1422741.7,0.0,1.0
2000-07-13,27.9,27.9,26.9,27.0,2397920.9,0.0,1.0
2000-07-14,27.34,28.79,27.34,28.31,3993134.8,0.0,1.0
2000-07-17,28.29,28.59,27.76,27.83,1682686.4,0.0,1.0
2000-07-18,27.66,27.66,27.4,27.42,2288503.0,0.0,1.0
2000-07-19,27.48,27.97,27.44,27.5,2023612.8,0.0,1.0
2000-07-20,27.54,28.03,27.52,27.87,1255523.9,0.0,1.0
2000-07-21,27.82,27.84,27.42,27.52,1994558.3,0.0,1.0
2000-07-24,27.5,27.82,27.42,27.78,2578120.4,0.0,1.0
2000-07-25,29.44,29.44,28.05,28.88,5153459.0,0.0,1.0
2000-07-26,28.73,28.86,28.13,28.45,2095321.7,0.0,1.0
2000-07-27,28.65,28.76,27.82,28.09,1733686.3,0.0,1.0
2000-07-28,28.09,28.11,27.5,27.6,1678977.3,0.0,1.0
2000-07-31,27.68,28.03,27.46,27.5,2220194.1,0.0,1.0
2000-08-01,27.58,27.8,27.38,27.48,1838776.9,0.0,1.0
2000-08-02,27.54,27.54,27.26,27.42,1602632.1,0.0,1.0
2000-08-03,27.14,27.82,27.01,27.18,1954067.5,0.0,1.0
2000-08-04,27.26,27.78,27.1,27.4,2792628.9,0.0,1.0
2000-08-07,27.56,28.09,27.5,27.9,1371123.6,0.0,1.0
2000-08-08,28.07,28.39,28.03,28.39,2173212.4,0.0,1.0
2000-08-09,28.07,28.23,27.76,27.9,1780668.0,0.0,1.0
2000-08-10,27.89,28.03,27.52,27.8,1123851.5,0.0,1.0
2000-08-11,27.89,27.92,27.48,27.5,1554723.1,0.0,1.0
2000-08-14,27.5,27.6,27.36,27.46,1464468.8,0.0,1.0
2000-08-15,27.62,27.62,27.34,27.52,1755940.8,0.0,1.0
2000-08-16,27.6,27.84,27.52,27.52,1231724.0,0.0,1.0
2000-08-17,27.01,27.58,26.81,27.36,1599850.3,0.0,1.0
2000-08-18,27.36,27.5,26.61,27.18,1871849.6,0.0,1.0
2000-08-21,27.12,27.3,26.49,26.77,1579450.3,0.0,1.0
2000-08-22,26.81,26.81,25.56,25.96,6652236.8,0.0,1.0
2000-08-23,25.96,26.67,25.96,26.43,3170646.1,0.0,1.0
2000-08-24,26.47,26.49,25.94,26.01,2127776.1,0.0,1.0
2000-08-25,26.01,26.65,25.96,26.47,1578523.1,0.0,1.0
2000-08-28,26.55,26.77,26.19,26.23,1312087.4,0.0,1.0
2000-08-29,26.21,26.45,26.04,26.37,878743.1,0.0,1.0
2000-08-30,26.13,26.81,26.06,26.71,1474050.6,0.0,1.0
