date,open,high,low,close,volume,dividend,ratio
2000-01-03,11.06,11.06,10.03,10.75,248000.0,0.0,1.0
2000-01-04,10.5,10.5,9.78,9.97,295000.0,0.0,1.0
2000-01-05,10.0,10.32,9.88,10.03,778200.0,0.0,1.0
2000-01-06,10.12,10.12,9.4,9.47,819200.0,0.0,1.0
2000-01-07,9.62,9.75,8.1,8.32,2182600.0,0.0,1.0
2000-01-10,8.5,8.56,8.22,8.4,3289600.0,0.0,1.0
2000-01-11,8.5,8.53,8.22,8.28,1875000.0,0.0,1.0
2000-01-12,8.28,8.32,7.88,8.12,953600.0,0.0,1.0
2000-01-13,8.26,8.32,8.1,8.19,890600.0,0.0,1.0
2000-01-14,8.32,8.32,7.12,7.14,2553400.0,0.0,1.0
2000-01-18,7.5,7.5,6.78,7.06,4223400.0,0.0,1.0
2000-01-19,7.25,7.4,6.57,6.66,1381800.0,0.0,1.0
2000-01-20,6.88,6.94,6.6,6.66,1205000.0,0.0,1.0
2000-01-21,6.97,7.03,6.66,6.78,1189600.0,0.0,1.0
2000-01-24,6.92,7.19,6.75,6.75,930600.0,0.0,1.0
2000-01-25,7.0,7.03,6.62,6.88,956800.0,0.0,1.0
2000-01-26,6.9,6.94,6.19,6.32,1509800.0,0.0,1.0
2000-01-27,6.62,6.75,6.38,6.66,1312800.0,0.0,1.0
2000-01-28,6.69,6.69,6.5,6.5,1743200.0,0.0,1.0
2000-01-31,6.6,6.72,6.5,6.56,1718000.0,0.0,1.0
2000-02-01,6.53,6.88,6.5,6.69,998800.0,0.0,1.0
2000-02-02,6.75,6.78,6.32,6.38,1186600.0,0.0,1.0
2000-02-03,6.5,6.88,6.32,6.78,2125600.0,0.0,1.0
2000-02-04,6.78,6.78,6.56,6.62,1116800.0,0.0,1.0
2000-02-07,6.66,6.75,6.44,6.5,1265200.0,0.0,1.0
2000-02-08,6.53,6.62,6.25,6.62,1574400.0,0.0,1.0
2000-02-09,6.56,6.56,6.03,6.03,1259200.0,0.0,1.0
2000-02-10,6.06,6.56,6.0,6.53,1007200.0,0.0,1.0
2000-02-11,6.53,6.6,5.94,6.1,1045600.0,0.0,1.0
2000-02-14,6.1,6.38,6.06,6.34,795200.0,0.0,1.0
2000-02-15,6.38,6.38,6.06,6.1,496600.0,0.0,1.0
2000-02-16,6.12,6.16,5.62,5.75,671400.0,0.0,1.0
2000-02-17,5.84,5.88,5.25,5.38,1684200.0,0.0,1.0
2000-02-18,5.47,5.82,5.38,5.38,1237000.0,0.0,1.0
2000-02-22,5.47,5.94,5.38,5.62,1693800.0,0.0,1.0
2000-02-23,5.62,5.88,5.5,5.76,543000.0,0.0,1.0
2000-02-24,5.82,6.82,5.78,6.53,699400.0,0.0,1.0
2000-02-25,6.52,6.53,6.32,6.44,702000.0,0.0,1.0
2000-02-28,6.5,6.66,6.34,6.54,601200.0,0.0,1.0
2000-02-29,6.72,7.25,6.6,7.0,495200.0,0.0,1.0
2000-03-01,6.97,6.97,6.0,6.03,1274600.0,0.0,1.0
2000-03-02,6.03,6.03,5.53,5.53,975800.0,0.0,1.0
2000-03-03,5.84,6.06,5.56,6.06,703800.0,0.0,1.0
2000-03-06,6.03,6.16,5.47,5.47,662000.0,0.0,1.0
2000-03-07,5.69,5.69,4.75,4.81,2053200.0,0.0,1.0
2000-03-08,5.0,5.0,4.12,4.62,4427400.0,0.0,1.0
2000-03-09,4.88,5.5,4.78,5.47,1316800.0,0.0,1.0
2000-03-10,5.47,5.69,5.0,5.0,910600.0,0.0,1.0
2000-03-13,5.12,5.44,5.0,5.28,491800.0,0.0,1.0
2000-03-14,5.4,6.12,5.38,5.66,759800.0,0.0,1.0
2000-03-15,5.69,6.25,5.66,6.19,981200.0,0.0,1.0
2000-03-16,6.38,7.56,6.32,7.44,1981200.0,0.0,1.0
2000-03-17,6.97,7.25,6.94,7.19,635600.0,0.0,1.0
2000-03-20,7.32,7.47,7.12,7.28,1264400.0,0.0,1.0
2000-03-21,7.42,7.62,7.34,7.53,707200.0,0.0,1.0
2000-03-22,7.56,7.56,7.32,7.44,826600.0,0.0,1.0
2000-03-23,7.28,7.5,7.25,7.38,349800.0,0.0,1.0
2000-03-24,7.47,8.44,7.38,8.12,1148000.0,0.0,1.0
2000-03-27,8.17,8.32,7.88,8.19,563200.0,0.0,1.0
2000-03-28,8.19,8.22,7.44,7.69,534400.0,0.0,1.0
