date,open,high,low,close,volume,dividend,ratio
2000-01-03,30.62,30.65,30.42,30.45,7524569.2,0.0,1.0
2000-01-04,30.22,30.79,29.49,29.86,7517176.7,0.0,1.0
2000-01-05,29.8,29.94,29.26,29.6,8973862.9,0.0,1.0
2000-01-06,29.86,31.08,29.86,30.65,11483460.7,0.0,1.0
2000-01-07,31.13,33.24,31.02,33.09,17305629.2,0.0,1.0
2000-01-10,32.9,33.32,32.5,32.92,12078033.7,0.0,1.0
2000-01-11,32.78,33.46,32.5,33.46,7782956.8,0.0,1.0
2000-01-12,33.12,33.63,32.98,33.24,10968445.8,0.0,1.0
2000-01-13,33.21,33.24,32.55,32.67,9302655.8,0.0,1.0
2000-01-14,32.81,33.24,32.78,33.24,8632397.0,0.0,1.0
2000-01-18,33.21,33.52,32.98,33.21,7844561.4,0.0,1.0
2000-01-19,32.47,33.04,32.36,32.87,9747693.5,0.32,1.0
2000-01-20,32.47,32.56,30.65,32.07,17959529.3,0.0,1.0
2000-01-21,32.07,32.07,28.34,29.25,42791275.5,0.0,1.0
2000-01-24,27.35,31.02,27.01,27.35,50120914.7,0.0,1.0
2000-01-25,29.51,29.54,27.63,27.77,30011184.7,0.0,1.0
2000-01-26,28.2,28.71,28.15,28.66,17979539.3,0.0,1.0
2000-01-27,29.06,29.74,28.83,29.65,15778084.9,0.0,1.0
2000-01-28,29.54,29.54,28.31,28.57,16821414.9,0.0,1.0
2000-01-31,28.57,28.8,28.02,28.8,7930642.2,0.0,1.0
2000-02-01,28.69,28.74,28.13,28.34,7098646.2,0.0,1.0
2000-02-02,28.41,28.47,28.02,28.1,6882046.4,0.0,1.0
2000-02-03,28.43,28.43,27.54,27.86,10987262.2,0.0,1.0
2000-02-04,27.81,27.83,26.78,26.99,13423922.3,0.0,1.0
2000-02-07,26.78,27.01,26.37,26.56,11346740.7,0.0,1.0
2000-02-08,26.78,27.31,26.44,27.28,11914393.6,0.0,1.0
2000-02-09,27.13,27.31,26.71,26.78,10980592.2,0.0,1.0
2000-02-10,26.71,26.97,25.65,26.05,9246389.5,0.0,1.0
2000-02-11,26.01,26.76,26.01,26.71,9364343.4,0.0,1.0
2000-02-14,26.69,26.72,25.92,26.17,9219007.4,0.0,1.0
2000-02-15,26.35,27.29,26.24,27.28,12048144.9,0.0,1.0
2000-02-16,27.29,27.42,26.49,26.79,9328536.0,0.0,1.0
2000-02-17,26.78,27.06,26.49,26.83,8218856.9,0.0,1.0
2000-02-18,26.72,26.9,26.21,26.67,8164794.7,0.0,1.0
2000-02-22,26.3,26.62,25.65,26.46,9174423.6,0.0,1.0
2000-02-23,26.46,26.46,25.67,25.82,9402959.2,0.0,1.0
2000-02-24,25.75,25.89,24.66,25.21,12678636.4,0.0,1.0
2000-02-25,25.28,25.35,24.25,24.25,12597894.2,0.0,1.0
2000-02-28,24.44,25.64,24.21,25.18,12430090.8,0.0,1.0
2000-02-29,25.49,25.6,24.85,25.03,11693230.1,0.0,1.0
2000-03-01,25.07,25.26,24.75,25.14,7290672.3,0.0,1.0
2000-03-02,25.07,25.19,24.69,24.87,6258927.0,0.0,1.0
2000-03-03,25.01,25.58,24.78,25.19,8604664.3,0.0,1.0
2000-03-06,25.18,25.19,24.68,24.91,6439368.4,0.0,1.0
2000-03-07,16.52,20.62,16.31,17.38,240975536.1,0.0,1.0
2000-03-08,17.38,17.57,16.27,16.52,130915100.4,0.0,1.0
2000-03-09,16.66,16.95,16.09,16.45,60060283.2,0.0,1.0
2000-03-10,16.27,16.45,15.03,15.31,85238518.9,0.0,1.0
2000-03-13,15.31,16.31,15.17,16.31,63183954.3,0.0,1.0
2000-03-14,16.36,16.52,15.7,15.88,36407724.6,0.0,1.0
2000-03-15,16.08,16.66,15.56,16.66,43420713.8,0.0,1.0
2000-03-16,17.0,17.23,16.74,17.06,48103412.1,0.0,1.0
2000-03-17,17.06,17.06,16.24,16.42,38971114.9,0.0,1.0
2000-03-20,16.63,16.82,16.36,16.56,20810432.1,0.0,1.0
2000-03-21,16.29,16.38,15.99,16.24,26211385.2,0.0,1.0
2000-03-22,16.31,16.43,15.78,16.24,27189419.3,0.0,1.0
2000-03-23,15.93,16.2,15.83,16.01,23909880.6,0.0,1.0
2000-03-24,16.08,16.09,15.7,16.08,25120663.0,0.0,1.0
2000-03-27,16.02,16.24,15.7,15.74,20904163.3,0.0,1.0
2000-03-28,15.72,16.27,15.72,16.24,21164293.7,0.0,1.0
2000-03-29,16.29,16.74,16.27,16.72,27613140.5,0.0,1.0
2000-03-30,16.79,17.13,16.52,16.52,28098296.0,0.0,1.0
2000-03-31,16.95,16.95,16.02,16.17,21122167.3,0.0,1.0
2000-04-03,16.17,17.09,16.17,16.95,17677984.6,0.0,1.0
2000-04-04,17.34,18.23,17.09,18.07,48294385.1,0.0,1.0
2000-04-05,17.86,18.13,17.54,17.54,23906721.1,0.0,1.0
2000-04-06,17.66,17.93,17.38,17.87,13738465.9,0.0,1.0
2000-04-07,18.05,18.16,17.8,18.07,13681946.4,0.0,1.0
2000-04-10,18.21,18.8,18.16,18.8,20619108.1,0.0,1.0
2000-04-11,18.7,19.03,18.16,18.93,17899499.2,0.0,1.0
2000-04-12,19.35,20.72,19.26,19.74,36238868.0,0.0,1.0
2000-04-13,19.8,19.91,19.14,19.8,19928235.5,0.0,1.0
2000-04-14,19.37,19.44,17.66,17.95,30509680.2,0.0,1.0
2000-04-17,17.91,19.69,17.87,19.66,26423772.4,0.0,1.0
2000-04-18,19.62,19.62,18.71,18.91,25132320.2,0.32,1.0
2000-04-19,18.98,19.39,18.77,18.91,13840279.1,0.0,1.0
2000-04-20,18.93,19.75,18.93,19.73,14217588.8,0.0,1.0
2000-04-24,19.73,20.32,19.61,20.18,15237722.4,0.0,1.0
2000-04-25,20.18,20.18,18.16,18.39,36086180.0,0.0,1.0
2000-04-26,18.1,18.14,17.14,17.39,42980816.2,0.0,1.0
2000-04-27,17.17,17.82,16.96,17.43,26539196.3,0.0,1.0
2000-04-28,17.44,17.44,16.93,17.1,18563987.0,0.0,1.0
2000-05-01,17.12,17.3,16.82,17.09,13149243.3,0.0,1.0
2000-05-02,17.01,17.19,16.89,17.12,9943158.9,0.0,1.0
2000-05-03,17.35,17.64,17.26,17.35,12680750.4,0.0,1.0
2000-05-04,17.33,17.66,17.17,17.3,11530305.2,0.0,1.0
2000-05-05,17.25,17.43,17.12,17.43,7691178.9,0.0,1.0
2000-05-08,17.21,17.57,17.19,17.51,9762190.0,0.0,1.0
2000-05-09,17.53,18.05,17.53,17.96,14765386.6,0.0,1.0
2000-05-10,18.12,18.55,18.02,18.37,14337768.9,0.0,1.0
2000-05-11,18.43,18.66,18.1,18.61,11645594.3,0.0,1.0
2000-05-12,18.61,18.77,18.21,18.36,7434049.3,0.0,1.0
2000-05-15,18.28,18.68,18.12,18.57,8119145.9,0.0,1.0
2000-05-16,18.57,18.69,18.28,18.46,11020238.4,0.0,1.0
2000-05-17,18.46,18.61,18.25,18.61,10558383.3,0.0,1.0
2000-05-18,18.53,18.69,18.46,18.53,9024689.2,0.0,1.0
2000-05-19,18.39,18.66,18.34,18.62,10417590.9,0.0,1.0
