date,open,high,low,close,volume,dividend,ratio
2000-01-03,5.41,5.64,5.41,5.44,64141.8,0.0,1.0
2000-01-04,5.39,5.59,5.39,5.41,188416.6,0.0,1.0
2000-01-05,5.56,5.56,5.44,5.44,245543.0,0.0,1.0
2000-01-06,5.55,5.69,5.49,5.53,70155.1,0.0,1.0
2000-01-07,5.6,5.66,5.49,5.59,119263.7,0.0,1.0
2000-01-10,5.59,5.73,5.59,5.71,156345.7,0.0,1.0
2000-01-11,5.75,6.1,5.75,5.96,352780.1,0.0,1.0
2000-01-12,6.0,6.09,5.96,6.04,87192.8,0.0,1.0
2000-01-13,6.04,6.11,5.97,6.07,247547.4,0.0,1.0
2000-01-14,5.99,6.01,5.89,5.89,381844.4,0.0,1.0
2000-01-18,5.83,5.97,5.76,5.86,304673.7,0.0,1.0
2000-01-19,5.85,6.04,5.84,6.04,661462.7,0.0,1.0
2000-01-20,6.19,6.35,6.14,6.24,255565.1,0.0,1.0
2000-01-21,6.28,6.31,6.2,6.27,1366020.7,0.0,1.0
2000-01-24,6.34,6.34,6.21,6.27,475050.5,0.0,1.0
2000-01-25,6.29,6.36,6.23,6.29,725604.5,0.0,1.0
2000-01-26,6.29,6.42,6.29,6.39,1009231.7,0.0,1.0
2000-01-27,6.37,6.49,6.37,6.49,1540406.3,0.0,1.0
2000-01-28,6.39,6.64,6.39,6.56,424939.7,0.0,1.0
2000-01-31,6.56,6.8,6.56,6.8,890970.2,0.0,1.0
2000-02-01,6.81,6.89,6.59,6.6,856894.9,0.0,1.0
2000-02-02,6.61,6.61,6.44,6.47,1789958.2,0.0,1.0
2000-02-03,6.42,6.46,6.36,6.39,948096.5,0.0,1.0
2000-02-04,6.35,6.35,6.04,6.11,400886.5,0.0,1.0
2000-02-07,6.16,6.34,6.12,6.34,1243750.3,0.0,1.0
2000-02-08,6.31,6.49,6.24,6.49,997205.1,0.0,1.0
2000-02-09,6.5,6.69,6.36,6.41,2886382.7,0.0,1.0
2000-02-10,6.37,6.42,6.37,6.42,1618579.2,0.0,1.0
2000-02-11,6.36,6.45,6.14,6.14,216478.7,0.0,1.0
2000-02-14,6.35,6.35,6.12,6.19,266589.5,0.0,1.0
2000-02-15,6.06,6.19,6.04,6.04,360797.8,0.0,1.0
2000-02-16,5.99,6.09,5.98,6.09,98217.2,0.0,1.0
2000-02-17,6.02,6.26,6.02,6.26,2967562.2,0.0,1.0
2000-02-18,6.15,6.31,6.15,6.22,238527.5,0.0,1.0
2000-02-22,6.32,6.51,6.32,6.51,1435173.6,0.0,1.0
2000-02-23,6.36,6.51,6.35,6.44,182403.4,0.0,1.0
2000-02-24,6.48,6.59,6.44,6.57,392868.8,0.0,1.0
2000-02-25,6.29,6.54,6.29,6.47,2485496.2,0.0,1.0
2000-02-28,6.98,6.98,6.44,6.49,118011.0,0.0,2.0
2000-02-29,6.66,6.78,6.44,6.78,256567.4,0.0,1.0
2000-03-01,6.83,7.88,6.83,7.58,1273816.8,0.0,1.0
2000-03-02,7.38,8.76,7.38,8.01,255565.1,0.0,1.0
2000-03-03,8.74,8.93,8.43,8.83,123773.7,0.0,1.0
2000-03-06,8.63,9.18,8.58,9.06,201445.5,0.0,1.0
2000-03-07,8.08,8.48,8.01,8.13,461019.5,0.0,1.0
2000-03-08,8.28,8.28,7.78,7.93,440975.1,0.0,1.0
2000-03-09,8.08,8.61,7.98,8.51,416420.8,0.0,1.0
2000-03-10,8.31,9.38,8.31,9.28,413915.3,0.0,1.0
2000-03-13,8.93,9.27,8.93,9.14,482567.1,0.0,1.0
2000-03-14,9.16,9.33,9.16,9.22,965635.3,0.0,1.0
2000-03-15,8.98,9.38,8.98,9.13,377334.4,0.0,1.0
2000-03-16,9.16,9.18,8.91,8.91,121268.2,0.0,1.0
2000-03-17,9.16,9.36,8.78,8.93,395374.3,0.0,1.0
2000-03-20,9.23,9.23,8.86,9.03,186913.3,0.0,1.0
2000-03-21,8.91,8.91,8.48,8.61,262580.7,0.0,1.0
2000-03-22,8.64,8.73,8.38,8.38,262079.5,0.0,1.0
2000-03-23,8.71,8.71,8.36,8.38,715081.3,0.0,1.0
2000-03-24,8.33,8.54,8.33,8.33,186913.3,0.0,1.0
2000-03-27,8.53,8.53,8.19,8.43,499604.8,0.0,1.0
2000-03-28,8.56,8.56,8.11,8.13,83685.1,0.0,1.0
2000-03-29,8.41,8.41,8.11,8.33,280119.4,0.0,1.0
2000-03-30,8.18,8.81,8.18,8.81,397378.7,0.0,1.0
2000-03-31,8.89,9.18,8.46,9.16,493090.4,0.0,1.0
2000-04-03,9.13,9.26,8.93,9.01,665972.7,0.0,1.0
2000-04-04,8.98,8.98,8.61,8.83,384851.0,0.0,1.0
2000-04-05,8.74,8.74,8.48,8.73,186913.3,0.0,1.0
2000-04-06,8.58,8.68,8.26,8.36,405897.6,0.0,1.0
