date,open,high,low,close,volume,dividend,ratio
2000-01-03,2.48,2.57,2.42,2.56,29125991.5,0.0,1.0
2000-01-04,2.5,2.59,2.47,2.48,25920113.1,0.0,1.0
2000-01-05,2.49,2.56,2.46,2.49,33903077.2,0.0,1.0
2000-01-06,2.5,2.67,2.5,2.61,37051261.3,0.0,1.0
2000-01-07,2.57,2.6,2.52,2.59,31304911.8,0.0,1.0
2000-01-10,2.69,2.78,2.68,2.7,34894457.1,0.0,1.0
2000-01-11,2.7,2.71,2.62,2.63,23586379.8,0.0,1.0
2000-01-12,2.64,2.68,2.57,2.63,21329572.2,0.0,1.0
2000-01-13,2.64,2.83,2.64,2.82,25909535.8,0.0,1.0
2000-01-14,2.83,2.87,2.74,2.75,26679754.4,0.0,1.0
2000-01-18,2.72,2.77,2.63,2.71,12636968.6,0.0,1.0
2000-01-19,2.71,2.77,2.65,2.65,18991992.7,0.0,1.0
2000-01-20,2.66,2.68,2.55,2.61,21836320.3,0.0,1.0
2000-01-21,2.63,2.64,2.57,2.6,13433149.6,0.0,1.0
2000-01-24,2.6,2.66,2.55,2.55,37429158.7,0.0,1.0
2000-01-25,2.53,2.81,2.48,2.7,57274065.1,0.0,1.0
2000-01-26,2.8,3.06,2.8,3.02,91184834.8,0.0,1.0
2000-01-27,3.0,3.03,2.94,3.0,45094804.3,0.0,1.0
2000-01-28,3.02,3.14,3.01,3.1,72322654.2,0.0,1.0
2000-01-31,3.11,3.33,3.11,3.33,61365550.5,0.0,1.0
2000-02-01,3.3,3.37,3.27,3.36,36770482.5,0.0,1.0
2000-02-02,3.35,3.37,3.21,3.3,24536412.2,0.0,1.0
2000-02-03,3.32,3.33,3.16,3.27,24656608.6,0.0,1.0
2000-02-04,3.38,3.61,3.28,3.58,61671330.1,0.0,1.0
2000-02-07,3.57,3.59,3.47,3.56,23377718.9,0.0,1.0
2000-02-08,3.56,3.64,3.54,3.64,25885496.6,0.0,1.0
2000-02-09,3.62,3.63,3.54,3.59,21245915.5,0.0,1.0
2000-02-10,3.59,3.61,3.28,3.33,29096182.8,0.0,1.0
2000-02-11,3.32,3.48,3.32,3.42,23070016.1,0.0,1.0
2000-02-14,3.47,3.62,3.42,3.53,25052775.9,0.0,1.0
2000-02-15,3.53,3.63,3.37,3.6,19742979.8,0.0,1.0
2000-02-16,3.6,3.61,3.55,3.56,19973756.9,0.0,1.0
2000-02-17,3.58,3.61,3.54,3.6,14232215.2,0.0,1.0
2000-02-18,3.59,3.64,3.38,3.45,21329572.2,0.0,1.0
2000-02-22,3.42,3.5,3.36,3.45,15830346.6,0.0,1.0
2000-02-23,3.43,3.64,3.41,3.63,22083444.1,0.0,1.0
2000-02-24,3.63,3.76,3.5,3.65,29714473.1,0.0,1.0
2000-02-25,3.62,3.64,3.48,3.51,11279230.1,0.0,1.0
2000-02-28,3.48,3.55,3.41,3.54,16173627.5,0.0,1.0
2000-02-29,3.51,3.69,3.5,3.65,15827461.9,0.0,1.0
2000-03-01,3.65,3.72,3.59,3.61,12678316.2,0.0,1.0
2000-03-02,3.59,3.59,3.39,3.46,16066893.1,0.0,1.0
2000-03-03,3.5,3.93,3.5,3.87,33907885.0,0.0,1.0
2000-03-06,3.84,3.84,3.71,3.73,13556230.7,0.0,1.0
2000-03-07,3.74,3.76,3.54,3.55,15471680.5,0.0,1.0
2000-03-08,3.54,3.61,3.45,3.52,18879488.8,0.0,1.0
2000-03-09,3.51,3.77,3.43,3.76,16376519.0,0.0,1.0
2000-03-10,3.71,3.74,3.6,3.71,11404234.4,0.0,1.0
2000-03-13,3.59,3.69,3.56,3.61,16977501.0,0.0,1.0
2000-03-14,3.64,3.69,3.47,3.48,11387887.7,0.0,1.0
2000-03-15,3.46,3.74,3.46,3.66,17672717.0,0.0,1.0
2000-03-16,3.66,4.05,3.66,3.99,43125506.5,0.0,1.0
2000-03-17,3.9,3.97,3.78,3.85,23879659.0,0.0,1.0
2000-03-20,3.8,3.82,3.64,3.66,13032174.4,0.0,1.0
2000-03-21,3.68,4.06,3.66,4.06,26263394.0,0.0,1.0
2000-03-22,3.99,4.14,3.9,4.07,29882748.0,0.0,1.0
2000-03-23,4.02,4.16,4.0,4.1,22314221.1,0.0,1.0
2000-03-24,4.12,4.16,3.91,4.02,16250553.2,0.0,1.0
2000-03-27,4.04,4.21,4.03,4.07,20459350.3,0.0,1.0
2000-03-28,4.08,4.15,3.9,3.95,11336924.4,0.0,1.0
2000-03-29,3.97,4.16,3.92,4.13,15214941.0,0.0,1.0
2000-03-30,4.08,4.34,4.08,4.13,30781817.1,0.0,1.0
2000-03-31,4.14,4.71,4.09,4.66,44022652.4,0.0,1.0
2000-04-03,4.18,4.39,4.08,4.31,42467791.8,0.0,1.0
2000-04-04,4.28,4.52,4.11,4.52,47773741.7,0.0,1.0
2000-04-05,4.43,4.43,4.08,4.11,31134713.7,0.0,1.0
2000-04-06,4.15,4.19,3.8,3.91,22853662.6,0.0,1.0
2000-04-07,3.95,4.17,3.95,4.17,22089213.5,0.0,1.0
2000-04-10,4.19,4.19,3.8,3.81,16753454.9,0.0,1.0
2000-04-11,3.81,4.06,3.72,3.95,12654276.9,0.0,1.0
2000-04-12,3.95,4.01,3.89,3.91,14241831.0,0.0,1.0
2000-04-13,3.92,4.17,3.91,4.14,32491490.7,0.0,1.0
2000-04-14,4.05,4.06,3.52,3.66,25002774.2,0.0,1.0
2000-04-17,3.56,3.8,3.48,3.76,23531570.3,0.0,1.0
2000-04-18,3.77,3.91,3.71,3.89,15395716.4,0.0,1.0
2000-04-19,3.87,4.05,3.82,3.87,19950679.1,0.0,1.0
2000-04-20,3.88,3.95,3.74,3.89,9690714.5,0.0,1.0
2000-04-24,3.85,4.23,3.84,4.15,19188153.2,0.0,1.0
2000-04-25,4.0,4.1,3.64,3.97,36005071.8,0.0,1.0
2000-04-26,3.92,3.93,3.8,3.86,22419032.4,0.0,1.0
2000-04-27,3.75,3.86,3.69,3.85,27195156.5,0.0,1.0
2000-04-28,3.5,3.54,3.12,3.14,158236155.8,0.0,1.0
2000-05-01,3.22,3.26,3.13,3.22,71048572.4,0.0,1.0
2000-05-02,3.35,3.48,3.31,3.32,39530191.8,0.0,1.0
2000-05-03,3.34,3.34,3.22,3.31,23887351.6,0.0,1.0
2000-05-04,3.3,3.52,3.29,3.48,29681779.6,0.0,1.0
2000-05-05,3.43,3.51,3.31,3.5,20753591.1,0.0,1.0
2000-05-08,3.5,3.5,3.41,3.43,16232283.3,0.0,1.0
2000-05-09,3.45,3.48,3.34,3.47,14696654.1,0.0,1.0
2000-05-10,3.46,3.5,3.35,3.39,12811013.0,0.0,1.0
2000-05-11,3.39,3.48,3.32,3.46,12728317.9,0.0,1.0
2000-05-12,3.43,3.45,3.33,3.39,7734878.7,0.0,1.0
