date,open,high,low,close,volume,dividend,ratio
2000-01-03,3.47,3.5,3.42,3.42,24659035.7,0.0,1.0
2000-01-04,3.4,3.48,3.4,3.46,15317836.6,0.0,1.0
2000-01-05,3.48,3.66,3.48,3.65,20409588.5,0.0,1.0
2000-01-06,3.67,3.71,3.64,3.64,17102910.5,0.0,1.0
2000-01-07,3.69,3.73,3.67,3.71,18258584.5,0.0,1.0
2000-01-10,3.69,3.73,3.66,3.68,11830189.5,0.0,1.0
2000-01-11,3.66,3.69,3.64,3.65,9043797.6,0.0,1.0
2000-01-12,3.64,3.75,3.64,3.72,13438286.2,0.0,1.0
2000-01-13,3.71,3.72,3.65,3.67,14052383.6,0.0,1.0
2000-01-14,3.66,3.68,3.6,3.63,11150890.1,0.0,1.0
2000-01-18,3.56,3.58,3.51,3.51,9925356.7,0.0,1.0
2000-01-19,3.5,3.63,3.5,3.6,9322569.9,0.0,1.0
2000-01-20,3.55,3.6,3.53,3.58,13069029.4,0.0,1.0
2000-01-21,3.63,3.72,3.6,3.68,16797525.1,0.0,1.0
2000-01-24,3.7,3.8,3.7,3.78,16858069.9,0.0,1.0
2000-01-25,3.77,3.81,3.72,3.81,23370296.2,0.0,1.0
2000-01-26,3.81,3.85,3.8,3.83,16043043.7,0.0,1.0
2000-01-27,3.83,3.89,3.83,3.84,12793583.8,0.0,1.0
2000-01-28,3.84,3.87,3.78,3.8,20900600.3,0.0,1.0
2000-01-31,3.8,3.87,3.8,3.86,13837482.8,0.0,1.0
2000-02-01,3.85,3.89,3.81,3.81,15094286.6,0.0,1.0
2000-02-02,3.8,3.81,3.78,3.79,23151403.4,0.0,1.0
2000-02-03,3.75,3.86,3.75,3.79,21873530.3,0.34,1.0
2000-02-04,3.83,3.83,3.7,3.7,17797395.1,0.0,1.0
2000-02-07,3.68,3.72,3.68,3.7,8301949.8,0.0,1.0
2000-02-08,3.69,3.8,3.69,3.72,8127980.4,0.0,1.0
2000-02-09,3.71,3.75,3.68,3.69,15873228.1,0.0,1.0
2000-02-10,3.69,3.76,3.69,3.73,16082647.9,0.0,1.0
2000-02-11,3.74,3.74,3.69,3.71,15921151.8,0.0,1.0
2000-02-14,3.71,3.76,3.69,3.71,7947446.1,0.0,1.0
2000-02-15,3.71,3.73,3.68,3.7,13336557.7,0.0,1.0
2000-02-16,3.7,3.7,3.63,3.64,30500441.7,0.0,1.0
2000-02-17,3.64,3.65,3.56,3.58,32907783.9,0.0,1.0
2000-02-18,3.56,3.59,3.5,3.51,14558938.8,0.0,1.0
2000-02-22,3.52,3.57,3.51,3.51,19936233.6,0.0,1.0
2000-02-23,3.5,3.53,3.47,3.47,20456172.3,0.0,1.0
2000-02-24,3.46,3.49,3.35,3.36,23613224.0,0.0,1.0
2000-02-25,3.36,3.42,3.31,3.31,23148430.4,0.0,1.0
2000-02-28,3.32,3.47,3.29,3.46,16118754.7,0.0,1.0
2000-02-29,3.45,3.45,3.34,3.38,15121549.2,0.0,1.0
2000-03-01,3.34,3.36,3.28,3.34,22609453.5,0.0,1.0
2000-03-02,3.34,3.39,3.31,3.36,20488340.2,0.0,1.0
2000-03-03,3.41,3.41,3.35,3.36,16554006.4,0.0,1.0
2000-03-06,3.33,3.33,3.2,3.23,19854172.6,0.0,1.0
2000-03-07,3.24,3.26,3.2,3.25,25987085.3,0.0,1.0
2000-03-08,3.2,3.28,3.2,3.22,21149423.8,0.0,1.0
2000-03-09,3.21,3.23,3.16,3.21,24339956.4,0.0,1.0
2000-03-10,3.21,3.24,3.18,3.22,19709088.7,0.0,1.0
2000-03-13,3.21,3.25,3.17,3.25,14859610.4,0.0,1.0
