date,open,high,low,close,volume,dividend,ratio
2000-01-03,99.66,99.66,96.72,97.77,12144663.8,0.0,1.0
2000-01-04,96.49,96.85,93.87,93.95,12033842.6,0.0,1.0
2000-01-05,94.07,95.14,92.27,94.12,18115025.4,0.0,1.0
2000-01-06,93.86,95.12,92.6,92.6,9263164.1,0.0,1.0
2000-01-07,94.33,97.98,94.16,97.98,11999183.1,0.0,1.0
2000-01-10,98.32,98.76,97.5,98.32,8540966.9,0.0,1.0
2000-01-11,98.02,98.21,96.47,97.14,11161999.7,0.0,1.0
2000-01-12,97.2,97.2,96.05,96.17,10275430.2,0.0,1.0
2000-01-13,97.12,97.98,96.32,97.48,7673140.3,0.0,1.0
2000-01-14,98.51,99.14,98.13,98.8,11063227.5,0.0,1.0
2000-01-18,97.71,98.57,97.6,98.02,9651856.4,0.0,1.0
2000-01-19,97.69,98.82,97.48,98.82,9160078.1,0.0,1.0
2000-01-20,98.8,98.8,96.68,97.31,8627838.8,0.0,1.0
2000-01-21,97.81,97.81,96.85,97.1,9289344.7,0.0,1.0
2000-01-24,97.92,98.04,93.72,94.35,11746897.6,0.0,1.0
2000-01-25,94.46,95.42,93.44,95.42,14789794.6,0.0,1.0
2000-01-26,94.79,95.16,94.18,94.66,7672842.8,0.0,1.0
2000-01-27,95.36,95.61,92.86,94.28,16247874.2,0.0,1.0
2000-01-28,93.74,94.16,91.11,91.34,17725738.1,0.0,1.0
2000-01-31,91.3,93.89,90.75,93.82,16018794.2,0.0,1.0
2000-02-01,93.95,95.25,93.13,94.75,12524877.2,0.0,1.0
2000-02-02,94.98,95.63,94.37,94.83,9231479.6,0.0,1.0
2000-02-03,94.7,96.3,94.12,96.26,11896543.4,0.0,1.0
2000-02-04,96.26,96.8,95.54,95.86,7326693.9,0.0,1.0
2000-02-07,95.84,95.99,95.08,95.71,8695819.1,0.0,1.0
2000-02-08,96.78,97.18,96.55,97.01,7343056.8,0.0,1.0
2000-02-09,97.12,97.12,94.97,94.98,12661135.2,0.0,1.0
2000-02-10,95.21,95.84,94.7,95.17,9952486.8,0.0,1.0
2000-02-11,95.36,95.42,92.79,93.23,14651900.3,0.0,1.0
2000-02-14,93.97,93.97,92.98,93.78,12686869.5,0.0,1.0
2000-02-15,93.61,94.93,92.63,94.84,16479334.3,0.0,1.0
2000-02-16,94.37,94.75,93.31,93.44,13157822.4,0.0,1.0
2000-02-17,94.41,94.41,92.92,92.96,11281746.1,0.0,1.0
2000-02-18,93.36,93.36,90.5,90.96,13996493.4,0.0,1.0
2000-02-22,90.88,91.66,89.77,90.73,24418445.5,0.0,1.0
2000-02-23,91.17,92.41,90.42,91.8,18027409.7,0.0,1.0
2000-02-24,91.89,92.12,89.47,89.96,25845882.0,0.0,1.0
2000-02-25,90.88,91.91,89.49,89.63,15708197.4,0.0,1.0
2000-02-28,89.66,91.89,89.22,91.51,19929666.6,0.0,1.0
2000-02-29,91.47,92.39,91.26,92.39,12260988.9,0.0,1.0
2000-03-01,92.52,93.44,92.25,93.07,10216375.1,0.0,1.0
2000-03-02,93.23,93.53,92.33,93.13,11305546.6,0.0,1.0
2000-03-03,94.41,95.27,93.93,94.87,18996239.8,0.0,1.0
2000-03-06,94.66,95.02,93.28,93.95,17801453.5,0.0,1.0
2000-03-07,94.12,94.22,90.9,92.13,29842882.5,0.0,1.0
2000-03-08,91.74,92.67,90.78,92.01,17565530.8,0.0,1.0
2000-03-09,92.27,94.7,91.51,94.7,8182769.0,0.0,1.0
2000-03-10,94.24,95.46,93.8,94.2,11788102.2,0.0,1.0
2000-03-13,91.89,94.43,91.22,93.17,15679339.2,0.0,1.0
2000-03-14,93.63,94.18,91.53,91.85,12292822.1,0.0,1.0
2000-03-15,92.01,94.41,91.47,93.99,15322777.6,0.0,1.0
2000-03-16,95.21,98.72,94.7,98.38,38082921.6,0.0,1.0
2000-03-17,98.27,99.74,98.02,99.03,15242807.5,0.37,1.0
2000-03-20,98.99,99.3,97.58,98.52,18550764.8,0.0,1.0
2000-03-21,98.08,100.92,97.39,100.55,20198214.9,0.0,1.0
2000-03-22,100.8,101.66,100.21,101.16,12256090.3,0.0,1.0
