date,open,high,low,close,volume,dividend,ratio
2000-01-03,14.96,15.09,14.36,14.48,18801339.3,0.0,1.0
2000-01-04,14.5,14.71,13.4,13.63,23286536.0,0.0,1.0
2000-01-05,13.86,13.9,13.69,13.79,29507445.6,0.0,1.0
2000-01-06,13.8,13.94,13.36,13.55,23092952.4,0.24,1.0
2000-01-07,13.8,13.86,13.44,13.67,18999647.8,0.0,1.0
2000-01-10,13.86,13.94,13.71,13.86,22980289.7,0.0,1.0
2000-01-11,13.84,13.92,13.57,13.67,20895222.3,0.0,1.0
2000-01-12,13.48,13.49,12.86,12.95,28795171.0,0.0,1.0
2000-01-13,13.13,13.3,12.62,12.64,26632305.0,0.0,1.0
2000-01-14,12.78,13.01,12.39,13.01,31920996.6,0.0,1.0
2000-01-18,13.05,13.34,12.66,12.74,31715040.1,0.0,1.0
2000-01-19,12.7,12.7,12.39,12.56,32966919.8,0.0,1.0
2000-01-20,12.64,12.87,12.41,12.7,32541125.7,0.0,1.0
2000-01-21,13.28,13.44,13.01,13.32,51490414.3,0.0,1.0
2000-01-24,13.46,13.48,12.68,13.01,32218309.9,0.0,1.0
2000-01-25,12.7,12.74,11.94,12.39,51466848.7,0.0,1.0
2000-01-26,12.55,12.55,12.29,12.39,24734470.8,0.0,1.0
2000-01-27,12.41,12.49,12.08,12.08,22339177.4,0.0,1.0
2000-01-28,12.18,12.53,12.08,12.16,27925505.2,0.0,1.0
2000-01-31,12.24,13.48,12.1,13.28,36333888.8,0.0,1.0
2000-02-01,13.32,13.32,12.93,13.13,28890724.5,0.0,1.0
2000-02-02,13.32,13.36,13.17,13.17,21548278.7,0.0,1.0
2000-02-03,13.32,13.38,12.8,13.01,24869085.0,0.0,1.0
2000-02-04,13.01,13.13,12.87,13.01,21864315.4,0.0,1.0
2000-02-07,12.82,13.11,12.72,12.97,18737844.2,0.0,1.0
2000-02-08,13.17,13.32,13.01,13.03,18303011.3,0.0,1.0
2000-02-09,13.11,13.26,13.01,13.21,21982143.1,0.0,1.0
2000-02-10,13.13,13.15,12.99,13.05,16628888.4,0.0,1.0
2000-02-11,13.01,13.03,12.31,12.53,17999241.6,0.0,1.0
2000-02-14,12.24,12.86,12.22,12.66,27307312.9,0.0,1.0
2000-02-15,12.39,12.7,12.25,12.6,26444749.0,0.0,1.0
2000-02-16,12.51,12.6,12.0,12.1,27358963.4,0.0,1.0
2000-02-17,12.06,12.39,11.77,12.39,29936647.7,0.0,1.0
2000-02-18,11.79,11.85,11.15,11.85,44943709.5,0.0,1.0
2000-02-22,11.54,11.56,11.02,11.31,45374991.4,0.0,1.0
2000-02-23,11.15,11.31,10.78,11.07,41566733.2,0.0,1.0
2000-02-24,10.98,11.11,10.78,11.0,41604502.7,0.0,1.0
2000-02-25,11.15,11.37,10.82,10.98,36663483.7,0.0,1.0
2000-02-28,11.07,11.62,11.07,11.46,36364879.1,0.0,1.0
2000-02-29,11.52,11.81,11.5,11.69,27694369.0,0.0,1.0
2000-03-01,12.41,13.01,12.31,13.01,49305596.8,0.0,1.0
2000-03-02,13.32,14.25,13.26,14.02,48348770.7,0.0,1.0
2000-03-03,14.09,14.25,13.69,14.11,28700585.9,0.0,1.0
2000-03-06,13.8,13.8,13.24,13.44,20770615.4,0.0,1.0
2000-03-07,13.49,13.77,12.97,12.97,22109332.6,0.0,1.0
2000-03-08,12.97,13.03,12.82,12.9,21956640.7,0.0,1.0
2000-03-09,12.82,12.9,12.59,12.87,19274364.1,0.0,1.0
2000-03-10,12.87,13.17,12.84,13.01,23920329.3,0.0,1.0
2000-03-13,12.78,13.63,12.72,13.53,20911363.1,0.0,1.0
2000-03-14,13.55,13.55,13.01,13.05,21419798.0,0.0,1.0
2000-03-15,13.21,13.32,13.11,13.17,22712029.7,0.0,1.0
2000-03-16,13.61,14.09,13.3,13.98,30703335.3,0.0,1.0
2000-03-17,14.06,14.5,13.98,14.17,29273584.0,0.0,1.0
2000-03-20,13.98,14.17,13.69,13.77,14960576.3,0.0,1.0
2000-03-21,13.8,14.06,13.57,14.02,14195825.6,0.0,1.0
2000-03-22,13.75,13.92,13.32,13.42,16291868.7,0.0,1.0
2000-03-23,13.15,13.63,13.13,13.49,17852683.2,0.0,1.0
2000-03-24,13.34,13.53,13.18,13.32,16559805.8,0.0,1.0
2000-03-27,13.36,13.52,13.15,13.38,18977696.3,0.0,1.0
2000-03-28,13.22,13.44,13.15,13.17,20223119.7,0.0,1.0
2000-03-29,13.3,13.59,12.99,13.09,22010873.7,0.0,1.0
2000-03-30,13.32,13.44,12.87,12.9,28639573.8,0.0,1.0
2000-03-31,13.17,13.32,13.01,13.05,24656349.4,0.0,1.0
2000-04-03,13.17,13.9,13.15,13.86,24895555.9,0.0,1.0
2000-04-04,13.94,14.62,13.86,14.25,34824402.0,0.0,1.0
2000-04-05,14.25,14.6,14.21,14.35,27574604.4,0.0,1.0
2000-04-06,14.35,14.74,14.33,14.51,18626731.9,0.25,1.0
2000-04-07,14.64,14.7,14.11,14.45,16588595.3,0.0,1.0
2000-04-10,14.33,14.46,14.19,14.41,13558039.1,0.0,1.0
2000-04-11,14.42,15.03,14.35,14.72,20942913.0,0.0,1.0
2000-04-12,14.93,15.26,14.79,14.85,25003453.9,0.0,1.0
2000-04-13,14.74,14.74,14.33,14.64,18448539.5,0.0,1.0
2000-04-14,14.21,14.52,13.08,13.28,24038324.9,0.0,1.0
2000-04-17,13.55,13.57,12.73,13.04,24101575.2,0.0,1.0
2000-04-18,12.81,13.06,12.6,12.93,21661141.0,0.0,1.0
2000-04-19,12.91,13.28,12.81,13.06,23019898.8,0.0,1.0
2000-04-20,13.08,13.2,12.75,12.83,12444255.9,0.0,1.0
2000-04-24,12.83,13.22,12.77,13.16,15752856.6,0.0,1.0
2000-04-25,13.33,14.15,13.22,14.0,29950462.2,0.0,1.0
2000-04-26,14.02,14.07,13.55,13.7,23910861.1,0.0,1.0
2000-04-27,13.63,13.78,13.39,13.47,22994855.5,0.0,1.0
2000-04-28,13.55,13.8,13.47,13.65,23266157.5,0.0,1.0
2000-05-01,13.74,14.06,13.61,13.9,22921973.2,0.0,1.0
2000-05-02,13.86,13.86,13.0,13.2,23126493.2,0.0,1.0
2000-05-03,13.18,13.3,12.98,13.06,15235616.8,0.0,1.0
2000-05-04,13.08,13.08,12.71,12.79,14532157.9,0.0,1.0
2000-05-05,12.79,13.45,12.79,13.39,14994174.1,0.0,1.0
2000-05-08,13.28,13.37,13.04,13.36,12840453.2,0.0,1.0
2000-05-09,13.2,13.55,13.04,13.18,15455869.2,0.0,1.0
2000-05-10,13.24,14.33,13.16,14.06,26643145.7,0.0,1.0
2000-05-11,14.11,14.31,14.07,14.19,16571257.7,0.0,1.0
2000-05-12,13.92,14.02,13.76,13.97,11172507.4,0.0,1.0
2000-05-15,13.82,14.56,13.7,14.33,15472243.6,0.0,1.0
2000-05-16,14.48,14.62,14.11,14.23,14315758.4,0.0,1.0
2000-05-17,14.07,14.15,13.96,14.11,10795895.2,0.0,1.0
2000-05-18,14.03,14.19,13.69,13.78,11794736.3,0.0,1.0
2000-05-19,13.36,13.61,13.2,13.3,18455924.0,0.0,1.0
2000-05-22,13.59,13.59,13.0,13.24,14424921.4,0.0,1.0
2000-05-23,13.16,13.22,13.0,13.02,14469870.8,0.0,1.0
2000-05-24,13.1,13.49,13.1,13.43,15937470.4,0.0,1.0
2000-05-25,13.24,13.45,12.94,13.1,14343691.3,0.0,1.0
2000-05-26,13.1,13.41,13.1,13.28,10802637.6,0.0,1.0
2000-05-30,13.47,13.78,13.31,13.78,13439565.2,0.0,1.0
2000-05-31,13.7,13.8,13.57,13.65,14184762.9,0.0,1.0
2000-06-01,13.74,13.98,13.7,13.7,13309211.7,0.0,1.0
2000-06-02,14.02,14.15,13.94,14.02,16955896.6,0.0,1.0
2000-06-05,14.11,14.11,13.8,13.8,10640498.5,0.0,1.0
2000-06-06,13.92,14.45,13.9,14.11,16984150.5,0.0,1.0
2000-06-07,14.09,14.56,14.03,14.45,14915191.5,0.0,1.0
2000-06-08,14.45,14.74,14.42,14.64,14505509.3,0.0,1.0
2000-06-09,14.72,14.99,14.68,14.99,16330778.1,0.0,1.0
2000-06-12,14.76,14.85,14.52,14.58,12502369.1,0.0,1.0
2000-06-13,14.48,14.97,14.48,14.95,13459150.3,0.0,1.0
2000-06-14,15.22,15.67,15.12,15.57,26561915.6,0.0,1.0
2000-06-15,15.38,15.55,14.99,15.17,20001543.0,0.0,1.0
2000-06-16,15.15,15.22,14.7,14.72,26304740.5,0.0,1.0
2000-06-19,14.72,15.17,14.72,14.79,16334952.0,0.0,1.0
2000-06-20,14.91,14.93,14.64,14.7,12293675.2,0.0,1.0
2000-06-21,14.72,15.2,14.68,14.99,14790938.3,0.0,1.0
2000-06-22,14.95,15.3,14.91,15.3,13905434.1,0.0,1.0
2000-06-23,15.18,15.3,15.03,15.12,8891964.9,0.0,1.0
2000-06-26,15.12,15.36,14.66,14.76,13929514.2,0.0,1.0
2000-06-27,14.95,15.26,14.41,14.5,27057964.9,0.0,1.0
2000-06-28,14.5,14.6,13.74,13.99,22275985.3,0.0,1.0
2000-06-29,13.74,14.41,13.7,14.19,23179469.3,0.0,1.0
2000-06-30,13.98,14.33,13.46,13.7,48633380.9,0.0,1.0
2000-07-03,13.74,14.52,13.72,14.5,10421530.5,0.0,1.0
2000-07-05,14.56,14.58,14.09,14.25,16612996.5,0.0,1.0
2000-07-06,14.27,14.31,13.63,13.67,13357384.3,0.25,1.0
2000-07-07,13.77,14.24,13.77,14.0,13965800.5,0.0,1.0
2000-07-10,14.19,14.35,13.92,14.04,10690695.6,0.0,1.0
2000-07-11,13.92,14.14,13.82,13.9,12694383.1,0.0,1.0
2000-07-12,13.94,14.18,13.94,14.08,8193507.9,0.0,1.0
2000-07-13,14.16,14.37,14.14,14.33,12803234.0,0.0,1.0
2000-07-14,14.33,14.37,13.98,14.22,13396008.8,0.0,1.0
2000-07-17,14.06,14.06,13.55,13.56,17164613.9,0.0,1.0
2000-07-18,13.61,13.8,13.43,13.63,18038932.8,0.0,1.0
2000-07-19,13.92,13.92,13.55,13.67,13292265.3,0.0,1.0
2000-07-20,13.82,14.27,13.47,13.51,18878138.5,0.0,1.0
2000-07-21,13.55,13.78,13.3,13.47,13657123.4,0.0,1.0
2000-07-24,13.39,13.69,13.37,13.53,13719369.6,0.0,1.0
2000-07-25,13.61,13.88,13.59,13.78,13349723.2,0.0,1.0
2000-07-26,13.77,13.82,13.51,13.51,18536902.0,0.0,1.0
2000-07-27,13.63,13.69,13.35,13.41,15815947.4,0.0,1.0
2000-07-28,13.24,13.53,13.22,13.31,15062290.2,0.0,1.0
2000-07-31,13.33,13.61,13.25,13.33,13423461.0,0.0,1.0
2000-08-01,13.35,13.78,13.33,13.69,14100188.3,0.0,1.0
2000-08-02,13.78,14.02,13.72,13.88,18881330.7,0.0,1.0
2000-08-03,13.9,13.94,13.71,13.78,18503065.6,0.0,1.0
2000-08-04,13.78,13.82,13.63,13.77,18012757.5,0.0,1.0
2000-08-07,13.59,13.96,13.59,13.9,13343339.0,0.0,1.0
2000-08-08,13.67,13.75,13.16,13.31,27568019.6,0.0,1.0
2000-08-09,13.37,13.43,12.94,13.06,20002718.9,0.0,1.0
2000-08-10,13.1,13.31,13.1,13.25,14518673.9,0.0,1.0
2000-08-11,13.35,13.63,13.16,13.33,12763651.8,0.0,1.0
2000-08-14,13.18,13.35,13.02,13.12,12049257.6,0.0,1.0
2000-08-15,13.28,13.37,13.16,13.16,10400213.6,0.0,1.0
2000-08-16,13.31,13.35,12.84,12.94,13319079.0,0.0,1.0
