date,open,high,low,close,volume,dividend,ratio
2000-01-03,12.36,12.51,12.36,12.36,524622.8,0.0,1.0
2000-01-04,12.26,12.31,11.79,11.9,689948.2,0.0,1.0
2000-01-05,12.15,12.15,11.79,11.85,595754.0,0.0,1.0
2000-01-06,11.85,11.99,11.79,11.99,682058.2,0.0,1.0
2000-01-07,11.9,12.15,11.79,12.15,323610.5,0.0,1.0
2000-01-10,11.99,12.15,11.95,12.05,570506.1,0.0,1.0
2000-01-11,11.95,12.31,11.95,12.15,337326.9,0.0,1.0
2000-01-12,12.15,12.2,11.53,11.85,524744.2,0.0,1.0
2000-01-13,11.74,12.31,11.74,12.26,579609.9,0.0,1.0
2000-01-14,12.31,12.31,11.99,12.05,333078.5,0.0,1.0
2000-01-18,12.15,12.15,11.79,11.9,631562.4,0.0,1.0
2000-01-19,11.79,11.99,11.69,11.74,801379.0,0.0,1.0
2000-01-20,11.79,12.05,11.79,11.95,674896.6,0.0,1.0
2000-01-21,11.95,12.15,11.85,11.9,1331828.3,0.0,1.0
2000-01-24,11.95,12.2,11.9,12.05,799801.0,0.0,1.0
2000-01-25,11.99,12.67,11.95,12.15,1066239.5,0.0,1.0
2000-01-26,12.15,13.29,12.1,12.82,1851595.7,0.0,1.0
2000-01-27,13.39,14.01,13.34,13.59,1733246.1,0.0,1.0
2000-01-28,13.29,13.54,12.98,13.39,877608.3,0.0,1.0
2000-01-31,13.49,14.67,13.44,14.26,2046174.7,0.0,1.0
2000-02-01,14.62,14.62,14.05,14.57,2275348.2,0.0,1.0
2000-02-02,14.42,14.47,14.16,14.32,910989.0,0.0,1.0
2000-02-03,14.37,14.52,14.32,14.47,763628.5,0.0,1.0
2000-02-04,14.42,14.52,14.37,14.37,1021327.3,0.0,1.0
2000-02-07,14.32,14.73,14.32,14.37,945219.4,0.0,1.0
2000-02-08,14.42,14.52,13.8,13.91,830511.2,0.0,1.0
2000-02-09,13.8,13.85,13.39,13.64,585921.9,0.0,1.0
2000-02-10,13.44,13.7,13.23,13.39,389400.8,0.0,1.0
2000-02-11,13.59,13.59,13.18,13.29,381268.0,0.0,1.0
2000-02-14,13.18,13.7,13.13,13.49,553148.1,0.0,1.0
2000-02-15,13.49,13.85,13.39,13.7,486265.4,0.0,1.0
2000-02-16,13.49,13.7,13.39,13.54,251751.0,0.0,1.0
2000-02-17,13.44,13.75,13.13,13.13,366095.0,0.0,1.0
2000-02-18,13.23,13.34,12.72,12.93,518675.0,0.0,1.0
2000-02-22,12.77,13.75,12.77,13.59,462595.5,0.0,1.0
2000-02-23,13.49,13.64,13.29,13.49,339754.6,0.0,1.0
2000-02-24,13.44,13.44,12.82,13.23,445116.1,0.0,1.0
2000-02-25,13.18,13.34,12.56,12.82,398626.0,0.0,1.0
2000-02-28,12.98,13.02,12.67,12.88,305767.0,0.0,1.0
2000-02-29,12.72,12.93,12.61,12.88,482988.0,0.0,1.0
2000-03-01,12.72,14.21,12.61,14.21,2418824.5,0.0,1.0
2000-03-02,14.42,17.09,14.37,16.58,4096962.1,0.0,1.0
2000-03-03,17.09,18.23,16.84,18.07,2687205.1,0.0,1.0
2000-03-06,18.07,18.23,17.56,17.76,1617566.9,0.0,1.0
2000-03-07,18.33,20.03,18.28,19.77,4552517.3,0.0,1.0
2000-03-08,20.5,22.14,20.23,21.63,5441292.9,0.0,1.0
2000-03-09,21.21,21.73,20.55,21.32,2645813.1,0.0,1.0
2000-03-10,21.21,21.73,20.91,21.26,1853780.7,0.0,1.0
2000-03-13,20.65,21.16,20.23,20.6,2365415.4,0.0,1.0
2000-03-14,20.39,20.39,18.69,18.9,1388636.1,0.0,1.0
2000-03-15,19.36,19.52,18.74,18.79,642729.7,0.0,1.0
2000-03-16,18.9,19.26,18.85,19.0,707791.7,0.0,1.0
2000-03-17,18.79,18.85,18.33,18.49,611291.2,0.0,1.0
2000-03-20,18.33,18.54,18.17,18.33,577546.4,0.0,1.0
2000-03-21,18.54,18.74,16.53,17.25,2379131.8,0.0,1.0
2000-03-22,17.09,17.51,17.05,17.25,580459.6,0.0,1.0
2000-03-23,17.25,18.23,17.14,18.07,1181918.7,0.0,1.0
2000-03-24,17.97,18.12,17.92,18.03,791304.1,0.0,1.0
2000-03-27,17.92,18.59,17.35,17.56,413434.8,0.0,1.0
2000-03-28,17.3,17.87,16.79,17.0,521588.2,0.0,1.0
2000-03-29,16.94,17.25,15.81,16.22,1124261.2,0.0,1.0
2000-03-30,16.27,16.27,15.91,16.17,931381.5,0.0,1.0
2000-03-31,16.17,16.84,16.17,16.79,639088.2,0.0,1.0
2000-04-03,16.58,17.0,16.48,16.48,635932.2,0.0,1.0
2000-04-04,16.53,16.73,15.45,16.06,1066360.9,0.0,1.0
2000-04-05,15.76,16.32,15.65,16.32,388065.5,0.0,1.0
2000-04-06,16.32,16.89,16.32,16.58,788512.3,0.0,1.0
2000-04-07,16.89,17.66,16.79,17.66,792639.3,0.0,1.0
2000-04-10,17.61,17.66,17.2,17.35,1305852.0,0.0,1.0
2000-04-11,17.35,17.41,16.89,17.0,599031.4,0.0,1.0
2000-04-12,16.89,17.09,16.17,16.32,1261546.8,0.0,1.0
2000-04-13,16.38,16.58,16.22,16.22,352985.5,0.0,1.0
2000-04-14,16.06,16.11,14.83,15.24,1139555.6,0.0,1.0
2000-04-17,15.08,15.19,14.62,15.19,647342.3,0.0,1.0
2000-04-18,15.19,15.7,15.03,15.7,442931.2,0.0,1.0
2000-04-19,15.65,16.06,15.65,15.7,383210.2,0.0,1.0
2000-04-20,15.76,16.02,15.45,15.81,349950.9,0.0,1.0
2000-04-24,15.65,15.7,15.19,15.5,1063326.3,0.0,1.0
2000-04-25,15.45,16.38,15.45,16.38,427151.3,0.0,1.0
2000-04-26,16.53,16.53,16.27,16.38,555818.6,0.0,1.0
2000-04-27,16.06,16.27,15.91,16.06,405544.9,0.0,1.0
2000-04-28,16.06,16.22,15.7,15.97,820314.9,0.0,1.0
2000-05-01,15.86,16.68,15.86,15.97,683636.2,0.0,1.0
