date,open,high,low,close,volume,dividend,ratio
2000-01-03,8.11,8.11,7.92,8.04,1834899.3,0.0,1.0
2000-01-04,8.01,8.12,7.91,7.92,460968.0,0.0,1.0
2000-01-05,8.14,8.37,8.14,8.26,1038953.8,0.0,1.0
2000-01-06,8.43,8.59,8.33,8.43,878568.3,0.0,1.0
2000-01-07,8.63,8.89,8.63,8.89,776504.9,0.0,1.0
2000-01-10,8.59,8.66,8.39,8.58,711827.3,0.0,1.0
2000-01-11,8.43,8.63,8.37,8.49,551068.0,0.0,1.0
2000-01-12,8.44,8.56,8.43,8.52,324883.4,0.0,1.0
2000-01-13,8.54,8.56,8.43,8.48,305442.7,0.0,1.0
2000-01-14,8.43,8.63,8.39,8.51,1124193.6,0.0,1.0
2000-01-18,8.16,8.17,8.01,8.12,969416.0,0.0,1.0
2000-01-19,7.76,7.86,7.69,7.81,2219226.3,0.0,1.0
2000-01-20,7.69,7.72,7.54,7.66,1206442.6,0.0,1.0
2000-01-21,7.49,7.62,7.42,7.45,1563103.9,0.0,1.0
2000-01-24,7.56,7.56,7.36,7.39,1408326.4,0.0,1.0
2000-01-25,7.19,7.52,7.19,7.34,1512633.0,0.0,1.0
2000-01-26,7.22,7.29,7.17,7.29,914458.8,0.0,1.0
2000-01-27,7.02,7.12,6.85,7.12,3425295.0,0.0,1.0
2000-01-28,6.94,6.95,6.84,6.87,2143332.9,0.0,1.0
2000-01-31,6.75,6.97,6.69,6.89,2396061.5,0.0,1.0
2000-02-01,6.49,6.65,6.4,6.65,1484219.7,0.0,1.0
2000-02-02,6.29,6.62,6.17,6.5,3802518.6,0.0,1.0
2000-02-03,6.32,6.42,6.3,6.39,5333096.8,0.0,1.0
2000-02-04,6.15,6.29,6.12,6.18,3254815.3,0.0,1.0
2000-02-07,6.05,6.09,5.99,6.0,2110059.5,0.0,1.0
2000-02-08,6.03,6.12,5.95,6.02,2530276.8,0.0,1.0
2000-02-09,5.99,6.05,5.94,6.02,2969561.0,0.0,1.0
2000-02-10,6.07,6.14,5.97,6.03,1763492.3,0.0,1.0
2000-02-11,5.95,6.05,5.82,5.87,1676757.0,0.0,1.0
2000-02-14,5.88,5.9,5.79,5.87,2106694.7,0.0,1.0
2000-02-15,6.05,6.2,5.95,6.18,2392696.8,0.0,1.0
2000-02-16,6.22,6.42,6.22,6.34,1711899.8,0.0,1.0
2000-02-17,6.52,6.67,6.5,6.55,1149989.9,0.0,1.0
2000-02-18,6.69,6.82,6.62,6.62,1911540.4,0.0,1.0
2000-02-22,6.75,7.02,6.75,6.89,1484219.7,0.0,1.0
2000-02-23,6.95,6.99,6.8,6.87,847911.9,0.0,1.0
2000-02-24,6.82,6.82,6.3,6.42,1067740.9,0.0,1.0
2000-02-25,6.15,6.44,6.15,6.34,1184758.8,0.0,1.0
2000-02-28,6.29,6.39,6.22,6.32,838939.3,0.0,1.0
2000-02-29,6.45,6.67,6.45,6.55,1652456.2,0.0,1.0
2000-03-01,6.65,6.94,6.65,6.69,1393372.0,0.0,1.0
2000-03-02,6.84,6.9,6.69,6.85,1041570.8,0.0,1.0
2000-03-03,6.79,6.8,6.64,6.69,1185506.5,0.0,1.0
2000-03-06,6.55,6.67,6.45,6.49,1248314.8,0.0,1.0
2000-03-07,5.99,6.07,5.83,5.94,2850300.0,0.0,1.0
2000-03-08,5.82,6.09,5.79,6.03,2042764.9,0.0,1.0
2000-03-09,6.09,6.25,6.0,6.15,1905558.7,0.0,1.0
2000-03-10,6.02,6.03,5.88,5.92,1065123.9,0.0,1.0
2000-03-13,5.75,5.87,5.65,5.83,2028184.4,0.0,1.0
2000-03-14,5.79,5.97,5.73,5.82,2496629.5,0.0,1.0
2000-03-15,6.02,6.44,6.02,6.37,1799382.7,0.0,1.0
2000-03-16,6.72,7.07,6.72,7.01,1672644.6,0.0,1.0
2000-03-17,6.65,6.74,6.44,6.55,1078582.8,0.0,1.0
2000-03-20,6.45,6.6,6.37,6.54,1470386.9,0.0,1.0
2000-03-21,6.6,6.95,6.59,6.79,1059889.9,0.0,1.0
2000-03-22,6.74,6.8,6.62,6.69,804544.3,0.0,1.0
2000-03-23,6.64,6.87,6.64,6.82,762298.2,0.0,1.0
2000-03-24,6.82,6.82,6.59,6.67,1314861.6,0.0,1.0
2000-03-27,6.69,6.75,6.6,6.69,1087929.3,0.0,1.0
2000-03-28,6.67,6.9,6.67,6.79,2305213.8,0.0,1.0
2000-03-29,6.75,6.95,6.65,6.94,1474125.5,0.0,1.0
2000-03-30,6.79,7.01,6.74,6.95,2692157.7,0.0,1.0
2000-03-31,6.95,7.21,6.9,6.99,1448703.1,0.0,1.0
2000-04-03,6.95,7.07,6.87,7.06,911094.1,0.0,1.0
2000-04-04,7.42,7.54,7.22,7.51,1544784.8,0.0,1.0
2000-04-05,7.49,7.49,7.22,7.44,1381408.5,0.0,1.0
2000-04-06,7.36,7.36,7.16,7.22,989230.6,0.0,1.0
2000-04-07,7.22,7.39,7.14,7.37,1040823.1,0.0,1.0
2000-04-10,7.06,7.22,7.06,7.14,832957.6,0.0,1.0
2000-04-11,7.19,7.27,7.1,7.25,1020634.7,0.0,1.0
2000-04-12,7.32,7.57,7.27,7.45,1754145.8,0.0,1.0
2000-04-13,7.45,7.52,7.36,7.44,3340429.0,0.0,1.0
2000-04-14,7.22,7.36,6.99,7.19,1379539.2,0.0,1.0
2000-04-17,7.19,7.45,7.14,7.39,2457374.3,0.0,1.0
2000-04-18,7.22,7.29,7.14,7.19,1665915.1,0.0,1.0
2000-04-19,7.02,7.06,6.89,6.92,1085312.3,0.0,1.0
2000-04-20,7.0,7.1,6.98,7.05,951277.8,0.17,1.0
2000-04-24,7.1,7.17,7.03,7.08,534884.8,0.0,1.0
2000-04-25,7.08,7.34,7.07,7.3,481767.8,0.0,1.0
2000-04-26,7.13,7.13,6.85,6.85,566086.4,0.0,1.0
2000-04-27,6.76,6.93,6.58,6.75,858415.8,0.0,1.0
2000-04-28,6.66,6.7,6.58,6.7,723951.7,0.0,1.0
2000-05-01,6.7,6.7,6.53,6.68,678635.1,0.0,1.0
2000-05-02,6.53,6.76,6.53,6.66,1487648.4,0.0,1.0
2000-05-03,6.09,6.14,5.96,6.07,6833525.0,0.0,1.0
2000-05-04,6.07,6.29,6.07,6.26,1569738.4,0.0,1.0
2000-05-05,6.29,6.43,6.24,6.28,598773.8,0.0,1.0
2000-05-08,6.29,6.41,6.22,6.38,735466.6,0.0,1.0
2000-05-09,6.45,6.6,6.39,6.6,1550423.1,0.0,1.0
2000-05-10,6.76,6.9,6.63,6.71,1461275.6,0.0,1.0
2000-05-11,6.93,7.02,6.88,6.88,1761034.0,0.0,1.0
2000-05-12,6.93,7.13,6.93,6.98,2067849.9,0.0,1.0
2000-05-15,7.13,7.2,7.08,7.15,498482.9,0.0,1.0
2000-05-16,7.2,7.2,7.0,7.03,1474647.7,0.0,1.0
2000-05-17,6.96,7.03,6.87,6.98,779297.5,0.0,1.0
2000-05-18,7.15,7.29,7.15,7.2,875873.9,0.0,1.0
2000-05-19,7.47,7.62,7.32,7.34,1371013.8,0.0,1.0
2000-05-22,7.69,7.69,7.54,7.54,681978.1,0.0,1.0
2000-05-23,7.61,7.61,7.39,7.5,738809.7,0.0,1.0
2000-05-24,7.5,7.77,7.37,7.69,1684887.2,0.0,1.0
2000-05-25,7.47,7.59,7.42,7.52,1190118.7,0.0,1.0
2000-05-26,7.5,7.74,7.47,7.67,910418.5,0.0,1.0
