date,open,high,low,close,volume,dividend,ratio
2000-01-03,7.21,7.21,7.21,7.21,6123361.2,0.0,1.0
2000-01-04,7.21,7.26,7.14,7.2,7264063.4,0.0,1.0
2000-01-05,7.2,7.33,7.19,7.24,5344578.1,0.0,1.0
2000-01-06,7.2,7.7,7.2,7.64,9280896.6,0.0,1.0
2000-01-07,7.64,7.65,7.47,7.59,4861422.0,0.0,1.0
2000-01-10,7.77,7.83,7.62,7.77,6437502.2,0.0,1.0
2000-01-11,7.74,7.9,7.74,7.83,3559468.7,0.0,1.0
2000-01-12,7.79,7.84,7.64,7.67,3432259.5,0.0,1.0
2000-01-13,7.67,7.98,7.6,7.81,4617156.5,0.0,1.0
2000-01-14,7.83,7.86,7.65,7.71,3636510.9,0.0,1.0
2000-01-18,7.63,7.68,7.41,7.43,4430821.9,0.0,1.0
2000-01-19,7.22,7.32,7.07,7.31,8617378.2,0.0,1.0
2000-01-20,7.41,7.5,6.84,7.03,12050234.9,0.0,1.0
2000-01-21,7.13,7.4,7.12,7.33,7622399.2,0.0,1.0
2000-01-24,7.34,7.41,7.1,7.11,4485169.4,0.0,1.0
2000-01-25,7.11,7.15,6.7,6.86,7550134.8,0.0,1.0
2000-01-26,6.87,7.0,6.69,7.0,5747108.6,0.0,1.0
2000-01-27,7.03,7.03,6.71,6.74,5480148.5,0.0,1.0
2000-01-28,6.75,6.92,6.66,6.8,5360703.2,0.0,1.0
2000-01-31,6.8,6.89,6.67,6.74,5498065.2,0.0,1.0
2000-02-01,6.7,6.76,6.61,6.75,4200292.5,0.0,1.0
2000-02-02,6.72,6.74,6.47,6.49,6301334.6,0.0,1.0
2000-02-03,6.57,6.62,6.53,6.58,5376231.1,0.0,1.0
2000-02-04,6.66,6.84,6.66,6.75,6923644.4,0.0,1.0
2000-02-07,6.74,6.78,6.61,6.65,4346612.9,0.0,1.0
2000-02-08,6.69,6.7,6.47,6.49,5487315.2,0.0,1.0
2000-02-09,6.57,6.8,6.5,6.52,7264660.6,0.0,1.0
2000-02-10,6.52,6.52,6.01,6.21,12451571.0,0.0,1.0
2000-02-11,6.22,6.26,6.13,6.15,5323675.2,0.0,1.0
2000-02-14,6.24,6.36,6.18,6.36,6536044.5,0.0,1.0
2000-02-15,6.45,6.5,6.32,6.5,10825921.0,0.0,1.0
2000-02-16,6.53,6.59,6.2,6.26,7665996.7,0.0,1.0
2000-02-17,6.28,6.36,6.15,6.34,4618948.1,0.0,1.0
2000-02-18,6.36,6.4,6.32,6.32,5086576.3,0.0,1.0
2000-02-22,6.35,6.59,6.34,6.5,4648212.2,0.0,1.0
2000-02-23,6.5,6.59,6.49,6.58,6036166.1,0.0,1.0
2000-02-24,6.61,6.62,6.07,6.24,10607933.4,0.0,1.0
2000-02-25,6.24,6.28,6.12,6.27,4535933.7,0.0,1.0
