date,open,high,low,close,volume,dividend,ratio
2000-01-03,41.06,41.1,39.48,39.51,2160756.7,0.0,1.0
2000-01-04,39.48,39.48,38.08,38.27,2351851.0,0.0,1.0
2000-01-05,38.23,39.18,38.15,38.85,2378835.0,0.0,1.0
2000-01-06,38.82,40.14,38.3,40.07,3324802.5,0.0,1.0
2000-01-07,39.85,39.85,38.74,39.11,1690318.7,0.0,1.0
2000-01-10,39.41,39.74,39.15,39.51,2022442.5,0.0,1.0
2000-01-11,39.56,39.74,39.07,39.11,1731049.2,0.0,1.0
2000-01-12,38.97,39.77,38.56,39.7,1862914.5,0.0,1.0
2000-01-13,39.85,40.36,39.7,40.25,1817941.1,0.0,1.0
2000-01-14,40.59,40.8,40.25,40.69,1968644.2,0.0,1.0
2000-01-18,40.66,40.66,39.7,40.47,1664013.5,0.0,1.0
2000-01-19,40.36,40.4,39.74,40.22,1845264.5,0.0,1.0
2000-01-20,40.14,40.73,40.14,40.59,3346695.2,0.0,1.0
2000-01-21,40.59,40.59,39.3,39.63,2155495.7,0.0,1.0
2000-01-24,40.0,40.22,38.89,38.89,1410974.8,0.0,1.0
2000-01-25,38.67,39.26,38.15,38.82,2143446.3,0.0,1.0
2000-01-26,38.45,38.67,38.01,38.38,1584079.8,0.0,1.0
2000-01-27,38.48,38.52,37.71,38.38,1915015.6,0.0,1.0
2000-01-28,38.38,38.82,37.71,38.27,2248157.8,0.0,1.0
2000-01-31,37.12,37.71,34.77,35.35,9751237.9,0.0,1.0
2000-02-01,35.17,36.24,34.36,36.17,8079926.9,0.0,1.0
2000-02-02,35.21,35.32,33.7,34.32,8045305.9,0.0,1.0
2000-02-03,34.91,35.06,33.81,33.96,3312583.3,0.0,1.0
2000-02-04,34.29,34.29,33.03,33.22,2961791.3,0.0,1.0
2000-02-07,33.37,33.47,32.7,32.85,2512057.9,0.0,1.0
2000-02-08,33.14,34.99,32.85,34.99,3487724.8,0.0,1.0
2000-02-09,35.06,35.14,34.18,34.18,2052481.3,0.0,1.0
2000-02-10,34.21,34.47,33.29,33.62,1689809.5,0.0,1.0
2000-02-11,33.47,33.59,32.48,32.48,1720696.9,0.0,1.0
2000-02-14,32.59,32.7,31.9,32.04,3483821.4,0.0,1.0
