date,open,high,low,close,volume,dividend,ratio
2000-01-03,20.74,21.08,20.4,20.51,13632204.0,0.0,1.0
2000-01-04,20.42,20.68,19.59,19.84,14632177.6,0.0,1.0
2000-01-05,20.18,20.8,20.01,20.51,18615410.7,0.0,1.0
2000-01-06,20.55,20.55,20.1,20.4,13665880.2,0.38,1.0
2000-01-07,20.27,20.34,19.91,20.25,14648071.7,0.0,1.0
2000-01-10,20.25,20.42,19.91,20.14,13033351.1,0.0,1.0
2000-01-11,19.89,20.1,19.71,19.95,10729179.6,0.0,1.0
2000-01-12,19.41,19.84,19.28,19.28,12453387.6,0.0,1.0
2000-01-13,19.63,19.69,19.13,19.13,10988522.3,0.0,1.0
2000-01-14,19.26,19.5,19.13,19.39,9236724.7,0.0,1.0
2000-01-18,19.63,20.64,19.56,20.23,14119221.7,0.0,1.0
2000-01-19,19.8,20.14,19.8,19.84,8603034.0,0.0,1.0
2000-01-20,19.99,20.4,19.91,19.91,7873215.1,0.0,1.0
2000-01-21,20.62,21.11,20.32,20.68,16572667.7,0.0,1.0
2000-01-24,20.77,20.94,20.64,20.7,11350382.4,0.0,1.0
2000-01-25,20.68,20.75,20.04,20.14,12837029.0,0.0,1.0
2000-01-26,20.23,20.29,19.82,19.89,11773810.9,0.0,1.0
2000-01-27,19.97,20.23,19.67,20.06,9075252.7,0.0,1.0
2000-01-28,19.95,20.27,19.65,19.84,9750473.1,0.0,1.0
2000-01-31,19.82,21.69,19.65,21.33,15604125.7,0.0,1.0
2000-02-01,20.92,21.14,20.4,20.51,13574108.3,0.0,1.0
2000-02-02,20.68,20.7,20.36,20.42,8562666.0,0.0,1.0
2000-02-03,20.57,20.7,19.97,20.12,7521519.7,0.0,1.0
2000-02-04,20.23,20.55,20.08,20.16,9879418.4,0.0,1.0
2000-02-07,20.16,20.64,19.95,20.57,9624141.5,0.0,1.0
2000-02-08,20.59,20.83,20.21,20.32,8913490.2,0.0,1.0
2000-02-09,20.32,20.38,19.8,19.91,9364798.8,0.0,1.0
