date,open,high,low,close,volume,dividend,ratio
2000-01-03,47.21,47.21,44.23,44.51,82885.4,0.0,1.0
2000-01-04,45.36,45.65,43.8,44.45,301032.7,0.0,1.0
2000-01-05,43.45,43.95,40.26,41.11,352527.5,0.0,1.0
2000-01-06,39.41,40.83,39.27,39.77,259766.4,0.0,1.0
2000-01-07,41.33,42.1,40.97,41.93,327309.1,0.0,1.0
2000-01-10,43.31,44.8,42.95,44.66,186933.0,0.0,1.0
2000-01-11,44.51,44.51,43.49,44.23,46204.2,0.0,1.0
2000-01-12,44.23,45.36,43.38,45.3,57490.7,0.0,1.0
2000-01-13,46.71,47.49,46.36,46.89,231373.7,0.0,1.0
2000-01-14,47.49,49.76,47.06,49.19,315669.9,0.0,1.0
2000-01-18,49.19,50.89,49.05,50.47,81298.2,0.0,1.0
2000-01-19,49.69,50.82,49.12,49.12,125562.6,0.0,1.0
2000-01-20,49.16,49.62,48.48,48.94,83061.7,0.0,1.0
2000-01-21,48.13,48.27,46.21,46.5,278106.9,0.0,1.0
2000-01-24,49.19,50.75,47.66,50.01,184464.1,0.0,1.0
2000-01-25,51.03,51.03,47.63,48.66,77418.5,0.0,1.0
2000-01-26,49.05,49.19,48.41,48.98,76184.0,0.0,1.0
2000-01-27,50.18,51.03,49.05,49.05,127502.4,0.0,1.0
2000-01-28,47.35,47.42,45.72,46.57,58372.5,0.0,1.0
2000-01-31,46.92,46.92,45.36,45.93,38973.8,0.0,1.0
2000-02-01,48.77,49.83,48.7,49.05,152191.7,0.0,1.0
2000-02-02,48.98,50.47,48.91,49.9,55903.6,0.0,1.0
2000-02-03,49.33,50.68,48.91,50.47,186051.3,0.0,1.0
2000-02-04,50.75,50.82,49.62,50.18,346002.4,0.0,1.0
2000-02-07,49.27,51.03,49.19,50.75,231021.0,0.0,1.0
2000-02-08,51.25,54.37,50.75,54.23,338772.0,0.0,1.0
2000-02-09,58.69,58.69,56.99,57.56,44088.0,0.0,1.0
2000-02-10,54.23,55.57,54.15,54.44,48673.1,0.0,1.0
2000-02-11,52.17,53.3,51.46,52.45,17635.2,0.0,1.0
2000-02-14,53.44,53.44,51.03,51.96,95406.4,0.0,1.0
2000-02-15,52.17,52.17,51.03,52.1,114276.0,0.0,1.0
2000-02-16,52.38,52.59,51.35,51.6,92232.0,0.0,1.0
2000-02-17,50.97,50.97,44.94,46.57,129442.3,0.0,1.0
2000-02-18,47.06,48.06,45.58,47.63,144608.6,0.0,1.0
2000-02-22,48.7,49.33,47.42,47.63,38621.1,0.0,1.0
2000-02-23,51.07,51.46,50.26,51.03,103342.2,0.0,1.0
2000-02-24,50.04,51.18,49.9,51.18,30861.6,0.0,1.0
2000-02-25,53.66,53.66,52.17,52.59,771539.6,0.0,1.0
2000-02-28,54.54,55.43,54.09,54.29,179349.9,0.0,1.0
2000-02-29,53.94,56.7,53.94,56.14,295565.8,0.0,1.0
2000-03-01,55.29,57.44,55.29,57.27,84296.2,0.0,1.0
2000-03-02,57.73,58.35,56.42,58.12,349353.1,0.0,1.0
2000-03-03,59.03,60.05,57.84,58.18,175999.2,0.0,1.0
2000-03-06,59.26,59.26,57.56,58.12,113570.6,0.0,1.0
2000-03-07,57.22,58.12,54.75,54.75,60488.7,0.0,1.0
2000-03-08,53.54,55.36,53.38,55.36,349000.4,0.0,1.0
2000-03-09,53.44,55.71,53.3,55.0,155542.4,0.0,1.0
2000-03-10,55.0,55.93,54.58,55.43,40208.2,0.0,1.0
2000-03-13,53.87,54.23,52.53,53.34,135085.6,0.0,1.0
2000-03-14,53.34,54.29,50.47,51.6,338948.4,0.0,1.0
2000-03-15,50.54,50.82,49.12,49.83,288688.1,0.0,1.0
2000-03-16,48.13,49.83,46.96,48.41,90821.2,0.0,1.0
2000-03-17,47.92,50.61,47.21,49.76,49731.2,0.0,1.0
2000-03-20,47.63,48.91,47.06,47.63,34212.3,0.0,1.0
2000-03-21,47.06,48.77,46.79,48.48,110925.3,0.0,1.0
2000-03-22,48.2,49.27,47.92,48.48,44793.4,0.0,1.0
2000-03-23,48.2,48.91,47.92,48.84,70717.1,0.0,1.0
2000-03-24,47.63,49.62,47.06,47.63,148135.6,0.0,1.0
2000-03-27,47.35,48.06,46.5,47.63,25394.7,0.0,1.0
2000-03-28,48.7,48.77,46.78,47.21,30861.6,0.0,1.0
2000-03-29,47.06,47.77,46.44,46.5,16048.0,0.0,1.0
2000-03-30,47.06,47.06,46.21,46.86,26981.8,0.0,1.0
2000-03-31,47.67,50.12,46.57,49.19,60488.7,0.0,1.0
2000-04-03,45.93,45.93,43.66,45.65,319373.3,0.0,1.0
2000-04-04,42.74,44.34,41.54,42.8,63839.4,0.0,1.0
2000-04-05,42.53,44.93,41.22,44.37,117626.7,0.0,1.0
2000-04-06,45.36,48.56,45.36,48.48,95759.1,0.0,1.0
2000-04-07,49.47,49.83,47.49,47.63,65779.3,0.0,1.0
2000-04-10,49.33,49.76,47.99,47.99,82180.0,0.0,1.0
2000-04-11,47.06,47.92,46.64,47.42,26981.8,0.0,1.0
2000-04-12,46.64,46.64,43.95,43.95,67366.4,0.0,1.0
2000-04-13,42.89,44.8,41.68,44.59,40560.9,0.0,1.0
2000-04-14,40.83,41.61,38.56,39.09,119390.2,0.0,1.0
2000-04-17,36.86,38.13,36.29,38.13,106163.8,0.0,1.0
2000-04-18,37.07,38.63,37.07,37.99,49731.2,0.0,1.0
2000-04-19,39.13,39.91,38.56,38.56,61546.8,0.0,1.0
2000-04-20,42.04,42.92,40.48,40.48,45322.4,0.0,1.0
2000-04-24,40.4,40.4,38.28,38.59,86941.5,0.0,1.0
2000-04-25,42.0,43.59,41.96,42.95,134027.4,0.0,1.0
2000-04-26,43.88,45.93,43.66,45.15,46909.6,0.0,1.0
2000-04-27,43.1,45.3,42.6,44.23,27687.2,0.0,1.0
