date,open,high,low,close,volume,dividend,ratio
2000-01-03,12.51,12.51,11.99,12.07,1825585.2,0.0,1.0
2000-01-04,11.81,11.82,11.43,11.54,1363692.4,0.0,1.0
2000-01-05,11.54,11.67,11.33,11.55,1104221.3,0.0,1.0
2000-01-06,11.49,12.03,11.49,11.96,640243.6,0.0,1.0
2000-01-07,12.03,12.17,11.87,12.15,720795.3,0.0,1.0
2000-01-10,12.25,12.25,11.9,11.94,709233.8,0.0,1.0
2000-01-11,11.82,11.97,11.74,11.74,733115.0,0.0,1.0
2000-01-12,11.83,12.03,11.83,11.97,220616.8,0.0,1.0
2000-01-13,12.18,12.39,12.12,12.34,1700682.7,0.0,1.0
2000-01-14,12.48,12.7,12.47,12.62,1126396.7,0.0,1.0
2000-01-18,12.58,12.58,12.2,12.2,717762.8,0.0,1.0
2000-01-19,12.21,12.45,12.14,12.16,522733.0,0.0,1.0
2000-01-20,12.25,12.25,11.87,11.94,905590.3,0.0,1.0
2000-01-21,12.0,12.0,11.72,11.79,767231.0,0.0,1.0
2000-01-24,11.9,11.9,11.48,11.58,533915.4,0.0,1.0
2000-01-25,11.58,11.79,11.56,11.7,356701.8,0.0,1.0
2000-01-26,11.79,12.15,11.77,12.14,970789.8,0.0,1.0
2000-01-27,12.19,12.34,12.07,12.27,404274.6,0.0,1.0
2000-01-28,11.94,12.07,11.74,11.84,263261.8,0.0,1.0
2000-01-31,11.71,12.17,11.71,12.17,834136.2,0.0,1.0
2000-02-01,12.24,12.26,12.05,12.24,511171.4,0.0,1.0
2000-02-02,12.2,12.22,12.03,12.11,615604.3,0.0,1.0
2000-02-03,12.1,12.17,11.81,12.03,539222.4,0.0,1.0
2000-02-04,12.08,12.14,11.84,11.91,333389.2,0.0,1.0
2000-02-07,11.82,11.89,11.71,11.79,141012.8,0.0,1.0
2000-02-08,11.94,12.0,11.86,11.92,936863.3,0.0,1.0
2000-02-09,11.92,11.92,11.56,11.64,344192.6,0.0,1.0
2000-02-10,11.65,11.65,11.21,11.32,987658.3,0.0,1.0
2000-02-11,11.48,11.61,11.24,11.34,906348.4,0.0,1.0
2000-02-14,11.36,11.44,11.12,11.44,1562323.4,0.0,1.0
2000-02-15,11.23,11.5,11.15,11.46,575044.2,0.0,1.0
2000-02-16,11.43,11.48,11.15,11.22,579403.4,0.0,1.0
2000-02-17,11.41,11.41,10.96,11.08,941980.7,0.0,1.0
2000-02-18,11.03,11.03,10.58,10.68,1357627.3,0.0,1.0
2000-02-22,10.8,10.86,10.55,10.78,869199.9,0.0,1.0
2000-02-23,10.82,10.87,10.64,10.74,604232.3,0.0,1.0
2000-02-24,10.64,10.72,10.4,10.52,670948.0,0.0,1.0
2000-02-25,10.6,10.8,10.37,10.45,936294.7,0.0,1.0
2000-02-28,10.72,10.89,10.55,10.79,1886614.9,0.0,1.0
2000-02-29,10.92,10.94,10.68,10.86,670000.4,0.0,1.0
