date,open,high,low,close,volume,dividend,ratio
2000-01-03,19.77,19.77,19.24,19.34,123488.9,0.0,1.0
2000-01-04,19.09,19.18,18.73,18.81,219088.5,0.0,1.0
2000-01-05,18.77,18.81,18.61,18.75,192690.5,0.0,1.0
2000-01-06,18.72,19.03,18.65,18.98,80536.3,0.0,1.0
2000-01-07,19.2,19.7,19.2,19.7,49067.5,0.0,1.0
2000-01-10,19.8,19.87,19.63,19.7,182698.0,0.0,1.0
2000-01-11,19.76,19.76,19.44,19.44,163757.1,0.0,1.0
2000-01-12,19.39,19.39,19.22,19.22,59507.4,0.0,1.0
2000-01-13,19.48,19.63,19.34,19.58,282920.9,0.0,1.0
2000-01-14,19.63,19.65,19.37,19.44,8501.1,0.0,1.0
2000-01-18,19.3,19.51,19.29,19.42,124682.1,0.0,1.0
2000-01-19,19.44,19.46,19.36,19.36,93660.7,0.0,1.0
2000-01-20,19.44,19.44,19.03,19.24,73974.0,0.0,1.0
2000-01-21,19.22,19.29,19.0,19.0,68157.5,0.0,1.0
2000-01-24,19.12,19.14,18.44,18.45,76956.9,0.0,1.0
2000-01-25,18.21,18.37,17.98,18.35,133779.7,0.0,1.0
2000-01-26,18.28,18.61,17.61,18.49,139297.9,0.0,1.0
2000-01-27,18.53,18.96,18.53,18.59,232660.3,0.0,1.0
2000-01-28,18.53,18.59,18.1,18.1,26248.9,0.0,1.0
2000-01-31,18.01,18.3,18.01,18.23,68157.5,0.0,1.0
2000-02-01,18.21,18.21,18.04,18.1,8202.8,0.0,1.0
2000-02-02,18.26,18.26,18.02,18.12,5219.9,0.0,1.0
2000-02-03,18.19,18.21,17.94,18.1,160923.4,0.0,1.0
2000-02-04,18.3,18.3,18.14,18.18,46830.3,0.0,1.0
2000-02-07,18.06,18.06,17.77,17.86,65323.9,0.0,1.0
2000-02-08,18.16,18.16,17.9,17.94,178372.9,0.0,1.0
2000-02-09,17.92,17.92,17.69,17.75,87098.5,0.0,1.0
2000-02-10,17.64,17.69,17.43,17.45,97240.1,0.0,1.0
2000-02-11,17.47,17.47,16.98,17.08,75167.2,0.0,1.0
2000-02-14,17.1,17.37,17.06,17.35,7307.9,0.0,1.0
2000-02-15,17.38,17.82,17.31,17.65,31617.9,0.0,1.0
2000-02-16,17.71,17.73,17.54,17.61,115435.3,0.0,1.0
2000-02-17,17.69,17.73,17.53,17.69,24459.2,0.0,1.0
2000-02-18,17.75,17.77,17.23,17.3,171959.8,0.0,1.0
2000-02-22,17.6,17.6,17.3,17.58,69947.2,0.0,1.0
2000-02-23,17.69,17.69,17.45,17.45,94108.1,0.0,1.0
2000-02-24,17.43,17.43,17.04,17.29,29082.5,0.0,1.0
2000-02-25,17.25,17.32,16.96,16.98,39820.7,0.0,1.0
2000-02-28,17.04,17.31,16.76,17.04,691866.2,0.0,1.0
2000-02-29,17.19,17.27,17.15,17.23,13571.9,0.0,1.0
2000-03-01,17.23,17.37,17.1,17.13,3591320.8,0.0,1.0
2000-03-02,17.29,17.31,17.04,17.19,628481.1,0.0,1.0
2000-03-03,17.45,17.84,17.45,17.66,61446.2,0.0,1.0
2000-03-06,17.6,17.75,17.45,17.59,435641.5,0.0,1.0
2000-03-07,17.73,17.73,16.89,16.89,75018.0,0.0,1.0
2000-03-08,16.86,17.06,16.76,17.06,523038.3,0.0,1.0
2000-03-09,17.1,17.34,16.89,17.25,45338.9,0.0,1.0
2000-03-10,17.39,17.6,17.25,17.29,170319.3,0.0,1.0
2000-03-13,16.88,17.23,16.88,17.02,129156.3,0.0,1.0
2000-03-14,17.27,17.27,16.88,16.93,57568.5,0.0,1.0
2000-03-15,16.72,17.66,16.7,17.61,180908.3,0.0,1.0
2000-03-16,17.64,18.59,17.64,18.59,419086.9,0.0,1.0
2000-03-17,18.68,18.9,18.4,18.54,51198.1,0.06,1.0
2000-03-20,18.72,18.76,18.48,18.65,193034.5,0.0,1.0
2000-03-21,18.44,19.04,18.44,19.04,16520.3,0.0,1.0
2000-03-22,18.81,19.04,18.79,18.96,102842.6,0.0,1.0
2000-03-23,19.08,19.51,18.97,19.4,28575.7,0.0,1.0
2000-03-24,19.47,19.74,19.47,19.52,9227.6,0.0,1.0
2000-03-27,19.54,19.54,19.26,19.28,15329.6,0.0,1.0
2000-03-28,19.34,19.49,19.22,19.22,13246.0,0.0,1.0
2000-03-29,19.34,19.53,19.19,19.46,7739.2,0.0,1.0
2000-03-30,19.49,19.79,19.46,19.59,13841.3,0.0,1.0
2000-03-31,19.69,19.83,19.56,19.62,34826.6,0.0,1.0
2000-04-03,19.69,19.76,19.54,19.71,58639.6,0.0,1.0
2000-04-04,19.74,20.08,18.73,19.49,328471.2,0.0,1.0
2000-04-05,19.59,19.67,19.32,19.41,11311.2,0.0,1.0
2000-04-06,19.62,19.78,19.55,19.58,34231.3,0.0,1.0
2000-04-07,19.75,19.95,19.69,19.87,203303.9,0.0,1.0
2000-04-10,19.91,19.99,19.77,19.91,31403.5,0.0,1.0
2000-04-11,19.85,20.21,19.82,20.14,466884.5,0.0,1.0
2000-04-12,19.95,20.24,19.71,19.79,234707.3,0.0,1.0
2000-04-13,19.62,19.91,19.62,19.84,879296.7,0.0,1.0
2000-04-14,18.96,19.13,18.54,18.54,29171.0,0.0,1.0
2000-04-17,18.76,18.99,18.6,18.99,30064.0,0.0,1.0
2000-04-18,18.98,19.16,18.94,19.07,15925.0,0.0,1.0
2000-04-19,19.12,19.28,18.98,19.14,20389.9,0.0,1.0
2000-04-20,19.26,19.3,19.15,19.3,4316.1,0.0,1.0
2000-04-24,19.15,19.56,19.15,19.32,13246.0,0.0,1.0
2000-04-25,19.71,20.38,19.69,20.32,19496.9,0.0,1.0
2000-04-26,20.42,20.45,19.89,20.02,766928.9,0.0,1.0
2000-04-27,19.73,20.04,19.73,20.04,9674.1,0.0,1.0
2000-04-28,20.05,20.06,19.82,19.91,14287.8,0.0,1.0
2000-05-01,19.98,20.37,19.89,20.37,2976.6,0.0,1.0
2000-05-02,20.14,20.3,19.97,20.16,278910.3,0.0,1.0
2000-05-03,19.88,19.95,19.38,19.49,78731.9,0.0,1.0
2000-05-04,19.39,19.67,19.37,19.52,43458.8,0.0,1.0
2000-05-05,19.67,20.01,19.6,19.86,10715.9,0.0,1.0
2000-05-08,19.96,19.96,19.82,19.85,5953.3,0.0,1.0
2000-05-09,19.85,19.85,19.6,19.69,15478.5,0.0,1.0
2000-05-10,19.53,19.56,19.32,19.5,3125.5,0.0,1.0
2000-05-11,19.79,19.98,19.79,19.98,3274.3,0.0,1.0
2000-05-12,20.08,20.22,20.08,20.22,6102.1,0.0,1.0
2000-05-15,20.16,20.55,20.16,20.55,14436.7,0.0,1.0
2000-05-16,20.58,20.87,20.58,20.75,15627.3,0.0,1.0
2000-05-17,20.64,20.64,20.45,20.61,7292.7,0.0,1.0
2000-05-18,20.68,20.68,20.51,20.51,744.2,0.0,1.0
2000-05-19,20.16,20.16,19.95,19.95,5804.4,0.0,1.0
2000-05-22,19.49,19.62,19.49,19.6,8185.7,0.0,1.0
2000-05-23,19.6,19.6,19.42,19.52,1190.7,0.0,1.0
2000-05-24,19.49,19.8,19.49,19.8,5655.6,0.0,1.0
2000-05-25,19.99,19.99,19.44,19.44,76945.9,0.0,1.0
2000-05-26,19.64,19.64,19.26,19.34,13246.0,0.0,1.0
2000-05-30,19.53,19.79,19.42,19.69,233963.2,0.0,1.0
2000-05-31,19.81,20.1,19.79,19.82,2976.6,0.0,1.0
2000-06-01,19.85,20.05,19.85,19.98,2232.5,0.0,1.0
2000-06-02,20.21,20.21,19.95,20.12,129185.8,0.0,1.0
2000-06-05,20.28,20.28,20.08,20.1,6697.4,0.0,1.0
2000-06-06,19.93,20.08,19.93,19.95,304658.2,0.0,1.0
2000-06-07,19.99,20.14,19.82,19.85,29766.3,0.0,1.0
2000-06-08,19.78,19.78,19.49,19.54,19348.1,0.0,1.0
2000-06-09,19.69,19.76,19.46,19.61,22175.9,0.0,1.0
2000-06-12,19.65,19.69,19.52,19.63,95103.4,0.0,1.0
