date,open,high,low,close,volume,dividend,ratio
2000-01-03,42.82,42.82,42.44,42.68,1218621.5,0.0,1.0
2000-01-04,41.57,42.15,40.27,40.51,708621.7,0.0,1.0
2000-01-05,39.84,40.71,38.59,40.54,2475954.1,0.0,1.0
2000-01-06,39.45,40.1,38.21,38.59,2169382.7,0.0,1.0
2000-01-07,38.21,39.26,37.82,39.26,891135.6,0.0,1.0
2000-01-10,40.8,41.14,40.08,40.75,1325661.7,0.0,1.0
2000-01-11,40.8,41.16,39.41,39.6,1833323.2,0.0,1.0
2000-01-12,40.32,40.32,38.98,39.43,2576239.3,0.0,1.0
2000-01-13,39.94,40.03,39.17,39.79,1549744.6,0.0,1.0
2000-01-14,40.99,41.35,40.63,40.71,1797729.7,0.0,1.0
2000-01-18,40.61,41.35,40.5,40.92,715506.6,0.0,1.0
2000-01-19,40.75,41.16,40.46,40.99,1026754.5,0.0,1.0
2000-01-20,41.76,41.91,40.9,41.23,1423218.9,0.0,1.0
2000-01-21,41.48,41.48,40.91,41.28,1863720.5,0.0,1.0
2000-01-24,41.52,41.83,39.71,39.94,739019.0,0.0,1.0
2000-01-25,39.85,40.82,39.31,40.78,3874231.6,0.0,1.0
2000-01-26,40.56,40.61,39.21,39.45,1090277.2,0.0,1.0
2000-01-27,39.94,40.13,38.27,39.07,1608330.9,0.0,1.0
2000-01-28,38.59,39.36,37.05,37.67,3191720.5,0.0,1.0
2000-01-31,37.67,38.92,36.86,38.92,1704719.1,0.0,1.0
2000-02-01,38.89,39.84,38.51,39.74,616910.1,0.0,1.0
2000-02-02,39.6,40.54,39.6,40.03,694592.2,0.0,1.0
2000-02-03,40.22,41.18,39.85,41.18,1616774.6,0.0,1.0
2000-02-04,41.38,42.05,41.28,41.66,898540.1,0.0,1.0
2000-02-07,41.76,42.25,41.42,42.15,851255.4,0.0,1.0
2000-02-08,42.49,42.92,42.4,42.53,1150941.9,0.0,1.0
2000-02-09,42.92,43.21,41.76,42.0,2108717.9,0.0,1.0
2000-02-10,42.1,43.02,41.95,43.0,1503758.9,0.0,1.0
2000-02-11,43.0,43.02,41.48,41.86,1301759.5,0.0,1.0
2000-02-14,42.15,42.15,41.38,41.89,456609.6,0.0,1.0
2000-02-15,41.82,42.29,40.78,42.0,390488.9,0.0,1.0
2000-02-16,41.86,42.34,41.72,41.78,223563.3,0.0,1.0
2000-02-17,42.32,42.82,41.72,42.72,300336.1,0.0,1.0
2000-02-18,42.77,42.77,41.18,41.28,471158.7,0.0,1.0
2000-02-22,41.09,41.57,40.03,41.18,1602875.0,0.0,1.0
2000-02-23,41.28,42.72,41.17,42.44,238112.5,0.0,1.0
2000-02-24,42.71,43.16,41.95,42.96,415560.2,0.0,1.0
2000-02-25,43.02,43.49,42.25,42.55,1217452.4,0.0,1.0
