date,open,high,low,close,volume,dividend,ratio
2000-01-03,14.11,14.11,13.71,13.88,1039619.8,0.0,1.0
2000-01-04,13.61,13.83,13.47,13.49,281908.6,0.0,1.0
2000-01-05,13.59,13.79,13.48,13.69,563161.5,0.0,1.0
2000-01-06,13.83,14.03,13.72,13.98,689692.6,0.0,1.0
2000-01-07,14.23,14.9,14.2,14.87,552508.0,0.0,1.0
2000-01-10,14.72,14.83,14.48,14.54,740337.8,0.0,1.0
2000-01-11,14.61,14.72,14.5,14.54,234213.6,0.0,1.0
2000-01-12,14.64,14.76,14.57,14.61,138168.0,0.0,1.0
2000-01-13,14.7,14.81,14.5,14.69,383199.0,0.0,1.0
2000-01-14,14.93,14.94,14.57,14.74,124728.1,0.0,1.0
2000-01-18,14.58,14.67,14.44,14.49,357794.4,0.0,1.0
2000-01-19,14.56,14.66,14.46,14.59,225854.6,0.0,1.0
2000-01-20,14.67,14.67,14.27,14.39,697395.9,0.0,1.0
2000-01-21,14.48,14.48,14.11,14.23,565456.1,0.0,1.0
2000-01-24,14.35,14.35,13.59,13.83,455970.7,0.0,1.0
2000-01-25,13.78,13.83,13.62,13.65,139315.3,0.0,1.0
2000-01-26,13.74,13.9,13.68,13.78,631835.8,0.0,1.0
2000-01-27,13.78,14.05,13.66,14.03,111124.4,0.0,1.0
2000-01-28,13.76,14.05,13.76,13.92,60807.0,0.0,1.0
2000-01-31,13.71,14.17,13.58,14.17,320916.8,0.0,1.0
2000-02-01,14.06,14.09,13.81,14.03,170456.3,0.0,1.0
2000-02-02,14.1,14.14,13.96,14.06,119155.5,0.0,1.0
2000-02-03,13.95,14.05,13.81,13.87,144068.4,0.0,1.0
2000-02-04,14.1,14.1,13.79,13.94,225362.9,0.0,1.0
2000-02-07,13.81,13.92,13.75,13.84,51792.5,0.0,1.0
2000-02-08,14.03,14.13,13.94,14.01,515794.3,0.0,1.0
2000-02-09,14.02,14.03,13.74,13.89,148985.4,0.0,1.0
2000-02-10,13.83,13.83,13.42,13.42,244375.4,0.0,1.0
2000-02-11,13.56,13.56,13.13,13.17,273385.7,0.0,1.0
2000-02-14,13.2,13.34,13.13,13.23,342879.5,0.0,1.0
2000-02-15,13.34,13.54,13.22,13.53,89325.7,0.0,1.0
2000-02-16,13.5,13.51,13.23,13.34,517105.5,0.0,1.0
2000-02-17,13.35,13.46,13.14,13.14,186354.7,0.0,1.0
2000-02-18,13.17,13.2,12.89,12.98,313541.3,0.0,1.0
2000-02-22,13.1,13.25,12.88,13.2,436958.3,0.0,1.0
2000-02-23,13.2,13.2,12.88,12.91,169145.1,0.0,1.0
2000-02-24,12.92,12.92,12.48,12.64,272238.4,0.0,1.0
2000-02-25,12.56,12.69,12.26,12.32,424174.0,0.0,1.0
2000-02-28,12.48,12.65,12.27,12.56,363858.7,0.0,1.0
2000-02-29,12.65,12.7,12.51,12.52,215201.1,0.0,1.0
2000-03-01,12.46,12.59,12.36,12.4,484325.5,0.0,1.0
2000-03-02,12.31,12.49,12.31,12.43,2372457.2,0.0,1.0
2000-03-03,12.47,12.51,12.32,12.37,362055.8,0.0,1.0
2000-03-06,12.25,12.39,12.07,12.07,516449.9,0.0,1.0
2000-03-07,11.71,11.71,11.19,11.42,367300.6,0.0,1.0
2000-03-08,11.56,11.9,11.35,11.78,507927.1,0.0,1.0
2000-03-09,11.81,12.18,11.74,12.09,2077108.8,0.0,1.0
2000-03-10,12.09,12.2,11.86,11.95,3225066.7,0.0,1.0
2000-03-13,11.69,11.95,11.67,11.76,1740457.6,0.0,1.0
2000-03-14,11.9,11.9,11.59,11.69,906041.0,0.0,1.0
2000-03-15,11.7,12.49,11.61,12.43,2593230.9,0.0,1.0
2000-03-16,12.81,13.2,12.66,13.12,950949.7,0.0,1.0
2000-03-17,13.24,13.25,12.81,12.91,189510.4,0.07,1.0
2000-03-20,12.98,12.98,12.65,12.8,920432.3,0.0,1.0
2000-03-21,12.82,13.04,12.71,13.04,53258.9,0.0,1.0
2000-03-22,12.88,12.97,12.73,12.93,217120.1,0.0,1.0
2000-03-23,12.92,13.06,12.76,12.82,206501.0,0.0,1.0
2000-03-24,12.85,12.95,12.56,12.6,377550.4,0.0,1.0
