date,open,high,low,close,volume,dividend,ratio
2000-01-03,13.41,13.41,12.61,12.72,381379.5,0.0,1.0
2000-01-04,12.73,12.73,12.34,12.34,201805.2,0.0,1.0
2000-01-05,12.61,12.7,12.44,12.6,590091.4,0.0,1.0
2000-01-06,12.63,12.63,12.48,12.63,74462.9,0.0,1.0
2000-01-07,12.65,12.73,12.59,12.73,99715.5,0.0,1.0
2000-01-10,12.73,12.82,12.7,12.78,33454.3,0.0,1.0
2000-01-11,12.72,12.72,12.55,12.64,55469.5,0.0,1.0
2000-01-12,12.44,12.61,12.44,12.51,79211.2,0.0,1.0
2000-01-13,12.63,12.63,12.38,12.39,301304.9,0.0,1.0
2000-01-14,12.41,12.5,12.35,12.5,98636.3,0.0,1.0
2000-01-18,12.48,12.64,12.44,12.44,99283.8,0.0,1.0
2000-01-19,12.41,12.53,12.41,12.45,56117.0,0.0,1.0
2000-01-20,12.47,12.58,12.44,12.51,242813.8,0.0,1.0
2000-01-21,12.77,12.93,12.69,12.92,434043.1,0.0,1.0
2000-01-24,12.95,12.95,12.74,12.74,138781.6,0.0,1.0
2000-01-25,12.58,12.73,12.34,12.44,122809.8,0.0,1.0
2000-01-26,12.42,12.49,12.35,12.38,67772.0,0.0,1.0
2000-01-27,12.42,12.48,12.31,12.31,40361.0,0.0,1.0
2000-01-28,12.29,12.34,12.15,12.24,61297.0,0.0,1.0
2000-01-31,12.17,12.81,12.15,12.81,895281.3,0.0,1.0
2000-02-01,12.78,12.78,12.65,12.71,50073.6,0.0,1.0
2000-02-02,12.74,12.76,12.65,12.65,31296.0,0.0,1.0
2000-02-03,12.66,12.79,12.6,12.63,207416.9,0.0,1.0
2000-02-04,12.74,12.74,12.56,12.56,41656.0,0.0,1.0
2000-02-07,12.5,12.57,12.47,12.52,49641.9,0.0,1.0
2000-02-08,12.68,12.74,12.55,12.55,70362.0,0.0,1.0
2000-02-09,12.58,12.63,12.5,12.55,35181.0,0.0,1.0
2000-02-10,12.41,12.53,12.37,12.37,179574.3,0.0,1.0
2000-02-11,12.38,12.38,12.1,12.15,199646.9,0.0,1.0
2000-02-14,12.15,12.24,12.11,12.17,25036.8,0.0,1.0
2000-02-15,12.15,12.19,12.09,12.14,56332.8,0.0,1.0
2000-02-16,12.11,12.17,12.02,12.09,332385.1,0.0,1.0
2000-02-17,12.08,12.08,11.99,12.02,23094.3,0.0,1.0
2000-02-18,11.9,11.9,11.57,11.58,32159.3,0.0,1.0
2000-02-22,11.61,11.62,11.48,11.53,69067.0,0.0,1.0
2000-02-23,11.56,11.56,11.24,11.3,112018.1,0.0,1.0
2000-02-24,11.37,11.81,10.83,10.92,225978.7,0.0,1.0
2000-02-25,10.95,11.09,10.86,10.86,15971.7,0.0,1.0
2000-02-28,10.9,11.27,10.83,11.17,421956.4,0.0,1.0
2000-02-29,11.18,11.26,11.13,11.25,19640.9,0.0,1.0
2000-03-01,11.66,11.78,11.65,11.74,99499.7,0.0,1.0
2000-03-02,11.86,12.11,11.86,12.05,227921.2,0.0,1.0
2000-03-03,12.29,12.33,12.15,12.15,98420.5,0.0,1.0
2000-03-06,12.0,12.0,11.81,11.81,170940.9,0.0,1.0
2000-03-07,12.0,12.07,11.61,11.68,176768.4,0.0,1.0
2000-03-08,11.55,12.01,11.55,11.76,53742.8,0.0,1.0
2000-03-09,11.65,11.89,11.65,11.85,338212.6,0.0,1.0
2000-03-10,11.84,11.98,11.76,11.85,48778.6,0.0,1.0
2000-03-13,11.66,11.93,11.66,11.89,401883.7,0.0,1.0
2000-03-14,11.78,11.87,11.7,11.81,366918.6,0.0,1.0
2000-03-15,11.7,12.02,11.68,11.87,460806.6,0.0,1.0
2000-03-16,12.09,12.55,12.07,12.44,114392.3,0.0,1.0
2000-03-17,12.44,12.64,12.4,12.43,134549.7,0.2,1.0
2000-03-20,12.49,12.51,12.31,12.38,131335.9,0.0,1.0
2000-03-21,12.28,12.41,12.23,12.3,192183.2,0.0,1.0
2000-03-22,12.2,12.28,11.98,12.02,103911.8,0.0,1.0
2000-03-23,12.11,12.27,12.0,12.22,15211.8,0.0,1.0
2000-03-24,12.32,12.32,12.08,12.11,52063.0,0.0,1.0
2000-03-27,12.18,12.29,12.18,12.28,70702.9,0.0,1.0
2000-03-28,12.29,12.3,12.17,12.21,37708.2,0.0,1.0
2000-03-29,12.37,12.51,12.31,12.43,27638.4,0.0,1.0
2000-03-30,12.43,12.54,12.39,12.41,71988.4,0.0,1.0
2000-03-31,12.5,12.51,12.29,12.48,127265.1,0.0,1.0
2000-04-03,12.43,12.59,12.33,12.56,173329.1,0.0,1.0
2000-04-04,12.86,13.1,12.63,12.73,138192.0,0.0,1.0
2000-04-05,13.04,13.13,12.9,12.9,23567.6,0.0,1.0
2000-04-06,13.02,13.07,12.91,12.98,276812.4,0.0,1.0
2000-04-07,13.03,13.03,12.84,12.94,363584.1,0.0,1.0
2000-04-10,12.86,13.07,12.86,12.91,56990.8,0.0,1.0
2000-04-11,13.03,13.31,13.03,13.25,60633.1,0.0,1.0
2000-04-12,13.38,13.54,13.32,13.37,162830.8,0.0,1.0
2000-04-13,13.38,13.4,13.28,13.38,53562.8,0.0,1.0
2000-04-14,13.4,13.41,12.77,12.9,296309.3,0.0,1.0
2000-04-17,12.91,12.91,12.14,12.7,252387.8,0.0,1.0
2000-04-18,12.72,12.88,12.72,12.73,101983.5,0.0,1.0
2000-04-19,12.78,12.85,12.73,12.85,15426.1,0.0,1.0
2000-04-20,12.94,12.95,12.9,12.9,17140.1,0.0,1.0
2000-04-24,12.97,13.28,12.97,13.25,35779.9,0.0,1.0
2000-04-25,13.34,13.68,13.25,13.64,39207.9,0.0,1.0
2000-04-26,13.64,13.71,13.56,13.61,50134.8,0.0,1.0
2000-04-27,13.48,13.58,13.3,13.3,23781.9,0.0,1.0
2000-04-28,13.3,13.38,13.21,13.29,20782.4,0.0,1.0
2000-05-01,13.18,13.34,13.18,13.29,58919.1,0.0,1.0
2000-05-02,13.21,13.27,12.78,12.81,51848.8,0.0,1.0
2000-05-03,12.84,13.3,12.77,12.86,393365.0,0.0,1.0
2000-05-04,12.69,12.89,12.64,12.84,59990.3,0.0,1.0
2000-05-05,12.76,12.86,12.75,12.86,31923.4,0.0,1.0
2000-05-08,12.72,13.1,12.72,12.95,69203.1,0.0,1.0
2000-05-09,12.88,12.97,12.84,12.91,22067.9,0.0,1.0
2000-05-10,12.97,13.24,12.94,13.16,81843.9,0.0,1.0
2000-05-11,13.19,13.38,13.19,13.35,102626.3,0.0,1.0
2000-05-12,13.33,13.33,13.1,13.14,25710.1,0.0,1.0
2000-05-15,13.08,13.47,13.08,13.4,1969610.3,0.0,1.0
2000-05-16,13.36,13.45,13.23,13.34,1941971.9,0.0,1.0
2000-05-17,13.23,13.23,13.08,13.13,14140.6,0.0,1.0
2000-05-18,13.25,13.38,13.18,13.25,25710.1,0.0,1.0
2000-05-19,12.98,13.07,12.84,12.99,15854.6,0.0,1.0
2000-05-22,13.08,13.11,12.94,13.08,31709.2,0.0,1.0
2000-05-23,13.05,13.05,12.84,12.84,32351.9,0.0,1.0
2000-05-24,12.99,13.15,12.98,13.06,31494.9,0.0,1.0
2000-05-25,13.1,13.1,12.84,12.84,53562.8,0.0,1.0
2000-05-26,13.05,13.17,12.94,13.1,245531.8,0.0,1.0
2000-05-30,13.2,13.2,13.04,13.19,60847.3,0.0,1.0
2000-05-31,13.13,13.29,13.13,13.26,19925.4,0.0,1.0
2000-06-01,13.22,13.36,13.19,13.36,14569.1,0.0,1.0
2000-06-02,13.31,13.39,13.25,13.32,108839.6,0.0,1.0
2000-06-05,13.14,13.14,13.01,13.01,35994.2,0.0,1.0
2000-06-06,13.1,13.35,13.1,13.32,98984.0,0.0,1.0
2000-06-07,13.21,13.41,13.21,13.37,69417.4,0.0,1.0
2000-06-08,13.36,13.47,13.3,13.45,17354.3,0.0,1.0
2000-06-09,13.46,13.64,13.46,13.61,287739.2,0.0,1.0
2000-06-12,13.67,13.67,13.52,13.56,95984.5,0.0,1.0
2000-06-13,13.64,13.89,13.64,13.85,66846.3,0.0,1.0
2000-06-14,13.93,13.93,13.7,13.79,80986.9,0.0,1.0
2000-06-15,13.79,13.96,13.72,13.72,486564.2,0.0,1.0
2000-06-16,13.71,13.87,13.56,13.56,501783.1,0.22,1.0
