date,open,high,low,close,volume,dividend,ratio
2000-01-03,22.62,22.62,21.93,22.11,338118.1,0.0,1.0
2000-01-04,22.03,22.03,21.55,21.6,48380.9,0.0,1.0
2000-01-05,21.73,21.73,21.32,21.55,188589.6,0.0,1.0
2000-01-06,21.39,21.57,21.28,21.48,68528.2,0.0,1.0
2000-01-07,21.5,21.74,21.42,21.74,30289.5,0.0,1.0
2000-01-10,23.53,24.03,23.08,23.96,43583.9,0.0,1.0
2000-01-11,23.73,23.73,23.33,23.33,24533.1,0.0,1.0
2000-01-12,23.51,23.51,22.84,22.94,16995.0,0.0,1.0
2000-01-13,23.14,23.67,23.05,23.63,822338.3,0.0,1.0
2000-01-14,23.78,23.78,23.28,23.41,32345.3,0.0,1.0
2000-01-18,23.26,23.26,22.96,22.98,571936.3,0.0,1.0
2000-01-19,23.05,23.53,22.98,23.53,14253.9,0.0,1.0
2000-01-20,23.65,23.71,23.26,23.35,87990.2,0.0,1.0
2000-01-21,23.26,23.38,23.12,23.3,51122.0,0.0,1.0
2000-01-24,23.37,23.49,22.6,22.6,98817.7,0.0,1.0
2000-01-25,22.8,22.94,22.62,22.76,33441.8,0.0,1.0
2000-01-26,22.76,22.84,22.62,22.66,14390.9,0.0,1.0
2000-01-27,22.76,22.9,22.53,22.53,14665.0,0.0,1.0
2000-01-28,22.57,22.64,22.07,22.07,24807.2,0.0,1.0
2000-01-31,22.17,22.17,21.79,21.97,37690.5,0.0,1.0
2000-02-01,22.05,22.28,22.01,22.25,221483.1,0.0,1.0
2000-02-02,22.41,22.8,22.41,22.8,10553.3,0.0,1.0
2000-02-03,22.76,23.06,22.63,23.01,43172.8,0.0,1.0
2000-02-04,23.15,23.21,23.03,23.09,15487.4,0.0,1.0
2000-02-07,23.08,23.08,22.6,22.71,49888.5,0.0,1.0
2000-02-08,22.76,23.01,22.76,22.96,363199.4,0.0,1.0
2000-02-09,22.94,22.94,22.45,22.55,26040.7,0.0,1.0
2000-02-10,22.53,22.66,22.35,22.36,6852.8,0.0,1.0
2000-02-11,22.36,22.53,22.31,22.37,12609.2,0.0,1.0
2000-02-14,22.11,22.23,21.82,21.95,20421.4,0.0,1.0
2000-02-15,21.91,21.91,21.62,21.79,31660.0,0.0,1.0
2000-02-16,21.62,21.71,21.16,21.17,47969.7,0.0,1.0
2000-02-17,21.28,21.38,21.07,21.16,20969.6,0.0,1.0
2000-02-18,21.12,21.14,20.58,20.58,150625.0,0.0,1.0
2000-02-22,20.76,20.76,20.31,20.43,48380.9,0.0,1.0
2000-02-23,20.39,20.89,20.39,20.75,23984.9,0.0,1.0
2000-02-24,20.77,20.86,20.25,20.59,236833.4,0.0,1.0
2000-02-25,20.55,20.57,19.7,19.95,29056.0,0.0,1.0
2000-02-28,20.04,20.31,19.9,20.31,141990.4,0.0,1.0
2000-02-29,20.39,20.69,20.31,20.53,21243.7,0.0,1.0
2000-03-01,20.63,20.82,20.45,20.71,36594.1,0.0,1.0
2000-03-02,20.68,20.75,20.55,20.61,65238.8,0.0,1.0
2000-03-03,20.77,20.94,20.68,20.9,510809.1,0.0,1.0
2000-03-06,20.76,20.87,20.49,20.49,433509.3,0.0,1.0
2000-03-07,20.5,20.61,20.06,20.11,870582.1,0.0,1.0
2000-03-08,19.93,20.2,19.93,20.01,252183.7,0.0,1.0
2000-03-09,20.04,20.55,19.98,20.47,21106.7,0.0,1.0
2000-03-10,20.43,20.58,20.29,20.31,226554.2,0.0,1.0
2000-03-13,19.86,20.31,19.86,20.16,87990.2,0.0,1.0
2000-03-14,20.29,20.5,20.21,20.21,49614.4,0.0,1.0
2000-03-15,20.31,20.47,20.11,20.31,57837.8,0.0,1.0
2000-03-16,20.52,21.36,20.52,21.36,230940.0,0.0,1.0
2000-03-17,21.28,21.59,21.2,21.39,84975.0,0.0,1.0
2000-03-20,21.75,21.89,21.67,21.8,11238.6,0.0,1.0
2000-03-21,21.89,21.98,21.68,21.93,24807.2,0.0,1.0
2000-03-22,22.11,22.65,22.11,22.49,40979.9,0.0,1.0
2000-03-23,22.35,22.74,22.35,22.58,34127.0,0.0,1.0
2000-03-24,22.62,22.88,22.62,22.78,12609.2,0.0,1.0
2000-03-27,22.65,22.88,22.62,22.62,19736.1,0.0,1.0
2000-03-28,22.62,22.74,22.53,22.64,18776.7,0.0,1.0
2000-03-29,22.46,22.49,22.19,22.3,9319.8,0.0,1.0
2000-03-30,22.25,22.35,21.87,21.98,19187.9,0.0,1.0
2000-03-31,22.14,22.38,21.93,22.38,19736.1,0.0,1.0
2000-04-03,22.56,22.56,22.37,22.37,15350.3,0.0,1.0
2000-04-04,22.49,22.71,21.48,22.11,10416.3,0.0,1.0
2000-04-05,21.89,22.14,21.83,21.97,9731.0,0.0,1.0
2000-04-06,22.09,22.5,22.09,22.39,39746.4,0.0,1.0
2000-04-07,22.48,22.55,22.29,22.45,8223.4,0.0,1.0
2000-04-10,22.48,22.52,22.3,22.3,21929.0,0.0,1.0
2000-04-11,22.25,22.49,22.24,22.49,13842.7,0.0,1.0
2000-04-12,22.53,22.57,22.09,22.09,17954.4,0.0,1.0
2000-04-13,21.9,21.93,21.44,21.52,23984.9,0.0,1.0
2000-04-14,20.77,20.86,20.23,20.23,13431.5,0.0,1.0
2000-04-17,20.27,20.47,19.8,20.39,23162.5,0.0,1.0
2000-04-18,20.35,20.95,20.35,20.95,69761.7,0.0,1.0
2000-04-19,21.3,21.52,21.22,21.5,9868.1,0.0,1.0
2000-04-20,21.5,21.59,21.34,21.59,5482.3,0.0,1.0
2000-04-24,21.16,21.39,21.07,21.28,24670.1,0.0,1.0
2000-04-25,21.39,21.82,21.39,21.82,4934.0,0.0,1.0
2000-04-26,21.89,22.23,21.89,22.05,21243.7,0.0,1.0
2000-04-27,21.62,22.03,21.62,21.91,7126.9,0.0,1.0
2000-04-28,22.31,22.31,22.03,22.11,6715.8,0.0,1.0
2000-05-01,22.19,22.3,22.09,22.19,4797.0,0.0,1.0
2000-05-02,21.85,21.85,21.63,21.74,5208.1,0.0,1.0
2000-05-03,21.39,21.46,20.93,21.14,14528.0,0.0,1.0
2000-05-04,21.07,21.2,20.99,21.07,25492.5,0.0,1.0
2000-05-05,21.0,21.18,21.0,21.04,6441.6,0.0,1.0
2000-05-08,20.92,21.09,20.85,21.09,7949.3,0.0,1.0
2000-05-09,21.12,21.12,20.91,20.94,8497.5,0.0,1.0
2000-05-10,21.12,21.22,20.77,20.91,12472.1,0.0,1.0
2000-05-11,20.91,20.98,20.84,20.89,5208.1,0.0,1.0
2000-05-12,21.07,21.32,21.04,21.25,6989.9,0.0,1.0
2000-05-15,21.16,21.62,21.16,21.6,10964.5,0.0,1.0
2000-05-16,21.77,22.01,21.77,21.89,15350.3,0.0,1.0
2000-05-17,21.64,21.82,21.59,21.64,9045.7,0.0,1.0
2000-05-18,21.75,21.75,21.57,21.62,3015.2,0.0,1.0
2000-05-19,21.28,21.28,21.02,21.04,7538.1,0.0,1.0
2000-05-22,21.02,21.02,20.71,20.81,64827.7,0.0,1.0
2000-05-23,20.84,20.91,20.63,20.63,9045.7,0.0,1.0
2000-05-24,21.02,21.02,20.49,20.77,10690.4,0.0,1.0
2000-05-25,20.79,20.93,20.61,20.61,153640.2,0.0,1.0
2000-05-26,20.79,20.79,20.41,20.45,191330.7,0.0,1.0
2000-05-30,20.63,21.34,20.63,21.3,71543.4,0.0,1.0
2000-05-31,21.34,21.52,21.25,21.52,56330.2,0.0,1.0
2000-06-01,21.57,21.64,21.34,21.39,26451.9,0.0,1.0
2000-06-02,21.77,22.07,21.75,21.91,36868.2,0.0,1.0
2000-06-05,22.01,22.03,21.8,21.85,11101.6,0.0,1.0
2000-06-06,21.8,21.87,21.59,21.66,31248.9,0.0,1.0
2000-06-07,21.59,21.75,21.46,21.6,12883.3,0.0,1.0
2000-06-08,21.71,21.71,21.44,21.44,13020.4,0.0,1.0
2000-06-09,21.59,21.87,21.59,21.75,19599.1,0.0,1.0
2000-06-12,21.71,21.71,21.44,21.55,23573.7,0.0,1.0
2000-06-13,21.36,21.46,21.25,21.25,5619.3,0.0,1.0
2000-06-14,21.66,21.77,21.5,21.62,13842.7,0.0,1.0
2000-06-15,21.89,22.23,21.89,22.23,78122.1,0.0,1.0
2000-06-16,22.11,22.25,21.93,21.98,1807088.4,0.0,1.0
2000-06-19,22.11,22.19,22.01,22.11,28918.9,0.0,1.0
2000-06-20,21.93,22.17,21.85,22.09,7264.0,0.0,1.0
2000-06-21,21.91,22.07,21.89,21.98,184477.9,0.0,1.0
2000-06-22,21.89,22.05,21.89,21.93,34538.2,0.0,1.0
2000-06-23,21.93,21.93,21.39,21.52,3974.6,0.0,1.0
2000-06-26,21.52,21.52,21.25,21.32,9045.7,0.0,1.0
2000-06-27,21.28,21.44,21.2,21.28,81137.4,0.0,1.0
2000-06-28,21.41,21.51,21.18,21.18,57700.7,0.0,1.0
2000-06-29,21.16,21.5,21.09,21.5,43721.0,0.0,1.0
2000-06-30,21.44,21.57,21.4,21.57,22751.4,0.0,1.0
2000-07-03,21.34,21.52,21.34,21.52,3289.4,0.0,1.0
2000-07-05,21.57,21.73,21.46,21.66,113893.9,0.0,1.0
2000-07-06,21.68,21.77,21.46,21.62,16995.0,0.0,1.0
2000-07-07,21.52,21.82,21.52,21.8,19736.1,0.0,1.0
2000-07-10,21.77,21.77,21.46,21.62,31797.1,0.0,1.0
2000-07-11,21.36,21.52,21.32,21.38,8771.6,0.0,1.0
2000-07-12,21.69,21.89,21.57,21.77,134863.5,0.0,1.0
2000-07-13,21.64,21.93,21.64,21.85,7675.2,0.0,1.0
2000-07-14,22.01,22.19,21.87,22.19,5482.3,0.0,1.0
2000-07-17,22.21,22.21,21.89,21.91,35908.8,0.0,1.0
2000-07-18,21.73,21.82,21.56,21.57,77573.9,0.0,1.0
2000-07-19,21.66,21.87,21.62,21.71,10416.3,0.0,1.0
2000-07-20,21.82,22.09,21.82,22.05,2741.1,0.0,1.0
2000-07-21,21.95,21.95,21.48,21.5,8908.7,0.0,1.0
2000-07-24,21.52,21.52,21.28,21.3,83878.5,0.0,1.0
2000-07-25,21.48,21.48,21.22,21.31,58249.0,0.0,1.0
2000-07-26,21.34,21.36,21.14,21.14,36868.2,0.0,1.0
2000-07-27,21.25,21.41,21.22,21.28,2741.1,0.0,1.0
2000-07-28,21.32,21.32,20.89,21.04,10690.4,0.0,1.0
2000-07-31,21.16,21.25,21.12,21.25,46325.1,0.0,1.0
