date,open,high,low,close,volume,dividend,ratio
2000-01-03,23.84,23.84,22.97,23.17,276811.0,0.0,1.0
2000-01-04,22.84,22.93,22.33,22.47,230394.1,0.0,1.0
2000-01-05,22.57,22.57,22.11,22.4,162004.0,0.0,1.0
2000-01-06,22.34,22.62,22.3,22.45,176566.2,0.0,1.0
2000-01-07,22.69,23.5,22.69,23.5,91013.5,0.0,1.0
2000-01-10,23.48,23.53,23.2,23.39,54478.1,0.0,1.0
2000-01-11,23.46,23.47,23.18,23.18,38485.7,0.0,1.0
2000-01-12,23.31,23.31,23.03,23.12,69040.2,0.0,1.0
2000-01-13,23.24,23.31,23.04,23.24,91793.6,0.0,1.0
2000-01-14,23.27,23.33,23.18,23.18,133399.8,0.0,1.0
2000-01-18,23.07,23.17,22.81,23.05,69950.4,0.0,1.0
2000-01-19,23.04,23.28,23.0,23.0,147961.9,0.0,1.0
2000-01-20,23.12,23.12,22.57,22.69,209851.1,0.0,1.0
2000-01-21,22.71,22.71,22.22,22.22,221292.8,0.0,1.0
2000-01-24,22.37,22.4,21.39,21.39,6631.0,0.0,1.0
2000-01-25,21.47,21.58,21.25,21.52,81912.1,0.0,1.0
2000-01-26,21.32,21.69,21.32,21.68,49537.3,0.0,1.0
2000-01-27,21.85,21.85,21.27,21.62,154852.9,0.0,1.0
2000-01-28,21.27,21.36,20.7,20.77,16122.4,0.0,1.0
2000-01-31,20.67,20.92,20.67,20.92,14042.1,0.0,1.0
2000-02-01,21.1,21.68,21.1,21.68,168895.0,0.0,1.0
2000-02-02,21.73,21.75,21.54,21.54,6891.0,0.0,1.0
2000-02-03,21.75,21.75,21.56,21.62,34065.0,0.0,1.0
2000-02-04,21.81,21.81,21.54,21.54,30034.4,0.0,1.0
2000-02-07,21.44,21.44,21.13,21.13,27044.0,0.0,1.0
2000-02-08,21.3,21.74,21.3,21.6,267449.6,0.0,1.0
2000-02-09,21.68,21.68,21.21,21.25,37185.5,0.0,1.0
2000-02-10,21.28,21.28,20.98,21.06,13131.9,0.0,1.0
2000-02-11,21.19,21.19,20.59,20.75,42906.4,0.0,1.0
2000-02-14,20.74,21.0,20.74,20.87,3640.5,0.0,1.0
2000-02-15,20.89,20.91,20.57,20.91,10271.5,0.0,1.0
2000-02-16,20.77,20.77,20.1,20.1,23403.5,0.0,1.0
2000-02-17,20.24,20.24,19.42,19.52,87112.9,0.0,1.0
2000-02-18,19.4,19.48,19.1,19.23,9751.4,0.0,1.0
2000-02-22,19.49,19.52,19.06,19.27,91923.6,0.0,1.0
2000-02-23,19.47,19.47,19.1,19.21,445966.1,0.0,1.0
2000-02-24,19.06,19.06,18.37,18.6,141591.0,0.0,1.0
2000-02-25,18.6,18.97,18.6,18.67,40696.0,0.0,1.0
2000-02-28,18.99,19.4,18.86,19.35,337660.0,0.0,1.0
2000-02-29,19.57,19.87,19.57,19.76,22883.4,0.0,1.0
2000-03-01,19.77,19.77,19.37,19.53,449476.6,0.0,1.0
2000-03-02,19.74,19.76,19.48,19.5,271220.2,0.0,1.0
2000-03-03,19.8,20.0,19.72,19.87,270440.1,0.0,1.0
2000-03-06,19.67,19.71,19.23,19.4,780375.6,0.0,1.0
2000-03-07,19.33,19.33,18.71,18.86,8191.2,0.0,1.0
2000-03-08,18.53,19.16,18.48,19.08,223893.2,0.0,1.0
2000-03-09,18.86,19.49,18.67,19.47,398379.0,0.0,1.0
2000-03-10,19.3,19.46,19.14,19.2,572474.8,0.0,1.0
2000-03-13,18.64,19.18,18.64,19.05,575855.3,0.0,1.0
2000-03-14,19.08,19.25,18.93,19.08,298134.2,0.0,1.0
2000-03-15,19.08,20.38,18.89,20.24,938479.0,0.0,1.0
2000-03-16,20.64,21.77,20.55,21.75,196849.2,0.0,1.0
2000-03-17,21.77,21.96,21.62,21.79,31533.5,0.05,1.0
2000-03-20,21.79,21.79,21.34,21.58,105241.5,0.0,1.0
2000-03-21,21.53,21.87,21.38,21.82,203994.6,0.0,1.0
2000-03-22,21.62,21.82,21.38,21.72,172980.1,0.0,1.0
2000-03-23,21.41,21.88,21.41,21.79,11679.1,0.0,1.0
2000-03-24,21.96,22.22,21.85,21.85,25434.4,0.0,1.0
