date,open,high,low,close,volume,dividend,ratio
2000-01-03,21.04,21.37,20.61,20.73,25422038.5,0.0,1.0
2000-01-04,20.48,20.7,20.25,20.33,27410360.7,0.0,1.0
2000-01-05,20.65,21.51,20.6,21.34,33028513.7,0.0,1.0
2000-01-06,21.34,22.71,21.23,22.55,36762237.4,0.0,1.0
2000-01-07,22.75,22.83,22.23,22.48,31363959.7,0.0,1.0
2000-01-10,22.28,22.4,22.12,22.17,16141942.3,0.0,1.0
2000-01-11,22.17,22.57,22.14,22.43,16476666.5,0.0,1.0
2000-01-12,22.04,22.34,21.92,22.1,19483139.6,0.0,1.0
2000-01-13,22.1,22.76,22.0,22.62,22773334.9,0.0,1.0
2000-01-14,22.63,22.63,21.97,22.17,21286343.4,0.0,1.0
2000-01-18,21.9,22.63,21.81,22.43,22534192.2,0.0,1.0
2000-01-19,22.3,22.73,22.15,22.65,24724255.6,0.0,1.0
2000-01-20,22.55,22.57,21.89,22.15,18159354.5,0.0,1.0
2000-01-21,22.23,22.55,22.05,22.5,27094526.1,0.0,1.0
2000-01-24,22.62,22.85,21.97,22.3,23535342.5,0.0,1.0
2000-01-25,22.23,22.8,22.18,22.25,22519458.3,0.0,1.0
2000-01-26,22.25,22.38,21.89,22.1,17563575.6,0.0,1.0
2000-01-27,22.05,22.05,21.11,21.44,19925534.7,0.0,1.0
2000-01-28,21.18,21.44,20.88,20.88,19571543.0,0.0,1.0
2000-01-31,20.81,22.12,20.61,21.94,27601901.5,0.0,1.0
2000-02-01,22.05,22.09,21.54,22.02,20146543.3,0.0,1.0
2000-02-02,22.04,22.47,22.04,22.18,21841698.5,0.0,1.0
2000-02-03,22.09,22.23,21.19,21.81,21932368.7,0.0,1.0
2000-02-04,22.1,22.1,21.19,21.41,21602555.8,0.0,1.0
2000-02-07,21.04,21.51,21.04,21.37,13413902.3,0.0,1.0
2000-02-08,21.44,21.67,20.83,20.9,17703358.9,0.0,1.0
2000-02-09,20.43,20.58,20.23,20.3,23304151.2,0.44,1.0
2000-02-10,20.3,20.68,20.05,20.2,25308861.8,0.0,1.0
2000-02-11,20.23,20.42,19.35,19.67,23412331.2,0.0,1.0
2000-02-14,19.83,20.48,19.82,20.35,18318480.4,0.0,1.0
2000-02-15,20.7,21.45,20.62,21.11,20252949.2,0.0,1.0
2000-02-16,21.03,21.4,20.87,21.3,19277451.1,0.0,1.0
2000-02-17,21.03,21.03,20.58,20.73,21933495.5,0.0,1.0
2000-02-18,20.58,20.6,19.97,19.97,25919252.5,0.0,1.0
2000-02-22,20.3,20.48,19.83,20.08,20386671.7,0.0,1.0
2000-02-23,19.74,20.18,19.47,19.87,16680755.4,0.0,1.0
2000-02-24,19.35,19.55,19.03,19.38,20258208.0,0.0,1.0
2000-02-25,19.32,19.8,18.64,18.92,22163002.4,0.0,1.0
2000-02-28,18.9,20.05,18.6,19.57,22303110.5,0.0,1.0
2000-02-29,19.57,20.13,19.42,20.05,19662466.7,0.0,1.0
2000-03-01,20.07,20.3,19.48,20.25,18564514.8,0.0,1.0
2000-03-02,20.23,20.68,20.12,20.5,18409757.3,0.0,1.0
2000-03-03,20.37,20.37,19.77,20.15,19171524.8,0.0,1.0
2000-03-06,19.7,19.97,19.17,19.42,19715429.8,0.0,1.0
2000-03-07,19.2,21.56,19.17,21.3,42843037.3,0.0,1.0
2000-03-08,20.63,21.83,20.63,21.2,37527567.8,0.0,1.0
2000-03-09,20.77,21.45,20.62,21.41,20483207.4,0.0,1.0
2000-03-10,21.3,21.35,20.32,20.51,17710719.2,0.0,1.0
2000-03-13,20.37,20.75,19.8,20.2,17780961.0,0.0,1.0
2000-03-14,20.0,20.77,19.87,20.57,16992524.1,0.0,1.0
2000-03-15,20.55,20.77,19.88,20.7,22311749.9,0.0,1.0
2000-03-16,20.77,21.28,20.2,21.23,21787753.0,0.0,1.0
2000-03-17,21.11,21.22,20.5,20.53,28038904.4,0.0,1.0
2000-03-20,20.28,20.58,19.78,19.93,20068893.0,0.0,1.0
2000-03-21,20.17,20.7,20.13,20.5,20435127.4,0.0,1.0
2000-03-22,20.5,20.5,19.82,19.95,26769291.9,0.0,1.0
2000-03-23,19.87,20.25,19.78,20.1,18998361.7,0.0,1.0
2000-03-24,20.17,20.65,20.13,20.57,16535764.1,0.0,1.0
2000-03-27,20.57,20.82,20.17,20.37,18148322.3,0.0,1.0
2000-03-28,20.13,21.03,20.13,21.03,15531342.9,0.0,1.0
2000-03-29,20.82,21.81,20.7,21.43,38977855.9,0.0,1.0
2000-03-30,21.68,21.78,20.68,20.93,24930607.5,0.0,1.0
2000-03-31,21.0,21.28,20.71,20.77,23663624.3,0.0,1.0
2000-04-03,20.7,21.5,20.68,21.43,18697861.7,0.0,1.0
2000-04-04,21.28,22.06,21.28,21.96,30780967.0,0.0,1.0
2000-04-05,21.83,22.13,21.16,21.23,24465959.3,0.0,1.0
2000-04-06,21.45,21.83,21.31,21.76,15523079.1,0.0,1.0
2000-04-07,21.56,21.67,21.05,21.18,14697455.3,0.0,1.0
2000-04-10,21.03,21.2,20.8,20.83,17076664.2,0.0,1.0
2000-04-11,21.02,21.55,20.95,21.13,20032833.0,0.0,1.0
2000-04-12,21.3,21.7,21.22,21.28,16141357.9,0.0,1.0
2000-04-13,21.28,21.56,20.98,21.3,16732967.3,0.0,1.0
2000-04-14,21.25,21.76,20.77,20.97,22252401.1,0.0,1.0
2000-04-17,20.93,21.13,20.0,20.1,30437645.7,0.0,1.0
2000-04-18,20.23,20.45,19.97,20.28,22650188.0,0.0,1.0
2000-04-19,20.3,20.88,20.23,20.62,22725313.0,0.0,1.0
2000-04-20,20.62,21.03,20.52,21.03,15133931.6,0.0,1.0
2000-04-24,20.93,21.56,20.55,21.27,16732591.6,0.0,1.0
2000-04-25,21.36,21.7,21.33,21.56,21982702.4,0.0,1.0
2000-04-26,21.56,21.56,21.11,21.33,15810056.6,0.0,1.0
2000-04-27,21.2,21.55,20.93,21.48,18146819.8,0.0,1.0
2000-04-28,21.41,21.41,20.68,20.68,18271151.7,0.0,1.0
2000-05-01,20.85,21.05,20.68,20.77,16639061.0,0.0,1.0
2000-05-02,20.82,21.18,20.77,20.83,15188772.9,0.0,1.0
2000-05-03,20.87,20.88,20.5,20.63,13269329.1,0.0,1.0
2000-05-04,20.77,21.22,20.71,21.16,18949154.8,0.0,1.0
2000-05-05,20.97,21.3,20.95,21.3,13294120.3,0.0,1.0
2000-05-08,21.27,21.5,21.13,21.41,13854177.2,0.0,1.0
2000-05-09,21.43,21.53,20.97,21.15,15745449.1,0.0,1.0
2000-05-10,21.22,21.86,21.2,21.7,21347520.5,0.0,1.0
2000-05-11,21.9,22.32,21.81,22.2,20502528.8,0.44,1.0
2000-05-12,22.06,22.13,21.86,21.95,14887050.8,0.0,1.0
2000-05-15,21.93,22.45,21.88,22.38,16637941.1,0.0,1.0
2000-05-16,22.28,22.4,22.01,22.28,16288958.7,0.0,1.0
2000-05-17,21.95,22.08,21.54,21.78,20730077.2,0.0,1.0
2000-05-18,21.81,22.05,21.66,21.8,13374544.7,0.0,1.0
2000-05-19,21.46,21.98,21.39,21.88,15754649.5,0.0,1.0
2000-05-22,22.05,22.47,22.01,22.3,18080576.0,0.0,1.0
2000-05-23,22.33,22.36,21.85,22.21,16024419.6,0.0,1.0
2000-05-24,22.16,22.33,21.96,22.2,17202141.7,0.0,1.0
2000-05-25,22.05,22.1,21.6,21.8,16096906.3,0.0,1.0
2000-05-26,21.86,22.25,21.83,22.05,11097565.4,0.0,1.0
2000-05-30,21.95,22.38,21.9,22.35,19060641.1,0.0,1.0
2000-05-31,22.21,22.45,22.03,22.3,18397051.5,0.0,1.0
2000-06-01,22.36,22.36,21.65,22.2,22212691.9,0.0,1.0
2000-06-02,21.69,21.93,21.04,21.19,34762606.9,0.0,1.0
2000-06-05,21.14,21.34,21.14,21.23,16168645.7,0.0,1.0
2000-06-06,21.14,22.08,21.08,22.03,22681987.3,0.0,1.0
2000-06-07,21.95,22.06,21.65,21.71,17856016.7,0.0,1.0
2000-06-08,21.45,21.58,21.39,21.43,19938701.7,0.0,1.0
2000-06-09,21.41,21.56,21.18,21.19,17538793.9,0.0,1.0
2000-06-12,21.38,21.86,21.38,21.61,21075696.8,0.0,1.0
2000-06-13,21.75,21.95,21.68,21.73,14147611.7,0.0,1.0
2000-06-14,21.93,22.41,21.88,22.11,20674404.5,0.0,1.0
2000-06-15,22.08,22.35,21.88,22.06,21141831.6,0.0,1.0
2000-06-16,22.11,22.58,22.11,22.58,36714517.0,0.0,1.0
2000-06-19,22.47,22.55,22.08,22.5,16867731.4,0.0,1.0
2000-06-20,22.08,22.32,21.88,22.28,16444767.7,0.0,1.0
2000-06-21,21.95,22.6,21.9,22.47,17525342.8,0.0,1.0
2000-06-22,22.58,22.68,21.95,22.13,17540288.5,0.0,1.0
2000-06-23,22.32,22.41,22.13,22.25,10772496.1,0.0,1.0
2000-06-26,22.28,22.53,22.15,22.31,11837751.8,0.0,1.0
2000-06-27,22.33,22.38,21.93,21.96,15239769.7,0.0,1.0
2000-06-28,21.96,22.11,21.83,21.98,13731373.6,0.0,1.0
2000-06-29,21.83,21.95,21.68,21.73,17622863.5,0.0,1.0
2000-06-30,21.6,21.66,20.79,21.01,37209967.4,0.0,1.0
2000-07-03,21.09,21.34,21.08,21.29,16045717.2,0.0,1.0
2000-07-05,21.13,21.13,20.49,20.59,25673371.7,0.0,1.0
2000-07-06,20.81,21.24,20.76,20.93,20470769.1,0.0,1.0
2000-07-07,21.04,21.24,20.88,21.01,17333664.0,0.0,1.0
2000-07-10,21.01,21.19,20.88,20.91,12018221.3,0.0,1.0
2000-07-11,20.91,21.61,20.91,21.56,16570685.4,0.0,1.0
2000-07-12,21.49,21.54,21.04,21.04,14109500.1,0.0,1.0
2000-07-13,21.01,21.04,20.71,20.88,14765990.6,0.0,1.0
2000-07-14,20.73,20.84,20.46,20.76,18623105.4,0.0,1.0
2000-07-17,21.39,21.39,20.81,21.08,20434152.1,0.0,1.0
2000-07-18,20.89,21.13,20.74,20.93,22995473.6,0.0,1.0
2000-07-19,21.04,21.23,20.91,21.06,16103258.2,0.0,1.0
2000-07-20,21.03,21.28,20.88,20.91,14558245.1,0.0,1.0
2000-07-21,21.06,21.08,20.58,20.64,15611544.3,0.0,1.0
2000-07-24,20.61,20.69,20.31,20.67,15536068.4,0.0,1.0
2000-07-25,20.61,20.74,20.11,20.17,20571652.7,0.0,1.0
2000-07-26,20.42,20.58,20.27,20.39,32238649.7,0.0,1.0
2000-07-27,20.61,21.68,20.61,21.54,31363204.6,0.0,1.0
2000-07-28,21.43,21.66,21.31,21.41,14921799.6,0.0,1.0
2000-07-31,21.43,21.71,21.19,21.46,21747133.0,0.0,1.0
2000-08-01,21.66,21.83,21.34,21.41,23081037.8,0.0,1.0
2000-08-02,21.8,22.25,21.75,22.18,30841972.8,0.0,1.0
2000-08-03,22.15,22.36,21.68,21.8,18506155.2,0.0,1.0
